epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;1.9989485e6;450020.3125;6.0;9.5;5.311858e8
1;2-methylheptane;114.141;1.999152625e6;450066.25;6.0;9.5;5.3124015e8
1;3-methyldecane;156.188;2.735659e6;615873.8125;6.0;9.5;7.2695395e8
1;hexadecane;226.266;3.96334175e6;892258.5;6.0;9.5;1.05319e9
1;3,3-dimethylhexane;114.141;1.999270125e6;450092.71875;6.0;9.5;5.3127125e8
1;3-methyltridecane;198.235;3.47212775e6;781672.9375;6.0;9.5;9.226581e8
1;2-methylbutane;72.094;1.262503e6;284226.46875;6.0;9.5;3.35488e8
1;nonane;128.157;2.24466425e6;505337.53125;6.0;9.5;5.9648065e8
1;heptacosane;380.438;6.664022e6;1.500254875e6;6.0;9.5;1.7708498e9
1;2,2-dimethylpropane;72.094;1.26255075e6;284237.09375;6.0;9.5;3.35500825e8
1;2,4,4-trimethylhexane;128.157;2.24463875e6;505331.90625;6.0;9.5;5.9647375e8
1;octadecane;254.297;4.454448e6;1.0028196875e6;6.0;9.5;1.1836932e9
1;heptadecane;240.282;4.208901e6;947540.4375;6.0;9.5;1.1184432e9
1;n-undecane;156.188;2.735661e6;615874.25;6.0;9.5;7.269546e8
1;nonadecane;268.313;4.6999835e6;1.058096375e6;6.0;9.5;1.2489401e9
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;3.962621e6;892096.1875;6.0;9.5;1.0529984e9
1;3-methyldodecane;184.219;3.22662825e6;726404.3125;6.0;9.5;8.574207e8
1;3,4-dimethylhexane;114.141;1.999057875e6;450045.0;6.0;9.5;5.3121485e8
1;3-methylheptane;114.141;1.999136375e6;450062.59375;6.0;9.5;5.312358e8
1;n-butane;58.078;1.0170699375e6;228972.671875;6.0;9.5;2.70268525e8
1;2,2,5,5-tetramethylhexane;142.172;2.4900455e6;560579.6875;6.0;9.5;6.616864e8
1;tridecane;184.219;3.2267055e6;726421.625;6.0;9.5;8.574413e8
1;2,2,3-trimethylpentane;114.141;1.999202375e6;450077.5;6.0;9.5;5.312533e8
1;decane;142.172;2.490158e6;560604.8125;6.0;9.5;6.6171635e8
1;3-ethylpentane;100.125;1.7534745e6;394757.5;6.0;9.5;4.659553e8
1;2,3-dimethyldodecane;198.235;3.4719695e6;781637.3125;6.0;9.5;9.22616e8
1;3-methylundecane;170.203;2.98113325e6;671136.75;6.0;9.5;7.9218465e8
