epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;3.7629690170288086;4.236061453819275;6.0;9.920575334340064;245.76050341129303
1;2-methylheptane;114.141;3.76021409034729;4.117462992668152;6.0;10.527188181877136;247.2111612558365
1;3-methyldecane;156.188;4.756575345993042;4.077380180358887;6.0;9.689981838097884;280.7358205318451
1;hexadecane;226.266;7.136683464050293;4.087336897850037;6.0;9.937387023248808;261.0634744167328
1;3,3-dimethylhexane;114.141;3.3523812294006348;4.272689938545227;6.0;9.675348574627886;272.2207486629486
1;3-methyltridecane;198.235;5.721010684967041;3.705213725566864;6.0;9.604151568388746;273.8144338130951
1;2-methylbutane;72.094;2.5708487033843994;3.6728455424308777;6.0;17.345520853996277;241.05283319950104
1;nonane;128.157;4.436504364013672;3.7776867747306824;6.0;11.870843768119812;247.10010588169098
1;heptacosane;380.438;11.383161544799805;4.413383364677429;6.0;15.352892279624939;254.16941046714783
1;2,2-dimethylpropane;72.094;2.587698221206665;3.864659368991852;6.0;9.897499531146593;234.50981676578522
1;2,4,4-trimethylhexane;128.157;3.501309871673584;4.268875002861023;6.0;9.68295271040281;266.55935645103455
1;octadecane;254.297;7.821160316467285;4.192805171012878;6.0;13.382744193077087;276.9901692867279
1;heptadecane;240.282;7.838730812072754;4.191621661186218;6.0;11.941642165184021;260.7716977596283
1;n-undecane;156.188;4.9420998096466064;3.7953508496284485;6.0;9.831567168959216;257.8576982021332
1;nonadecane;268.313;8.432219982147217;4.116406321525574;6.0;13.387474417686462;274.4755685329437
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.7238545417785645;4.41966712474823;6.0;9.608093764474253;270.0779855251312
1;3-methyldodecane;184.219;5.394111156463623;3.8835760951042175;6.0;9.601226395120323;272.5484311580658
1;3,4-dimethylhexane;114.141;3.1831414699554443;4.163862586021423;6.0;9.82223250437119;264.0518844127655
1;3-methylheptane;114.141;3.6910386085510254;3.85715389251709;6.0;9.815503259283444;255.5229127407074
1;n-butane;58.078;2.3820420503616333;3.469824343919754;6.0;19.351415038108826;201.54726896435022
1;2,2,5,5-tetramethylhexane;142.172;3.981450080871582;4.223193287849426;6.0;9.692060033039088;263.3715808391571
1;tridecane;184.219;5.684900760650635;3.937412679195404;6.0;9.908324165689407;258.48163962364197
1;2,2,3-trimethylpentane;114.141;3.1546120643615723;4.01694118976593;6.0;9.616217092585195;268.81341338157654
1;decane;142.172;4.664668560028076;3.8622397780418396;6.0;9.994158270059652;247.2686916589737
1;3-ethylpentane;100.125;3.1883634328842163;3.892432451248169;6.0;15.421029925346375;249.05594885349274
1;2,3-dimethyldodecane;198.235;5.397445201873779;4.340414643287659;6.0;9.578203160014297;277.3286759853363
1;3-methylundecane;170.203;4.975458860397339;3.7878528237342834;6.0;9.670439262734655;270.21841406822205
1;2-methyldecane;156.188;5.0171215534210205;4.263270854949951;6.0;9.722001998189594;257.4105203151703
1;3-methylpentane;86.11;2.893515884876251;3.629023790359497;6.0;12.88758933544159;246.31015360355377
1;octane;114.141;4.229101896286011;3.6760599613189697;6.0;14.054481387138367;247.37593233585358
1;2-methyldodecane;184.219;5.384753704071045;3.935011088848114;6.0;9.601543919634217;271.3594377040863
