epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2-methylhexane;100.125;2.0127370986938478;3.013148764610291;6.0;19.69690357208252;201.99621753692628;train
1;2,2-dimethylpentane;100.125;2.0129148788452147;3.0130561904907225;6.0;19.691858577728272;202.09041099548338;train
1;2-methylpentane;86.11;2.011046987533569;3.011838496208191;6.0;19.715364723205568;201.69995269775393;train
1;n-butane;58.078;2.0052710738182067;3.008490661621094;6.0;19.794459476470948;201.3824398994446;train
1;tridecane;184.219;2.0159352073669434;3.014656014442444;6.0;19.658490409851073;202.62878131866455;train
1;pentadecane;212.25;2.016608455657959;3.0151922721862796;6.0;19.649425048828128;202.65737800598146;train
1;2,7-dimethyloctane;142.172;2.014608072280884;3.0150060653686523;6.0;19.678654747009276;202.13122425079345;train
1;propane;44.063;2.003397157907486;3.005628496646881;6.0;19.837085323333742;200.938081741333;train
1;heptadecane;240.282;2.0170189933776856;3.0155145187377927;6.0;19.648929252624512;202.78636493682862;train
1;3,3-diethylpentane;128.157;2.0135176906585692;3.014036532402039;6.0;19.676458587646483;202.20988216400144;train
1;3-methylpentane;86.11;2.0100295810699462;3.0122772006988523;6.0;19.720253429412843;201.92718906402587;train
1;2-methyldodecane;184.219;2.0175077648162842;3.015849712371826;6.0;19.650073432922362;202.50202198028563;train
1;2,2-dimethylhexane;114.141;2.0139560747146605;3.014117115974426;6.0;19.675217475891113;202.30713157653807;train
1;hexadecane;226.266;2.0167318630218505;3.015342073440552;6.0;19.650147857666017;202.704434967041;train
1;3-methyldodecane;184.219;2.0165612983703616;3.015008470535278;6.0;19.64605598449707;202.62604122161864;train
1;2,2,4,4-tetramethylpentane;128.157;2.0149690828323363;3.0136373243331906;6.0;19.677644119262695;202.12223358154296;train
1;3,3-dimethylpentane;100.125;2.012943494796753;3.012861964225769;6.0;19.67835105895996;202.1991502761841;train
1;3-methyltridecane;198.235;2.01758757019043;3.0163909873962402;6.0;19.63658458709717;202.69658031463624;train
1;2,3-dimethyldodecane;198.235;2.0181003494262697;3.0161487751007083;6.0;19.641444854736328;202.6444658279419;train
1;2,4,4-trimethylhexane;128.157;2.0160507431030275;3.0147055130004885;6.0;19.6698441696167;202.30317134857182;train
1;nonadecane;268.313;2.017671070098877;3.015947953224182;6.0;19.638633613586425;202.85062103271488;train
1;methane;16.031;1.9970147688388824;3.0030780386924745;6.0;19.951339111328124;200.11240036487575;train
1;eicosane;282.329;2.0179068088531493;3.015761425971985;6.0;19.637905349731444;202.90404605865479;train
1;2-methylpropane;58.078;2.007269778728485;3.0085888118743895;6.0;19.78784049987793;201.15134353637697;train
1;2,6-dimethyloctane;142.172;2.0144087600708005;3.0149809246063235;6.0;19.664629135131836;202.20584239959715;train
1;octadecane;254.297;2.01710022354126;3.0160606994628907;6.0;19.649045066833498;202.80166759490967;train
1;2,3,4-trimethyl pentane;114.141;2.0148505382537842;3.012918517112732;6.0;19.70080202102661;201.98296909332277;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0163089599609374;3.0155779609680176;6.0;19.645694732666016;202.35840053558348;train
1;2,5-dimethylhexane;114.141;2.0149579610824584;3.0137747611999512;6.0;19.696896858215332;201.98732509613038;train
1;2-methylbutane;72.094;2.0088701305389405;3.010902677536011;6.0;19.746798744201662;201.70158004760745;train
1;nonane;128.157;2.0130534191131595;3.0133217697143557;6.0;19.689320774078368;202.28733882904052;train
1;heptane;100.125;2.0112189226150514;3.012578619003296;6.0;19.71792911529541;201.93734912872313;train
1;3-ethylhexane;114.141;2.0117953605651855;3.012981784820557;6.0;19.686503868103028;202.1878198623657;train
1;2-methyldecane;156.188;2.0158364562988282;3.015456464767456;6.0;19.65847053527832;202.36490268707277;train
1;n-undecane;156.188;2.0152394342422486;3.0137342920303345;6.0;19.674773712158206;202.55824680328368;train
1;3-methyl-3-ethylpentane;114.141;2.0133411750793457;3.0139020137786865;6.0;19.668482398986814;202.3343053817749;train
1;heptacosane;380.438;2.019525981903076;3.0167194290161135;6.0;19.637255935668946;202.89032135009765;train
1;tetradecane;198.235;2.0164363899230957;3.0154197740554807;6.0;19.651646537780763;202.59059276580808;train
1;3,4-dimethylhexane;114.141;2.014637762069702;3.013894745826721;6.0;19.686634979248048;202.2057081222534;train
1;2,2-dimethylpropane;72.094;2.0100797576904297;3.0103421382904054;6.0;19.745386295318603;201.64128932952883;train
1;tetracosane;338.391;2.019929214477539;3.0163852348327636;6.0;19.643166732788085;202.86235847473142;train
1;2,3-dimethylundecane;184.219;2.0174892959594724;3.016111757278442;6.0;19.640527534484864;202.5811725616455;train
1;3-methylhexane;100.125;2.0123453903198243;3.0133628406524657;6.0;19.698001403808593;202.06704120635982;train
1;dodecane;170.203;2.0157227125167845;3.0140524406433107;6.0;19.668329010009767;202.60151233673093;train
1;2,2,5-trimethylhexane;128.157;2.0154072799682616;3.0138508701324462;6.0;19.679758949279783;202.22120018005373;train
1;2-methylundecane;170.203;2.0168613624572753;3.0150597076416012;6.0;19.65766117095947;202.40294036865234;train
1;2,3-dimethylbutane;86.11;2.011815851211548;3.0112012748718264;6.0;19.731553630828856;201.68356266021726;train
1;2,2,3-trimethylbutane;100.125;2.0138271541595456;3.01260009765625;6.0;19.69258270263672;201.9750467300415;train
1;2,3-dimethyldecane;170.203;2.0166589126586913;3.0151815204620362;6.0;19.646148223876953;202.551277923584;train
1;2,4-dimethylpentane;100.125;2.013123922348022;3.0122329988479617;6.0;19.710613918304443;201.88071975708007;train
1;3-methylheptane;114.141;2.0137178039550783;3.014862856864929;6.0;19.68155252456665;202.29432277679447;train
1;octane;114.141;2.0131053905487057;3.013994835853577;6.0;19.70585220336914;202.1335506439209;train
1;2-methylheptane;114.141;2.012648162841797;3.0142952022552487;6.0;19.68322555541992;202.11404361724857;train
1;2,2,5,5-tetramethylhexane;142.172;2.015423360824585;3.013644564628601;6.0;19.677262535095213;202.23363227844237;train
1;2,2,3,4-tetramethylpentane;128.157;2.0157871379852295;3.013155403137207;6.0;19.685096855163575;202.0949739456177;train
1;2,2,3,3-tetramethylpentane;128.157;2.0143371829986574;3.013532707214355;6.0;19.667054710388182;202.31098346710206;train
1;pentane;72.094;2.0078543286323547;3.0097286224365236;6.0;19.768040199279785;201.61129550933836;train
1;3-ethylpentane;100.125;2.0105769596099856;3.0123703784942624;6.0;19.70400785446167;201.91741676330562;train
1;squalane;422.485;2.0175990238189696;3.0161360988616943;6.0;19.625244789123535;202.77268104553224;train
1;4-methylheptane;114.141;2.0143789558410647;3.0134777870178224;6.0;19.68748640060425;202.09846572875975;train
1;2-methyltridecane;198.235;2.017838981628418;3.0161969871520995;6.0;19.64381908416748;202.58325366973878;train
1;3-methyldecane;156.188;2.014692644119263;3.014810830116272;6.0;19.655925903320313;202.52329177856447;train
1;2,3-dimethylhexane;114.141;2.015201889038086;3.013479287147522;6.0;19.683802814483645;202.25374546051026;train
1;decane;142.172;2.014797592163086;3.01385071182251;6.0;19.681252574920656;202.3590925216675;train
1;2,3-dimethylnonane;156.188;2.0157679948806764;3.0152117033004764;6.0;19.656402397155762;202.48841876983644;val
1;2,4-dimethylhexane;114.141;2.0149916324615478;3.01464644241333;6.0;19.692748985290528;202.19000244140625;val
1;2-methyl-3-ethyl-pentane;114.141;2.014091091156006;3.0129636211395265;6.0;19.685745639801024;202.04891853332524;val
1;2,3,3-trimethylpentane;114.141;2.0141868476867675;3.013904514312744;6.0;19.667445640563965;202.22589168548586;val
1;3,3-dimethylhexane;114.141;2.0146604204177856;3.01421853351593;6.0;19.674797782897947;202.34885940551757;val
1;2,2-dimethylbutane;86.11;2.009963363647461;3.0118344449996948;6.0;19.704089679718017;202.09037132263185;val
1;3-methylundecane;170.203;2.015399109840393;3.0150065717697143;6.0;19.64283519744873;202.57943172454836;val
1;2,3-dimethylpentane;100.125;2.013262342453003;3.0132221155166627;6.0;19.695857639312745;202.00231952667238;val
1;octacosane;394.454;2.0189933013916015;3.0165010147094726;6.0;19.633889274597166;202.8712003707886;val
1;2,3,3,4-tetramethylpentane;128.157;2.0147453956604005;3.0130976047515867;6.0;19.68181001663208;202.05328311920167;val
1;2,2,4-trimethylpentane;114.141;2.014622736930847;3.012893711090088;6.0;19.690288181304933;202.10940952301027;val
1;2,2,3-trimethylpentane;114.141;2.0155280199050902;3.0141895418167115;6.0;19.67433208465576;202.17994689941406;val
1;2-methyloctane;128.157;2.0145413589477537;3.01521102809906;6.0;19.676568222045898;202.15701961517337;val
1;ethane;30.047;2.0013721082210543;3.004279996395111;6.0;19.90108539581299;200.52143440246581;val
1;2,3-dimethylheptane;128.157;2.0159318342208863;3.014482219696045;6.0;19.675091514587404;202.3330865859985;val
1;hexane;86.11;2.0103036098480223;3.0110901374816894;6.0;19.745108909606934;201.82934017181395;val
2;2-methylhexane;100.125;2.024818000793457;3.0236955242156984;6.0;19.498144378662108;203.0024612426758;train
2;2,2-dimethylpentane;100.125;2.0256373271942136;3.02508607673645;6.0;19.48330307006836;203.09434089660644;train
2;2-methylpentane;86.11;2.0225744876861573;3.0221611213684083;6.0;19.52736862182617;202.72638053894045;train
2;n-butane;58.078;2.013419192314148;3.0162072734832766;6.0;19.64290771484375;202.22851905822753;train
2;tridecane;184.219;2.0296465244293214;3.0284397964477536;6.0;19.423735580444337;203.58716239929197;train
2;pentadecane;212.25;2.030755376815796;3.0290973625183106;6.0;19.41088882446289;203.63723754882815;train
2;2,7-dimethyloctane;142.172;2.0282023792266846;3.0270049438476563;6.0;19.457008781433103;203.22093200683594;train
2;propane;44.063;2.008860445976257;3.011930368423462;6.0;19.710002613067626;201.69436531066896;train
2;heptadecane;240.282;2.031651140213013;3.0297588214874267;6.0;19.403998336791993;203.74358139038088;train
2;3,3-diethylpentane;128.157;2.027094041824341;3.026586992263794;6.0;19.45571365356445;203.27791213989258;train
2;3-methylpentane;86.11;2.0225153713226316;3.0226434917449954;6.0;19.52845043182373;202.875950050354;train
2;2-methyldodecane;184.219;2.0318385791778564;3.02982509803772;6.0;19.409279975891113;203.54185943603517;train
2;2,2-dimethylhexane;114.141;2.0271599788665773;3.0259914684295657;6.0;19.460129432678222;203.2960224151611;train
2;hexadecane;226.266;2.031204652786255;3.029489009857178;6.0;19.40769287109375;203.69791984558105;train
2;3-methyldodecane;184.219;2.031475553512573;3.029475961685181;6.0;19.40414436340332;203.64582901000975;train
2;2,2,4,4-tetramethylpentane;128.157;2.027210603713989;3.0265890064239502;6.0;19.44942512512207;203.25975112915043;train
2;3,3-dimethylpentane;100.125;2.026262535095215;3.0252314491271974;6.0;19.472956047058105;203.16893310546877;train
2;3-methyltridecane;198.235;2.0325504913330077;3.0306107978820798;6.0;19.391689682006835;203.71301841735843;train
2;2,3-dimethyldodecane;198.235;2.033083946228027;3.0305700340270993;6.0;19.393996391296387;203.7216766357422;train
2;2,4,4-trimethylhexane;128.157;2.0290140533447265;3.0274564056396485;6.0;19.437687339782713;203.42396087646483;train
2;nonadecane;268.313;2.0322494506835938;3.0307213726043702;6.0;19.39143589019775;203.83665237426757;train
2;methane;16.031;1.9943933868408203;3.003865000486374;6.0;19.911049137115477;200.2749587059021;train
2;eicosane;282.329;2.0325401000976564;3.0306096687316897;6.0;19.389564590454103;203.8539051055908;train
2;2-methylpropane;58.078;2.0156459197998045;3.0165761013031007;6.0;19.631351356506347;202.05866661071775;train
