epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.9272375183105468;2.9968089072704314;6.0;19.783681602478026;199.2158685207367;train
1;2-methylbutane;72.094;2.9826962890625;3.7121757202148435;6.0;17.126759033203125;234.05323791503906;train
1;2-methylpentane;86.11;3.1776311035156253;3.8413004760742187;6.0;16.73806304931641;240.27264709472655;train
1;2,2,3-trimethylbutane;100.125;3.21689892578125;3.8690040283203126;6.0;16.663728942871096;241.69244689941408;train
1;heptane;100.125;3.318054931640625;3.9343359985351563;6.0;16.459041748046875;244.75313720703124;train
1;3,4-dimethylhexane;114.141;3.4662493896484374;4.034159912109375;6.0;16.149121398925782;249.5950225830078;train
1;3-methyl-3-ethylpentane;114.141;3.3717011718750003;3.9715734252929686;6.0;16.348665466308596;246.6466827392578;train
1;2,2,4-trimethylpentane;114.141;3.3432060546875;3.9526975708007814;6.0;16.407883605957032;245.7188873291016;train
1;2,4,4-trimethylhexane;128.157;3.5248453369140624;4.074174926757813;6.0;16.0264599609375;251.59115600585938;train
1;2,3,3,4-tetramethylpentane;128.157;3.4292329101562498;4.010851501464844;6.0;16.233722534179687;248.57246398925784;train
1;decane;142.172;3.6675867919921874;4.168488647460937;6.0;15.72226867675781;255.97153930664064;train
1;2-methyldecane;156.188;3.9056484375;4.328876586914062;6.0;15.206801452636718;263.6590942382813;train
1;dodecane;170.203;3.8565411376953125;4.2949106445312495;6.0;15.318389587402343;262.03606567382815;train
1;3-methyltridecane;198.235;4.224004882812499;4.543285766601563;6.0;14.515367431640625;273.94594116210936;train
1;hexadecane;226.266;4.108957275390625;4.464873779296875;6.0;14.773915405273437;270.1706176757813;train
1;eicosane;282.329;4.2561406250000005;4.563898315429688;6.0;14.460077514648438;274.9317810058594;train
1;ethane;30.047;2.125588150024414;3.1350116424560546;6.0;19.11455551147461;206.90088882446292;train
1;2,2-dimethylpropane;72.094;2.8912086181640624;3.651722473144531;6.0;17.31163513183594;231.1609588623047;train
1;2,2-dimethylbutane;86.11;3.121661254882812;3.8053942260742186;6.0;16.847692565917967;238.55985412597659;train
1;2,3-dimethylpentane;100.125;3.3119930419921877;3.931298034667969;6.0;16.468478088378905;244.64487609863284;train
1;2,4-dimethylpentane;100.125;3.2337027587890628;3.878868957519531;6.0;16.624888000488284;242.11278076171877;train
1;3-methylheptane;114.141;3.554045654296875;4.092685913085937;6.0;15.961393127441406;252.32588500976564;train
1;2-methyl-3-ethyl-pentane;114.141;3.4215028076171876;4.0040998535156245;6.0;16.244666442871093;248.16526794433594;train
1;2,4-dimethylhexane;114.141;3.4449870605468753;4.019760192871094;6.0;16.19287322998047;248.8887756347656;train
1;2,2,3,4-tetramethylpentane;128.157;3.4280903320312497;4.009761352539062;6.0;16.236691284179688;248.51002502441406;train
1;2,2,5-trimethylhexane;128.157;3.4766478271484376;4.0419769287109375;6.0;16.12915802001953;249.99625244140623;train
1;2,6-dimethyloctane;142.172;3.74238330078125;4.2190751953125005;6.0;15.558976745605468;258.3963256835938;train
1;2,3-dimethylnonane;156.188;3.9079937744140625;4.3308258056640625;6.0;15.202129211425781;263.76702270507815;train
1;3-methyldodecane;184.219;4.129508056640625;4.479720458984375;6.0;14.72139343261719;270.90001220703124;train
