epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.9942155113220215;3.000483685493469;6.0;19.94154295921326;200.22199704647062;train
1;2-methylbutane;72.094;2.0109352712631225;3.0118622436523435;6.0;19.73296323776245;201.75941429138186;train
1;2-methylpentane;86.11;2.0129596662521365;3.0128220834732056;6.0;19.707117023468015;201.7321041107178;train
1;2,2,3-trimethylbutane;100.125;2.014492558479309;3.0144480295181273;6.0;19.68034368515015;202.07680988311765;train
1;heptane;100.125;2.0113544540405273;3.013290547370911;6.0;19.720761928558346;201.74167404174804;train
1;3,4-dimethylhexane;114.141;2.0161152362823485;3.0156299991607667;6.0;19.674351310729982;202.14300994873048;train
1;3-methyl-3-ethylpentane;114.141;2.0137368211746214;3.0154348163604734;6.0;19.661328659057617;202.22751045227048;train
1;2,2,4-trimethylpentane;114.141;2.0145594234466553;3.0152089586257933;6.0;19.671027793884278;202.10126514434813;train
1;2,4,4-trimethylhexane;128.157;2.014283436775208;3.0160187072753906;6.0;19.660705223083497;202.27312927246092;train
1;2,3,3,4-tetramethylpentane;128.157;2.013403483390808;3.015371520996094;6.0;19.66350101470947;201.99679660797116;train
1;decane;142.172;2.009884745597839;3.013791654586792;6.0;19.695440883636476;201.9742572784424;train
1;2-methyldecane;156.188;2.012691053390503;3.0145097122192386;6.0;19.676686019897463;202.13330307006837;train
1;dodecane;170.203;2.011866457939148;3.012678970336914;6.0;19.69365171432495;201.96545009613035;train
1;3-methyltridecane;198.235;2.0128583097457886;3.014654797554016;6.0;19.65606761932373;202.3250394821167;train
1;hexadecane;226.266;2.012775399208069;3.014155821800232;6.0;19.677885246276855;202.1069053649902;train
1;eicosane;282.329;2.0138851308822634;3.0156078939437867;6.0;19.672224311828614;202.07248573303224;train
1;ethane;30.047;1.9981775062084197;3.002804936647415;6.0;19.88276104927063;200.56507935523987;train
1;2,2-dimethylpropane;72.094;2.0102243967056275;3.0125239629745484;6.0;19.723147144317625;201.7614814758301;train
1;2,2-dimethylbutane;86.11;2.013535538673401;3.0138208599090577;6.0;19.69226640701294;202.03338165283205;train
1;2,3-dimethylpentane;100.125;2.014679165840149;3.0146264247894288;6.0;19.68341173171997;202.1304763793945;train
1;2,4-dimethylpentane;100.125;2.0136713762283325;3.0138453245162964;6.0;19.695500621795652;201.94551277160642;train
1;3-methylheptane;114.141;2.015007377624512;3.0150995502471925;6.0;19.686393089294434;202.1011768341064;train
1;2-methyl-3-ethyl-pentane;114.141;2.0152470026016234;3.01469846534729;6.0;19.672956352233886;202.09966526031496;train
1;2,4-dimethylhexane;114.141;2.0156733560562134;3.015470024108887;6.0;19.68391429901123;202.08184452056886;train
1;2,2,3,4-tetramethylpentane;128.157;2.014108359336853;3.0153984518051145;6.0;19.667617225646975;202.008766746521;train
1;2,2,5-trimethylhexane;128.157;2.014930562019348;3.015564640045166;6.0;19.66251323699951;202.23243598937987;train
1;2,6-dimethyloctane;142.172;2.0134794416427613;3.01534743309021;6.0;19.66595184326172;202.1765869140625;train
1;2,3-dimethylnonane;156.188;2.0134244117736815;3.015437442779541;6.0;19.658864669799804;202.3571773529053;train
1;3-methyldodecane;184.219;2.0112263288497925;3.0139501304626464;6.0;19.65767780303955;202.27477188110353;train
1;2,3-dimethyldodecane;198.235;2.0125203104019165;3.015344645500183;6.0;19.646747131347656;202.5191715240479;train
