epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,3-dimethylnonane;156.188;2.0165243587493897;3.013693977355957;6.0;19.75342721939087;201.86986541748047;train
1;2,4-dimethylhexane;114.141;2.0142080755233764;3.011500016212463;6.0;19.796828479766845;201.42386045455933;train
1;2-methyl-3-ethyl-pentane;114.141;2.010045224189758;3.00974861240387;6.0;19.812139453887937;201.34203844070436;train
1;2,3,3-trimethylpentane;114.141;2.0133415184020995;3.0122405977249143;6.0;19.810487880706788;201.28481702804564;train
1;3,3-dimethylhexane;114.141;2.0117670478820804;3.012813364982605;6.0;19.785584468841552;201.40757083892825;train
1;2,2-dimethylbutane;86.11;2.0089422206878664;3.0094264879226684;6.0;19.861168031692504;201.06879844665525;train
1;3-methylundecane;170.203;2.0154456911087033;3.013781131744385;6.0;19.744038143157958;202.14354820251464;train
1;2,3-dimethylpentane;100.125;2.013599493980408;3.0099727506637572;6.0;19.82323532104492;201.15353717803953;train
1;octacosane;394.454;2.015281184196472;3.0114298009872433;6.0;19.72748718261719;202.1462018966675;train
1;2,3,3,4-tetramethylpentane;128.157;2.0123469314575195;3.0099739389419558;6.0;19.858486366271972;201.26458282470702;train
1;2,2,4-trimethylpentane;114.141;2.0092438907623293;3.00694078207016;6.0;19.836768589019776;201.34308977127074;train
1;2,2,3-trimethylpentane;114.141;2.0120729112625124;3.0108983964920046;6.0;19.82134366989136;201.27984523773193;train
1;2-methyloctane;128.157;2.013574159622192;3.0112036476135255;6.0;19.77857120513916;201.78297595977784;train
1;ethane;30.047;1.9992078409790994;2.9991639213562014;6.0;19.983479894399643;200.2365829706192;train
1;2,3-dimethylheptane;128.157;2.017005193710327;3.011767075538635;6.0;19.77928388595581;201.37215223312376;train
1;hexane;86.11;2.009192614555359;3.009954237937927;6.0;19.81024667739868;201.40700216293334;train
1;2-methylhexane;100.125;2.0135234842300416;3.0110740423202516;6.0;19.796896553039552;201.36348447799685;train
1;2,2-dimethylpentane;100.125;2.009269035339355;3.0092175340652467;6.0;19.828047103881836;201.2015025138855;train
1;2-methylpentane;86.11;2.0113030614852905;3.0091946678161623;6.0;19.81815170288086;201.2251029014587;train
1;n-butane;58.078;2.006612380981445;3.0060638256073;6.0;19.880431299209597;200.8525634765625;train
1;tridecane;184.219;2.0137255630493165;3.0126154727935788;6.0;19.758663425445558;201.94398860931395;train
1;pentadecane;212.25;2.0117886152267457;3.012877720832825;6.0;19.744290142059327;202.05066585540771;train
1;2,7-dimethyloctane;142.172;2.013531901359558;3.0115069971084596;6.0;19.79028772354126;201.6244649887085;train
1;propane;44.063;2.0023409767150877;3.0050965304374695;6.0;19.905546321868897;200.68943738937378;train
1;heptadecane;240.282;2.0126642608642578;3.0114532651901245;6.0;19.739239120483397;202.11530208587644;train
1;3,3-diethylpentane;128.157;2.0070851516723636;3.0079979186058043;6.0;19.852427520751952;201.16605701446534;train
1;3-methylpentane;86.11;2.0094052686691284;3.008775367736816;6.0;19.819142971038815;201.4595317840576;train
1;2-methyldodecane;184.219;2.0163210849761963;3.0123939428329467;6.0;19.74330892562866;202.01106510162356;train
1;2,2-dimethylhexane;114.141;2.0120397443771365;3.01157067489624;6.0;19.80717052459717;201.24769392013553;train
1;hexadecane;226.266;2.012621349334717;3.012159439086914;6.0;19.74709966659546;202.0671968460083;train
1;3-methyldodecane;184.219;2.0157401571273805;3.0141467123031616;6.0;19.74305852890015;202.05241012573242;train
1;2,2,4,4-tetramethylpentane;128.157;2.008529712677002;3.0072428374290467;6.0;19.848391332626342;201.29382123947144;train
1;3,3-dimethylpentane;100.125;2.0094714679718018;3.0120709104537964;6.0;19.816080989837648;201.28580904006958;train
1;3-methyltridecane;198.235;2.0171678466796874;3.013389440536499;6.0;19.742393951416016;202.1105863571167;train
1;2,3-dimethyldodecane;198.235;2.020361001968384;3.0149823722839355;6.0;19.735009593963625;202.02073287963867;train
1;2,4,4-trimethylhexane;128.157;2.0147231187820434;3.0125276794433593;6.0;19.784202976226805;201.40825538635255;train
1;nonadecane;268.313;2.013927788734436;3.0116625709533693;6.0;19.730291996002197;202.16230564117433;train
1;methane;16.031;2.000049133449793;3.0002970923781396;6.0;19.99228567659855;200.04259179532528;train
1;eicosane;282.329;2.0147264804840086;3.0118270311355593;6.0;19.732686100006106;202.09706687927246;train
1;2-methylpropane;58.078;2.0057643733024597;3.0038270666599276;6.0;19.904721374511716;200.65312910079953;train
1;2,6-dimethyloctane;142.172;2.0155496473312375;3.0130813875198363;6.0;19.764182491302492;201.61025505065913;train
1;octadecane;254.297;2.0127688503265384;3.011508155822754;6.0;19.735843296051026;202.10845680236815;train
1;2,3,4-trimethyl pentane;114.141;2.011253123283386;3.0087443771362308;6.0;19.866621370315553;200.96028623580935;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0140650901794435;3.01050433921814;6.0;19.80266185760498;201.54046831130978;train
1;2,5-dimethylhexane;114.141;2.0125366373062135;3.008694746017456;6.0;19.82210006713867;201.46058788299558;train
1;2-methylbutane;72.094;2.010968240737915;3.0063914914131162;6.0;19.843363265991208;201.14076051712036;train
1;nonane;128.157;2.012261388778686;3.0119864721298217;6.0;19.776698780059814;201.77702865600588;train
1;heptane;100.125;2.010216230392456;3.009971663475037;6.0;19.79526798248291;201.5959475517273;train
1;2,3-dimethyldecane;170.203;2.0176832599639893;3.015210892677307;6.0;19.731375675201413;201.93828296661377;train
1;2,4-dimethylpentane;100.125;2.009037464141846;3.0069207940101625;6.0;19.838688449859617;201.21020135879516;train
1;3-methylheptane;114.141;2.012524366378784;3.0119622592926025;6.0;19.775353889465332;201.69367332458498;train
1;octane;114.141;2.010793354988098;3.0107495851516726;6.0;19.78336896896362;201.70119152069094;train
1;2-methylheptane;114.141;2.013729726791382;3.010529179573059;6.0;19.792251472473144;201.48467597961428;train
1;2,2,5,5-tetramethylhexane;142.172;2.0106550579071047;3.010030375480652;6.0;19.8277486038208;201.2018671035767;train
1;2,2,3,4-tetramethylpentane;128.157;2.012652533531189;3.0085643682479857;6.0;19.84742453575134;201.16277141571044;train
1;2,2,3,3-tetramethylpentane;128.157;2.0110091285705565;3.0110163564682004;6.0;19.821894245147703;201.25364284515382;train
1;pentane;72.094;2.0071323924064637;3.007510570049286;6.0;19.838120307922363;201.16069383621218;train
1;3-ethylpentane;100.125;2.0063978328704835;3.0071177592277527;6.0;19.84478597640991;201.31175804138186;train
1;squalane;422.485;2.0195193614959717;3.014304210662842;6.0;19.720553550720215;202.49119930267332;train
1;4-methylheptane;114.141;2.0117524738311765;3.010814636230469;6.0;19.773877639770507;201.6377534866333;train
1;2-methyltridecane;198.235;2.0169983673095704;3.0133786363601684;6.0;19.750297412872314;201.99216136932372;train
1;3-methyldecane;156.188;2.014459199905396;3.0142365436553957;6.0;19.750335636138917;202.01580963134768;train
1;2,3-dimethylhexane;114.141;2.016459789276123;3.012195247650147;6.0;19.792481937408446;201.36449365615846;train
1;decane;142.172;2.01264528465271;3.01227672290802;6.0;19.76135555267334;201.9009569168091;train
1;3-ethylhexane;114.141;2.012496103286743;3.0105715560913087;6.0;19.806970767974853;201.66798152923585;val
1;2-methyldecane;156.188;2.0155839767456056;3.0135043706893923;6.0;19.75206798553467;201.93931331634522;val
1;n-undecane;156.188;2.012842338562012;3.012036940574646;6.0;19.758317394256594;201.93964233398435;val
1;3-methyl-3-ethylpentane;114.141;2.008324601173401;3.009824465751648;6.0;19.828933391571045;201.23809413909913;val
1;heptacosane;380.438;2.0158327198028565;3.0113202629089355;6.0;19.72448480606079;202.19775123596193;val
1;tetradecane;198.235;2.0125244407653806;3.0126740379333494;6.0;19.755553455352782;202.0745038986206;val
1;3,4-dimethylhexane;114.141;2.014201856613159;3.012001112937927;6.0;19.78771806716919;201.49200267791744;val
1;2,2-dimethylpropane;72.094;2.0045956630706785;3.0055824918746947;6.0;19.923093433380128;200.78331899642947;val
1;tetracosane;338.391;2.0160018024444577;3.011078501701355;6.0;19.73320037841797;202.08012981414797;val
1;2,3-dimethylundecane;184.219;2.0191499996185303;3.015226034164429;6.0;19.734224910736085;201.9937492370605;val
1;3-methylhexane;100.125;2.0122932415008545;3.0114248456954957;6.0;19.792612075805664;201.56185531616214;val
1;dodecane;170.203;2.013667098045349;3.0127693662643433;6.0;19.758903560638426;201.8859769821167;val
1;2,2,5-trimethylhexane;128.157;2.0120004396438596;3.009072622299194;6.0;19.825364933013915;201.31241283416745;val
1;2-methylundecane;170.203;2.0158083171844483;3.0128136472702027;6.0;19.745075092315673;201.95916042327883;val
1;2,3-dimethylbutane;86.11;2.0109870624542237;3.0075354428291323;6.0;19.88217502593994;200.77188405990603;val
1;2,2,3-trimethylbutane;100.125;2.0092573623657226;3.0080562801361084;6.0;19.876189823150632;201.05550117492675;val
2;2,3-dimethylnonane;156.188;2.027156732559204;3.024565553665161;6.0;19.558239250183107;202.72207832336426;train
2;2,4-dimethylhexane;114.141;2.0226312923431395;3.019912168502808;6.0;19.635642204284668;202.22969799041746;train
2;2-methyl-3-ethyl-pentane;114.141;2.018503221511841;3.017689950942993;6.0;19.659113540649415;202.14569053649902;train
2;2,3,3-trimethylpentane;114.141;2.022069761276245;3.020058570861816;6.0;19.644101333618163;202.15267753601074;train
2;3,3-dimethylhexane;114.141;2.021648265838623;3.0212673931121827;6.0;19.618441123962402;202.26063938140868;train
2;2,2-dimethylbutane;86.11;2.0156982936859134;3.0151770725250246;6.0;19.729467678070066;201.80439910888674;train
2;3-methylundecane;170.203;2.0264640941619874;3.0256952686309813;6.0;19.539305839538574;202.94774646759032;train
2;2,3-dimethylpentane;100.125;2.0210320224761964;3.0174213600158692;6.0;19.67136249542236;202.0000282287598;train
2;octacosane;394.454;2.026817056655884;3.027506620407104;6.0;19.50170150756836;203.1122417449951;train
2;2,3,3,4-tetramethylpentane;128.157;2.0195654506683347;3.0167457275390626;6.0;19.709555644989013;202.02159938812255;train
2;2,2,4-trimethylpentane;114.141;2.0170646457672117;3.014748138427734;6.0;19.69480535507202;202.05087203979494;train
2;2,2,3-trimethylpentane;114.141;2.021012405395508;3.018389139175415;6.0;19.66435874938965;202.06468009948733;train
2;2-methyloctane;128.157;2.0237322864532468;3.0214950771331788;6.0;19.59901878356934;202.581986618042;train
2;ethane;30.047;1.999493358194828;3.0003279922902584;6.0;19.962083098888396;200.31540296077725;train
2;2,3-dimethylheptane;128.157;2.0255628986358643;3.021610818862915;6.0;19.600443115234377;202.3735746383667;train
2;hexane;86.11;2.018027618408203;3.018083650588989;6.0;19.661506004333496;202.14082164764403;train
2;2-methylhexane;100.125;2.0223968982696534;3.019698793411255;6.0;19.639427947998048;202.14948959350582;train
2;2,2-dimethylpentane;100.125;2.0175881786346435;3.0168133583068846;6.0;19.68478223800659;201.9651672363281;train
2;2-methylpentane;86.11;2.019184007644653;3.0164315872192384;6.0;19.677759437561036;201.99791259765627;train
2;n-butane;58.078;2.012331993103027;3.0118909015655517;6.0;19.771931667327884;201.5262544631958;train
2;tridecane;184.219;2.0248100566864013;3.02573459815979;6.0;19.55214862823486;202.86335105895995;train
2;pentadecane;212.25;2.0236222133636472;3.026444383621216;6.0;19.531113967895507;202.96344604492188;train
2;2,7-dimethyloctane;142.172;2.023462989807129;3.020522399902344;6.0;19.615250320434573;202.46219539642337;train
2;propane;44.063;2.006327118396759;3.0089811611175534;6.0;19.823105792999268;201.20139045715334;train
2;heptadecane;240.282;2.0244357585906982;3.0264655609130857;6.0;19.518197021484376;203.050866317749;train
2;3,3-diethylpentane;128.157;2.0137380714416504;3.015151559829712;6.0;19.718773593902586;201.91272678375248;train
2;3-methylpentane;86.11;2.017506540298462;3.01685412979126;6.0;19.67364028930664;202.16837921142582;train
2;2-methyldodecane;184.219;2.027376411437988;3.025015851974487;6.0;19.5393733215332;202.87551822662354;train
2;2,2-dimethylhexane;114.141;2.0205840969085695;3.019584255218506;6.0;19.646988487243654;202.1044334411621;train
2;hexadecane;226.266;2.024151262283325;3.0264934577941895;6.0;19.52834945678711;202.99360008239748;train
2;3-methyldodecane;184.219;2.0271447734832764;3.026022829055786;6.0;19.53668514251709;202.89452152252196;train
2;2,2,4,4-tetramethylpentane;128.157;2.0157400312423706;3.0140023269653318;6.0;19.720158863067628;201.97842845916747;train
2;3,3-dimethylpentane;100.125;2.018206537246704;3.0190987854003906;6.0;19.658015937805175;202.112984085083;train
2;3-methyltridecane;198.235;2.028508195877075;3.026551164627075;6.0;19.527430419921874;202.98362522125242;train
2;2,3-dimethyldodecane;198.235;2.030902853012085;3.0272996501922607;6.0;19.524590682983398;202.94830741882325;train
2;2,4,4-trimethylhexane;128.157;2.0242015533447266;3.0212762317657473;6.0;19.611007499694825;202.28104782104492;train
2;nonadecane;268.313;2.0254031505584718;3.0266330699920654;6.0;19.5075337600708;203.09026775360107;train
2;methane;16.031;2.0000334405228495;3.0006749026775363;6.0;19.983089680671693;200.09154488444327;train
2;eicosane;282.329;2.0260713844299314;3.027164529800415;6.0;19.506076736450197;203.03708992004394;train
2;2-methylpropane;58.078;2.0095039405822757;3.0084018478393553;6.0;19.81649808883667;201.17934427261352;train
2;2,6-dimethyloctane;142.172;2.0256418628692625;3.0231317043304444;6.0;19.581696548461913;202.53691864013672;train
2;octadecane;254.297;2.0242427883148193;3.0267280464172366;6.0;19.51280113220215;203.06813087463377;train
2;2,3,4-trimethyl pentane;114.141;2.0180218753814696;3.0151176891326905;6.0;19.72790267944336;201.75955867767334;train
2;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0239862594604494;3.0199985637664795;6.0;19.619797859191895;202.48933258056638;train
2;2,5-dimethylhexane;114.141;2.0204974975585936;3.017154977798462;6.0;19.66938217163086;202.20015602111818;train
2;2-methylbutane;72.094;2.017452157974243;3.013540264129639;6.0;19.71752613067627;201.85452270507812;train
2;nonane;128.157;2.022291509628296;3.0227904376983643;6.0;19.59730041503906;202.56917476654053;train
2;heptane;100.125;2.0193922748565676;3.0193911113739014;6.0;19.634841804504394;202.34706096649174;train
2;2,3-dimethyldecane;170.203;2.028397151947021;3.0265862522125246;6.0;19.532152938842774;202.8580722808838;train
2;2,4-dimethylpentane;100.125;2.016193759918213;3.0135696249008177;6.0;19.70933618545532;201.95256958007812;train
2;3-methylheptane;114.141;2.0225482177734375;3.0217154064178464;6.0;19.603444709777833;202.47083644866944;train
2;octane;114.141;2.020561452865601;3.0214893264770506;6.0;19.609551391601563;202.49389533996583;train
2;2-methylheptane;114.141;2.0232185497283934;3.019982370376587;6.0;19.62352649688721;202.337066078186;train
2;2,2,5,5-tetramethylhexane;142.172;2.0184460926055907;3.017133176803589;6.0;19.679397315979003;202.029105758667;train
2;2,2,3,4-tetramethylpentane;128.157;2.019444604873657;3.0162610473632814;6.0;19.69765296936035;201.98231449127198;train
2;2,2,3,3-tetramethylpentane;128.157;2.019371929168701;3.0187856063842773;6.0;19.664637756347656;202.11016960144042;train
2;pentane;72.094;2.015020933151245;3.014988552093506;6.0;19.706185302734376;201.8946659088135;train
2;3-ethylpentane;100.125;2.0137953329086304;3.0142534351348877;6.0;19.717726497650148;201.99175033569335;train
2;squalane;422.485;2.0319232425689697;3.0304816112518314;6.0;19.47356243133545;203.45832366943358;train
2;4-methylheptane;114.141;2.0222953510284425;3.0203088092803956;6.0;19.604404487609862;202.44411525726318;train
2;2-methyltridecane;198.235;2.027840314865112;3.0262028427124026;6.0;19.53599044799805;202.92691917419435;train
2;3-methyldecane;156.188;2.025261619567871;3.0253739223480225;6.0;19.55440299987793;202.81524486541747;train
