epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.99289626121521;2.992411322116852;6.0;20.03407878160477;199.5051797389984;train
1;ethane;30.047;2.0148871726989745;3.0299838905334475;6.0;19.61968521118164;202.33357429504392;train
1;propane;44.063;2.4850439147949217;3.3311461486816407;6.0;17.886416625976562;218.52342224121094;train
1;n-butane;58.078;2.738426940917969;3.4821031799316406;6.0;17.214913330078126;226.34844055175782;train
1;2-methylpropane;58.078;2.5746541748046874;3.3848282470703124;6.0;17.642916870117187;221.31860961914063;train
1;2-methylbutane;72.094;2.9715289306640624;3.619548095703125;6.0;16.621182250976563;233.42132568359375;train
1;2,2-dimethylpropane;72.094;2.6886130981445313;3.4532275390625;6.0;17.3368408203125;224.86515502929686;train
1;pentane;72.094;2.984006896972656;3.6262615966796874;6.0;16.599296264648437;233.78919677734373;train
1;3-methylpentane;86.11;3.1876058349609373;3.74577099609375;6.0;16.093802490234374;239.86776733398438;train
1;hexane;86.11;3.169836669921875;3.7347537841796874;6.0;16.143892517089846;239.31371459960937;train
1;2-methylpentane;86.11;3.157;3.7279630737304688;6.0;16.16532501220703;239.01167602539059;train
1;2,2-dimethylbutane;86.11;2.99242529296875;3.6321007080078127;6.0;16.568499755859378;234.06956481933597;train
1;2,3-dimethylbutane;86.11;2.9477600708007814;3.605551025390625;6.0;16.685357666015626;232.69943542480468;train
1;3-ethylpentane;100.125;3.0276392822265628;3.6519960937500002;6.0;16.49333068847656;235.07725219726564;train
1;2-methylhexane;100.125;3.351039916992187;3.8409085083007812;6.0;15.691704711914063;244.74028625488282;train
1;2,2,3-trimethylbutane;100.125;3.0762047119140625;3.6809332885742188;6.0;16.36363006591797;236.5677703857422;train
1;2,3-dimethylpentane;100.125;3.2424658203125;3.778071044921875;6.0;15.954916687011718;241.5372375488281;train
1;3-methylhexane;100.125;3.379982666015625;3.8578036499023436;6.0;15.618777770996095;245.59039916992188;train
1;3,3-dimethylpentane;100.125;3.3020400390624998;3.813268127441406;6.0;15.80340087890625;243.32674255371094;train
1;2,2-dimethylpentane;100.125;3.218576171875;3.7645997314453123;6.0;16.00901824951172;240.84783630371095;train
1;heptane;100.125;3.3212431640625;3.822864196777344;6.0;15.772962341308594;243.79017333984376;train
1;2,4-dimethylpentane;100.125;3.1654576416015625;3.7328883056640625;6.0;16.14524139404297;239.25023803710937;train
1;2,5-dimethylhexane;114.141;3.4032623291015627;3.8719376831054686;6.0;15.558135986328125;246.31437072753909;train
1;2-methylheptane;114.141;3.4982098388671874;3.927430847167969;6.0;15.324075317382812;249.11685485839845;train
1;3,3-dimethylhexane;114.141;3.515734130859375;3.9389724121093748;6.0;15.268859558105468;249.65338439941408;train
1;3,4-dimethylhexane;114.141;3.5127882080078123;3.936752380371094;6.0;15.280169372558595;249.55631408691406;train
1;3-methylheptane;114.141;3.546818969726562;3.9563847656249997;6.0;15.200806884765626;250.53796081542967;train
1;2,2,3-trimethylpentane;114.141;3.374509765625;3.855391540527344;6.0;15.623521118164064;245.47498168945313;train
1;octane;114.141;3.4317958984375;3.8878403930664063;6.0;15.498992309570312;247.06976928710938;train
1;2,3,4-trimethyl pentane;114.141;3.18351611328125;3.743511047363281;6.0;16.101812744140624;239.7769744873047;train
1;3-methyl-3-ethylpentane;114.141;3.2329000244140627;3.7725875244140625;6.0;15.97856689453125;241.2424041748047;train
1;2-methyl-3-ethyl-pentane;114.141;3.3329715576171877;3.8308480224609376;6.0;15.73120361328125;244.24446105957028;train
1;2,2,3,3-tetramethylpentane;128.157;3.4190003662109376;3.8821680908203122;6.0;15.506341552734375;246.82524719238282;train
1;2,2,5,5-tetramethylhexane;142.172;3.43930419921875;3.893805725097656;6.0;15.462606811523438;247.37785949707032;train
1;decane;142.172;3.6365220947265624;4.009222839355469;6.0;14.985873413085937;253.14833984375;train
1;2,6-dimethyloctane;142.172;3.786488525390625;4.098604125976562;6.0;14.59669677734375;257.6703735351563;train
1;2,7-dimethyloctane;142.172;3.685716186523438;4.039221923828125;6.0;14.850882568359376;254.68316650390625;train
1;3-methyldecane;156.188;3.8681298828125;4.146080200195312;6.0;14.397106323242186;260.0548645019531;train
1;n-undecane;156.188;3.7308350830078125;4.064604248046875;6.0;14.748306274414062;255.95377197265626;train
1;2-methyldecane;156.188;3.8274741210937497;4.121885009765625;6.0;14.501019287109376;258.87938232421874;train
1;2,3-dimethylnonane;156.188;3.9011260986328127;4.166189697265625;6.0;14.3079052734375;261.0729248046875;train
1;3-methylundecane;170.203;3.9568334960937497;4.1981569824218745;6.0;14.174205932617188;262.7045959472656;train
1;2,3-dimethyldecane;170.203;4.023908935546875;4.2384033203125;6.0;14.001268920898438;264.7411743164063;train
1;2-methylundecane;170.203;3.8958752441406252;4.162180786132812;6.0;14.328670043945312;260.90196533203124;train
1;dodecane;170.203;3.7922347412109376;4.100990844726562;6.0;14.592369995117187;257.76243896484374;train
1;3-methyldodecane;184.219;4.007222290039063;4.227784057617187;6.0;14.047266235351561;264.1859924316406;train
1;tridecane;184.219;3.8599139404296876;4.140808715820312;6.0;14.423143920898438;259.7795104980469;train
1;2-methyldodecane;184.219;3.9719395751953126;4.2070185546875;6.0;14.134580688476564;263.16306762695314;train
1;2,3-dimethylundecane;184.219;4.111156005859375;4.289408935546875;6.0;13.785069580078124;267.322802734375;train
1;3-methyltridecane;198.235;4.0875483398437495;4.275074462890625;6.0;13.8440380859375;266.5778259277344;train
1;2,3-dimethyldodecane;198.235;4.1708896484375;4.324779541015625;6.0;13.633191528320312;269.10050659179683;train
1;tetradecane;198.235;3.9140904541015624;4.172781982421875;6.0;14.28586975097656;261.3933898925781;train
1;2-methyltridecane;198.235;4.0482546386718745;4.251950317382812;6.0;13.944197998046874;265.4235534667969;train
1;pentadecane;212.25;3.962075439453125;4.2010556640625;6.0;14.164481811523437;262.842578125;train
1;hexadecane;226.266;4.001008300781249;4.224286010742188;6.0;14.066119995117187;264.0094848632812;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;4.020477416992188;4.237336303710937;6.0;13.994343872070312;264.6711059570313;train
1;heptadecane;240.282;4.031445556640625;4.242062866210937;6.0;13.989049072265624;264.91530151367186;train
1;octadecane;254.297;4.0579609375;4.2577752685546875;6.0;13.921923828125;265.70294189453125;train
1;nonadecane;268.313;4.06773486328125;4.263305541992187;6.0;13.89783996582031;265.98057250976564;train
1;eicosane;282.329;4.08618115234375;4.274062744140625;6.0;13.85126220703125;266.524853515625;train
1;tetracosane;338.391;4.08687060546875;4.274432006835937;6.0;13.850299072265626;266.5456176757813;train
1;heptacosane;380.438;4.157634765625;4.316251831054688;6.0;13.673638916015625;268.6419921875;train
1;octacosane;394.454;4.1844106445312494;4.332022705078125;6.0;13.606690673828123;269.43820800781253;train
1;squalane;422.485;4.65602490234375;4.6107722167968745;6.0;12.418486938476562;283.6552978515625;train
1;2,3,3-trimethylpentane;114.141;3.461166015625;3.906577392578125;6.0;15.403505249023437;248.07500915527342;val
1;3-ethylhexane;114.141;3.4130438232421874;3.8772570800781248;6.0;15.539702148437499;246.5604034423828;val
1;2,2-dimethylhexane;114.141;3.4179862060546875;3.880872863769531;6.0;15.520754394531249;246.73731689453123;val
1;2,2,4-trimethylpentane;114.141;3.2647701416015624;3.79157958984375;6.0;15.891742553710937;242.2469421386719;val
1;2,4-dimethylhexane;114.141;3.4481973876953127;3.898647216796875;6.0;15.443297729492187;247.63580627441408;val
