epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.999460205376148;3.000107209160924;6.0;19.992784173488616;200.01341420412064;train
1;2-methylbutane;72.094;2.0108110704422;3.006364906311035;6.0;19.821066207885742;201.22467298507695;train
1;2-methylpentane;86.11;2.011512705802917;3.0092364110946654;6.0;19.800954341888428;201.28372592926027;train
1;2,2,3-trimethylbutane;100.125;2.0094541330337528;3.0085770540237426;6.0;19.827571716308594;201.24250650405884;train
1;heptane;100.125;2.00995774269104;3.0092972469329835;6.0;19.80962381362915;201.485094165802;train
1;3,4-dimethylhexane;114.141;2.0149754762649534;3.012136444091797;6.0;19.765312118530275;201.6089948654175;train
1;3-methyl-3-ethylpentane;114.141;2.0087851896286013;3.0100842418670655;6.0;19.81923246383667;201.34085664749145;train
1;2,2,4-trimethylpentane;114.141;2.010175129890442;3.0079975533485412;6.0;19.79441667556763;201.49006061553956;train
1;2,4,4-trimethylhexane;128.157;2.0152420568466187;3.0129144992828367;6.0;19.756357154846192;201.54583711624144;train
1;2,3,3,4-tetramethylpentane;128.157;2.013109570503235;3.010771405220032;6.0;19.807918815612794;201.48596410751344;train
1;decane;142.172;2.0112291955947876;3.0104254331588747;6.0;19.796729583740238;201.69619503021244;train
1;2-methyldecane;156.188;2.0146103944778444;3.0120968627929687;6.0;19.77596969604492;201.74766807556153;train
1;dodecane;170.203;2.011915312767029;3.010277102470398;6.0;19.8070343208313;201.58602933883668;train
1;3-methyltridecane;198.235;2.0155567865371706;3.0109378633499144;6.0;19.787086200714114;201.8377233505249;train
1;hexadecane;226.266;2.01121120262146;3.00862255859375;6.0;19.810143909454347;201.7364112854004;train
1;eicosane;282.329;2.0135560636520387;3.008301902770996;6.0;19.794514598846437;201.76382369995113;train
1;ethane;30.047;1.997596863746643;2.9988366948366165;6.0;19.97772510290146;200.1926072359085;train
1;2,2-dimethylpropane;72.094;2.0044476041793824;3.005792224407196;6.0;19.89109935760498;200.87941980361936;train
1;2,2-dimethylbutane;86.11;2.009236035346985;3.0088080806732176;6.0;19.84058742523193;201.16599311828614;train
1;2,3-dimethylpentane;100.125;2.0137935647964476;3.0101893186569213;6.0;19.79473192214966;201.30749101638793;train
1;2,4-dimethylpentane;100.125;2.010080990791321;3.007888428211212;6.0;19.805914001464842;201.37329902648924;train
1;3-methylheptane;114.141;2.0124646005630495;3.011929091453552;6.0;19.775875358581544;201.66718769073486;train
1;2-methyl-3-ethyl-pentane;114.141;2.0106773748397826;3.0108020076751707;6.0;19.7847766494751;201.4910467147827;train
1;2,4-dimethylhexane;114.141;2.014481951713562;3.0118590641021727;6.0;19.777120342254637;201.51857414245606;train
1;2,2,3,4-tetramethylpentane;128.157;2.013169921875;3.0096725330352783;6.0;19.794199333190917;201.4198781013489;train
1;2,2,5-trimethylhexane;128.157;2.0122297449111937;3.0092290439605716;6.0;19.797116088867188;201.36869106292724;train
1;2,6-dimethyloctane;142.172;2.0149822149276733;3.0123796253204347;6.0;19.77262231826782;201.5050950050354;train
1;2,3-dimethylnonane;156.188;2.0155699024200437;3.012327392578125;6.0;19.76466257095337;201.72192764282224;train
1;3-methyldodecane;184.219;2.014219281196594;3.012498957633972;6.0;19.78034616470337;201.82740573883055;train
1;2,3-dimethyldodecane;198.235;2.0188307132720946;3.012856459617615;6.0;19.763125362396238;201.85910511016846;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0143876819610593;3.010796515464783;6.0;19.78413408279419;201.60487995147705;train
1;tetracosane;338.391;2.014653893470764;3.007797113418579;6.0;19.791577358245853;201.7382884979248;train
1;propane;44.063;2.0022673115730285;3.004933086872101;6.0;19.901475067138673;200.71385021209719;train
1;pentane;72.094;2.007383165836334;3.007181969165802;6.0;19.843968639373777;201.12409629821775;train
1;2,3-dimethylbutane;86.11;2.0110313272476197;3.0077861847877503;6.0;19.84256937980652;200.96304101943971;train
