epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.0021191391944884;3.0016888753175737;6.0;19.868606472015383;200.26582305431367;train
1;2,2-dimethylpropane;72.094;2.0080592079162596;3.0074460587501526;6.0;19.757959384918212;200.63114748001095;train
1;2,2-dimethylbutane;86.11;2.0089394760131833;3.008105320930481;6.0;19.724078044891357;200.71535634994504;train
1;2,3-dimethylpentane;100.125;2.0106517086029054;3.010083867073059;6.0;19.721340160369873;200.58229799270632;train
1;2,4-dimethylpentane;100.125;2.010594747543335;3.0090106410980226;6.0;19.731050338745117;200.6202585220337;train
1;3-methylheptane;114.141;2.0114305820465086;3.008332035064697;6.0;19.713055362701418;200.67773513793946;train
1;2-methyl-3-ethyl-pentane;114.141;2.0112536106109618;3.0089792537689206;6.0;19.71381637573242;200.64554538726807;train
1;2,4-dimethylhexane;114.141;2.010911401748657;3.0095339517593382;6.0;19.713858432769776;200.70300703048707;train
1;2,2,3,4-tetramethylpentane;128.157;2.0098818721771243;3.0081705827713012;6.0;19.70106216430664;200.81596469879148;train
1;2,2,5-trimethylhexane;128.157;2.011027780532837;3.009677816390991;6.0;19.70432668685913;200.6443857192993;train
1;2,6-dimethyloctane;142.172;2.013320714950561;3.0094307708740233;6.0;19.70076602935791;200.6589449882507;train
1;2,3-dimethylnonane;156.188;2.012908103942871;3.011322093009949;6.0;19.683408336639406;200.6980920314789;train
1;3-methyldodecane;184.219;2.011609196662903;3.0090233774185178;6.0;19.673334045410154;200.87687339782713;train
1;2,3-dimethyldodecane;198.235;2.012221719741821;3.011076524734497;6.0;19.66505386352539;200.91403341293335;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0103838176727296;3.010087168693542;6.0;19.673606643676756;200.94359445571897;train
1;tetracosane;338.391;2.00755549955368;3.0071294031143188;6.0;19.65807842254639;201.1155192375183;train
1;propane;44.063;2.0058457527160645;3.003957182407379;6.0;19.80712104797363;200.38613145351408;train
1;pentane;72.094;2.0075186595916747;3.007256352424622;6.0;19.759221134185793;200.52129058837892;train
1;2,3-dimethylbutane;86.11;2.0085126628875734;3.0075236101150513;6.0;19.74057014465332;200.68284645080564;train
1;3-methylhexane;100.125;2.0108412303924563;3.0087610054016114;6.0;19.723674716949464;200.62266902923582;train
1;2,5-dimethylhexane;114.141;2.0115116596221925;3.0094504585266115;6.0;19.72936025619507;200.6185163497925;train
1;2,2,3-trimethylpentane;114.141;2.0094634990692137;3.0082127990722656;6.0;19.701143131256103;200.72033095359805;train
1;2,3,3-trimethylpentane;114.141;2.009701897621155;3.008727140426636;6.0;19.694080543518066;200.69307570457457;train
1;4-methylheptane;114.141;2.011812511444092;3.0091644735336303;6.0;19.716338748931886;200.64235372543334;train
1;3,3-diethylpentane;128.157;2.009487133979797;3.0080658197402954;6.0;19.697095146179198;200.77993063926698;train
1;2,3-dimethylheptane;128.157;2.0113224143981934;3.0108919639587404;6.0;19.697058219909668;200.7033842086792;train
1;2,7-dimethyloctane;142.172;2.0121144618988036;3.0084301204681396;6.0;19.701859607696534;200.73899116516114;train
1;3-methylundecane;170.203;2.0111645641326907;3.0089774131774902;6.0;19.675535888671874;200.84419870376587;train
