epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.001290119290352;3.000844887316227;6.0;19.991581231355667;200.0114355094731;train
1;2,2-dimethylpropane;72.094;2.0041309599876405;3.0028601956367496;6.0;19.997391050755976;199.9075432598591;train
1;2,2-dimethylbutane;86.11;2.005037230968475;3.002045804977417;6.0;19.993154563307762;199.74068560600278;train
1;2,3-dimethylpentane;100.125;2.0041897597312928;3.001778517723084;6.0;19.99106643021107;199.82136940956116;train
1;2,4-dimethylpentane;100.125;2.0075752334594728;3.004056109905243;6.0;19.988702169656754;199.75708980560302;train
1;3-methylheptane;114.141;2.00738102388382;3.0028591561317444;6.0;20.019343959093092;200.16395624876023;train
1;2-methyl-3-ethyl-pentane;114.141;2.0059878096580506;2.9998735229223965;6.0;20.00973938524723;199.96879102587698;train
1;2,4-dimethylhexane;114.141;2.00601204252243;3.0034891114234927;6.0;20.00650071680546;200.06388012766837;train
1;2,2,3,4-tetramethylpentane;128.157;2.0035338034629824;2.99758708024025;6.0;19.981217070817948;200.00333338491617;train
1;2,2,5-trimethylhexane;128.157;2.0069452419281006;3.00226426243782;6.0;19.99618449419737;199.72800793647764;train
1;2,6-dimethyloctane;142.172;2.0074011697769167;3.0017942410707477;6.0;20.01927940249443;199.89921332597734;train
1;2,3-dimethylnonane;156.188;2.0080441684722903;3.0026658241748807;6.0;20.003443490564827;199.59651303291318;train
1;3-methyldodecane;184.219;2.007726466178894;3.002264122724533;6.0;19.98523920893669;200.19626516103745;train
1;2,3-dimethyldodecane;198.235;2.0072858891487124;3.001445895075798;6.0;19.984442747831345;199.84054340124132;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.005964379787445;3.0017513004541394;6.0;19.9938637393713;199.6942177295685;train
1;tetracosane;338.391;2.0025058550834656;2.999388428747654;6.0;19.9410240650177;199.9715192615986;train
1;propane;44.063;2.0024533958435056;3.0010776591300967;6.0;19.985006514787674;199.92322905659674;train
1;pentane;72.094;2.003787360906601;3.003152999639511;6.0;19.978245334625242;199.87466099262238;train
1;2,3-dimethylbutane;86.11;2.002363028526306;3.0013455764055252;6.0;19.994702749848365;199.79813599586487;train
1;3-methylhexane;100.125;2.0072531509399414;3.0043997907638547;6.0;19.990271202921868;200.07791822552684;train
1;2,5-dimethylhexane;114.141;2.007852389812469;3.0030171120166775;6.0;20.01347979903221;200.00439968816934;train
1;2,2,3-trimethylpentane;114.141;2.00426203918457;2.9984715344905855;6.0;19.99923165000975;199.90299428701402;train
1;2,3,3-trimethylpentane;114.141;2.0051247725486756;2.9980581222772598;6.0;19.976099076271055;199.85283818244935;train
1;4-methylheptane;114.141;2.00793975687027;3.0037858574390413;6.0;20.003805791437625;200.06055110096935;train
1;3,3-diethylpentane;128.157;2.0034325337409973;2.997514049768448;6.0;20.00870968103409;199.74436132907866;train
1;2,3-dimethylheptane;128.157;2.0056640257835388;3.00235715508461;6.0;19.99571596056223;199.9312278211117;train
1;2,7-dimethyloctane;142.172;2.0076978583335876;3.0015040341615675;6.0;20.00984519660473;200.03023267388346;train
1;3-methylundecane;170.203;2.006169659614563;3.0028235383033755;6.0;19.989594088792803;200.08795620799066;train
1;tridecane;184.219;2.0052998695373536;3.0018381029367447;6.0;19.975738089084626;199.7731199502945;train
1;tetradecane;198.235;2.005215783596039;3.0006993288993833;6.0;19.970939469337463;199.72710728645325;train
1;heptadecane;240.282;2.0035152349472045;3.0004503320455553;6.0;19.97688409090042;199.77491812705995;train
1;heptacosane;380.438;2.001691709399223;2.9991164893507958;6.0;19.934956407547;200.0290130674839;train
1;n-butane;58.078;2.0034210410118103;3.0030351781845095;6.0;19.980062338113783;199.89692405462264;train
1;3-methylpentane;86.11;2.0045575437545775;3.0043841643333433;6.0;19.992812342047692;200.1900923728943;train
1;3-ethylpentane;100.125;2.0054003419876096;3.0016101944446563;6.0;20.018556156158446;199.96574195027353;train
1;3,3-dimethylpentane;100.125;2.004724760055542;3.0011314262151716;6.0;19.98217093706131;199.8102043747902;train
1;2-methylheptane;114.141;2.005902245044708;3.002688862800598;6.0;19.99350048840046;199.86215397119523;train
1;octane;114.141;2.004110541820526;3.0041454119682314;6.0;19.97554444551468;199.84807127714157;train
1;3-ethylhexane;114.141;2.0067287225723267;3.0025023605823518;6.0;20.004881057441235;199.92721406817435;train
1;2,3-dimethylhexane;114.141;2.006474558353424;3.003267944097519;6.0;19.986370924711228;200.0092651434243;train
1;2-methyloctane;128.157;2.0058567004203796;3.003003102779388;6.0;19.995072557628156;199.81273797750472;train
1;2,2,3,3-tetramethylpentane;128.157;2.005529276371002;3.000725542128086;6.0;19.983752896785735;199.76350073814393;train
