epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.9998242043852805;2.99918944889307;6.0;19.959577946662904;200.2666573524475;train
1;2,2-dimethylpropane;72.094;2.0034861636161807;3.0051743359565735;6.0;19.874976387023928;200.50771284103394;train
1;2,2-dimethylbutane;86.11;2.0050810956954956;3.004875141143799;6.0;19.857052192687988;200.8826174736023;train
1;2,3-dimethylpentane;100.125;2.006630051612854;3.004802083492279;6.0;19.86003129005432;200.88632621765137;train
1;2,4-dimethylpentane;100.125;2.004702850341797;3.005157821178436;6.0;19.856425457000732;200.82171201705933;train
1;3-methylheptane;114.141;2.0068898754119875;3.006182675361633;6.0;19.842792558670045;201.01618051528928;train
1;2-methyl-3-ethyl-pentane;114.141;2.006575465679169;3.005439564228058;6.0;19.84372471809387;200.99028482437134;train
1;2,4-dimethylhexane;114.141;2.0077780361175535;3.007068356513977;6.0;19.86701068878174;200.90426931381225;train
1;2,2,3,4-tetramethylpentane;128.157;2.003735577583313;3.0038190190792085;6.0;19.840242233276367;200.56206827163697;train
1;2,2,5-trimethylhexane;128.157;2.0043757123947143;3.0044320459365847;6.0;19.83350435256958;201.01144437789918;train
1;2,6-dimethyloctane;142.172;2.0031158592700957;3.0057376952171326;6.0;19.83857355117798;200.97722740173342;train
1;2,3-dimethylnonane;156.188;2.0049700508117674;3.0053591256141665;6.0;19.821257514953615;201.24009590148927;train
1;3-methyldodecane;184.219;2.0017346091270447;3.0025330698490142;6.0;19.815725040435794;201.08551111221314;train
1;2,3-dimethyldodecane;198.235;2.002731969118118;3.004443936347961;6.0;19.810632648468015;201.3767285346985;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0045760169029236;3.0088369121551515;6.0;19.829697494506835;200.89726705551146;train
1;tetracosane;338.391;2.0060819787979125;3.0055945911407473;6.0;19.841325054168703;200.74199342727664;train
1;propane;44.063;2.000979482471943;3.0018429701328277;6.0;19.943461108207703;200.41356182098386;train
1;pentane;72.094;2.003888067960739;3.0045398597717288;6.0;19.894864673614503;200.54655919075012;train
1;2,3-dimethylbutane;86.11;2.005650043487549;3.004695879459381;6.0;19.86144917488098;200.81450910568236;train
1;3-methylhexane;100.125;2.00785275554657;3.00580256986618;6.0;19.865611534118653;200.7906371116638;train
1;2,5-dimethylhexane;114.141;2.006695824146271;3.004905243873596;6.0;19.848999338150023;200.9216242790222;train
1;2,2,3-trimethylpentane;114.141;2.0065996122360232;3.0047947430610655;6.0;19.837970180511476;200.63334069252016;train
1;2,3,3-trimethylpentane;114.141;2.00481898021698;3.0051038484573365;6.0;19.83466646194458;200.87571392059326;train
1;4-methylheptane;114.141;2.007897783279419;3.006483620643616;6.0;19.848276987075806;200.88724279403687;train
1;3,3-diethylpentane;128.157;2.003949910879135;3.005083825588226;6.0;19.839305801391603;200.78377389907837;train
1;2,3-dimethylheptane;128.157;2.006424648284912;3.005669720649719;6.0;19.844931297302246;201.22064085006716;train
1;2,7-dimethyloctane;142.172;2.003629857778549;3.006944073677063;6.0;19.841578731536863;201.06672925949098;train
1;3-methylundecane;170.203;2.002866579055786;3.0038109254837035;6.0;19.816678466796876;200.97157478332522;train
1;tridecane;184.219;2.005450356006622;3.0030417320728304;6.0;19.84382618904114;200.9587264060974;train
1;tetradecane;198.235;2.005112732410431;3.0041798386573793;6.0;19.843386478424073;200.86673965454102;train
1;heptadecane;240.282;2.0052035584449768;3.004454433441162;6.0;19.84274143218994;200.96221227645873;train
1;heptacosane;380.438;2.0052856216430666;3.004713250160217;6.0;19.82403646469116;200.78085494041443;train
1;n-butane;58.078;2.0024293158054354;3.0041692671775815;6.0;19.915308208465575;200.3079751491547;train
1;3-methylpentane;86.11;2.005705665588379;3.0055066747665404;6.0;19.870096950531003;200.68008193969726;train
1;3-ethylpentane;100.125;2.0055246667861937;3.004352340698242;6.0;19.85752429962158;200.65603132247924;train
1;3,3-dimethylpentane;100.125;2.0040786848068235;3.004736529350281;6.0;19.847716360092164;201.05945529937745;train
1;2-methylheptane;114.141;2.0058945016860963;3.006521176815033;6.0;19.84958557128906;200.93697166442874;train
1;octane;114.141;2.004723097324371;3.0063303751945494;6.0;19.858394718170164;200.90594148635867;train
1;3-ethylhexane;114.141;2.0071396675109865;3.0037890088558195;6.0;19.855639333724973;200.85470037460328;train
1;2,3-dimethylhexane;114.141;2.0073265848159787;3.004713248729706;6.0;19.853609142303466;201.1287221908569;train
1;2-methyloctane;128.157;2.0054610362052916;3.0064783735275267;6.0;19.843502368927002;201.0097884178162;train
1;2,2,3,3-tetramethylpentane;128.157;2.0004279324412346;3.003607259988785;6.0;19.83712080001831;200.92675647735598;train
1;3-methyldecane;156.188;2.002987060546875;3.0035433773994447;6.0;19.832387981414797;201.03357534408568;train
1;2,3-dimethyldecane;170.203;2.0035470030307767;3.004677205562592;6.0;19.824815940856936;201.18684539794918;train
1;2-methyldodecane;184.219;2.004057602405548;3.003170357465744;6.0;19.83156259536743;201.0334834098816;train
1;2-methyltridecane;198.235;2.005192826271057;3.0021947252750394;6.0;19.83166519165039;201.1187664985657;train
1;octadecane;254.297;2.006296339035034;3.004908341884613;6.0;19.849594478607177;200.940997505188;train
1;octacosane;394.454;2.0054640097618104;3.005010543823242;6.0;19.82511667251587;200.83550577163695;train
1;2-methylpropane;58.078;2.0019031406641004;3.003275203704834;6.0;19.897740039825436;200.4694652080536;train
1;hexane;86.11;2.004559376716614;3.005257318496704;6.0;19.879755115509035;200.788754940033;train
1;2-methylhexane;100.125;2.005935531139374;3.0039126932621003;6.0;19.855794410705563;200.9139949798584;train
1;2,2-dimethylpentane;100.125;2.005776873588562;3.005741927623749;6.0;19.84963806152344;200.73416171073913;train
1;3,3-dimethylhexane;114.141;2.005762574195862;3.005894298553467;6.0;19.839156951904297;200.9904381752014;train
1;2,3,4-trimethyl pentane;114.141;2.0070700268745423;3.0040025658607483;6.0;19.853091964721678;200.85898723602295;train
1;2,2-dimethylhexane;114.141;2.0059496288299563;3.004702501296997;6.0;19.83874309539795;200.87934370040895;train
1;nonane;128.157;2.003291417837143;3.00423814535141;6.0;19.857655973434447;200.92870111465456;train
1;2,2,4,4-tetramethylpentane;128.157;2.002481123685837;3.003751731157303;6.0;19.82608953475952;200.86100807189942;train
1;2,2,5,5-tetramethylhexane;142.172;2.002093381643295;3.002993015527725;6.0;19.831600666046143;200.97771577835087;train
1;n-undecane;156.188;2.002703782558441;3.0030020315647126;6.0;19.84302506446838;200.92401199340824;train
1;2-methylundecane;170.203;2.0047779598236084;3.003034605979919;6.0;19.833902988433838;200.86530752182003;train
1;2,3-dimethylundecane;184.219;2.001876755356789;3.0043997712135315;6.0;19.81757875442505;201.2953455924988;train
1;pentadecane;212.25;2.0045010118484496;3.0037340247631072;6.0;19.843239059448244;200.92377815246581;train
1;nonadecane;268.313;2.0056632409095765;3.004295736312866;6.0;19.84343327522278;200.91810274124146;train
1;squalane;422.485;2.0016267839670183;3.005811696052551;6.0;19.832165241241455;201.0538498878479;train
1;methane;16.031;1.9996468232274056;2.9997884537428616;6.0;19.986962890625;200.07176701426505;val
1;2-methylbutane;72.094;2.004834577560425;3.004018599510193;6.0;19.884709463119506;200.54778184890748;val
