epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.6249287719726562;3.4615554809570312;6.0;15.145110473632812;194.66932640075686;train
1;2,2-dimethylpropane;72.094;2.303115173339844;3.8605053710937502;6.0;15.089688415527345;224.80397491455076;train
1;2,2-dimethylbutane;86.11;2.5821822509765626;3.916532958984375;6.0;15.113410949707031;237.58971252441404;train
1;2,3-dimethylpentane;100.125;2.9175592651367186;3.9106529541015624;6.0;15.149236755371094;246.65949096679688;train
1;2,4-dimethylpentane;100.125;3.0210617065429686;3.8321053466796875;6.0;15.195025329589845;242.23731384277346;train
1;3-methylheptane;114.141;3.4662496337890625;3.832479675292969;6.0;15.198561401367188;241.94143371582032;train
1;2-methyl-3-ethyl-pentane;114.141;3.182863525390625;3.9400515747070313;6.0;15.129979248046874;249.42333374023437;train
1;2,4-dimethylhexane;114.141;3.31775830078125;3.8565074462890623;6.0;15.171248168945313;243.3549652099609;train
1;2,2,3,4-tetramethylpentane;128.157;3.113709228515625;4.1094858398437495;6.0;15.185758361816406;261.4530334472656;train
1;2,2,5-trimethylhexane;128.157;3.629166748046875;3.870886962890625;6.0;15.281008300781252;244.80003356933594;train
1;2,6-dimethyloctane;142.172;4.039604858398437;3.855852844238281;6.0;15.217981567382813;244.73485412597657;train
1;2,3-dimethylnonane;156.188;3.8677208251953124;4.0357686767578125;6.0;15.09594451904297;255.76024780273437;train
1;3-methyldodecane;184.219;4.763057373046875;3.9845598754882814;6.0;15.1269091796875;255.01487426757814;train
1;2,3-dimethyldodecane;198.235;4.9754462890625;4.0027490234375005;6.0;15.177898559570313;256.9918518066406;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.1018408203125;4.0150974731445315;6.0;15.22966278076172;257.4108154296875;train
1;tetracosane;338.391;9.4099658203125;3.842682434082031;6.0;15.230624389648437;245.67353515625;train
1;propane;44.063;1.9746588592529297;3.6647609252929687;6.0;15.086329650878907;206.62558822631834;train
1;pentane;72.094;2.679736328125;3.7126522216796873;6.0;15.197989501953124;230.16041259765626;train
1;2,3-dimethylbutane;86.11;2.6367071533203124;3.8923800659179686;6.0;15.111806030273438;238.6682189941406;train
1;3-methylhexane;100.125;3.122584716796875;3.823449157714844;6.0;15.17407012939453;241.56483764648436;train
1;2,5-dimethylhexane;114.141;3.4187603759765626;3.809282165527344;6.0;15.243324584960938;240.36575622558595;train
1;2,2,3-trimethylpentane;114.141;2.9634546508789064;4.047804443359375;6.0;15.17389617919922;255.7916076660156;train
1;2,3,3-trimethylpentane;114.141;2.9195147705078126;4.0746796875;6.0;15.163115234374999;256.09880371093755;train
1;4-methylheptane;114.141;3.480498291015625;3.816779296875;6.0;15.220402832031251;240.9790496826172;train
1;3,3-diethylpentane;128.157;3.101817138671875;4.085600463867188;6.0;15.1218408203125;259.5349060058594;train
1;2,3-dimethylheptane;128.157;3.6416419677734373;3.9015172119140624;6.0;15.206962890625;246.78999633789064;train
