epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.000089340142906;3.001332676053047;6.0;19.95871690750122;200.0259968906641;train
1;2,2-dimethylpropane;72.094;2.0069735007286074;3.003082215309143;6.0;19.904429683685304;200.38796389102936;train
1;2,2-dimethylbutane;86.11;2.0090231761932373;3.0049356837272647;6.0;19.90718783378601;200.52839007377625;train
1;2,3-dimethylpentane;100.125;2.0095001630783083;3.00597475194931;6.0;19.895223665237427;200.66505632400515;train
1;2,4-dimethylpentane;100.125;2.0085054388046264;3.004140245914459;6.0;19.891829252243042;200.48365283012393;train
1;3-methylheptane;114.141;2.009140693664551;3.006564070224762;6.0;19.862407693862917;200.7922352790833;train
1;2-methyl-3-ethyl-pentane;114.141;2.0089537448883057;3.0053203010559084;6.0;19.884281339645383;200.74780144691465;train
1;2,4-dimethylhexane;114.141;2.007754508972168;3.0042530751228336;6.0;19.881579418182373;200.66891465187072;train
1;2,2,3,4-tetramethylpentane;128.157;2.009078209877014;3.003021706342697;6.0;19.877437677383423;200.83359651565553;train
1;2,2,5-trimethylhexane;128.157;2.0088854856491087;3.005693864822388;6.0;19.869162406921387;200.517994260788;train
1;2,6-dimethyloctane;142.172;2.010139616012573;3.0078249249458313;6.0;19.871514472961426;200.64788360595705;train
1;2,3-dimethylnonane;156.188;2.0104074029922483;3.005813323020935;6.0;19.882384223937986;200.7404568195343;train
1;3-methyldodecane;184.219;2.010478521347046;3.0065482234954835;6.0;19.862715616226197;201.01668844223025;train
1;2,3-dimethyldodecane;198.235;2.011089367866516;3.005287442684174;6.0;19.879742879867553;200.97451162338257;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0095027723312375;3.0015279117822646;6.0;19.89463785171509;200.69461297988892;train
1;tetracosane;338.391;2.009193026542664;3.00634307384491;6.0;19.856440620422365;200.81008300781252;train
1;propane;44.063;2.0035839569568634;3.003874362707138;6.0;19.930683097839356;200.35118000507356;train
1;pentane;72.094;2.0061456446647643;3.0047526683807373;6.0;19.907030944824218;200.40126347541812;train
1;2,3-dimethylbutane;86.11;2.0093662729263304;3.004725696563721;6.0;19.912124757766723;200.47871408462524;train
1;3-methylhexane;100.125;2.0088590326309204;3.0070688686370852;6.0;19.884362678527832;200.67168083190916;train
1;2,5-dimethylhexane;114.141;2.0079101457595825;3.0050191497802734;6.0;19.875874052047728;200.51039185523987;train
1;2,2,3-trimethylpentane;114.141;2.009066339492798;3.0058665480613707;6.0;19.86581651687622;200.72676267623902;train
1;2,3,3-trimethylpentane;114.141;2.0091906690597536;3.0052943692207337;6.0;19.878730602264405;200.55858573913574;train
1;4-methylheptane;114.141;2.0098348693847656;3.005265157699585;6.0;19.87371523857117;200.75046620368954;train
1;3,3-diethylpentane;128.157;2.007529184341431;3.003897911787033;6.0;19.878388843536378;200.55986156463624;train
1;2,3-dimethylheptane;128.157;2.0097239694595337;3.005413592338562;6.0;19.873387699127196;200.7017189502716;train
1;2,7-dimethyloctane;142.172;2.0087027654647827;3.006990818500519;6.0;19.87820261001587;200.54325971603393;train
1;3-methylundecane;170.203;2.0096855211257934;3.0069784975051883;6.0;19.859222621917723;200.9448220252991;train
1;tridecane;184.219;2.008215954780579;3.0046777143478396;6.0;19.864611377716063;200.7562931060791;train
1;tetradecane;198.235;2.0084097757339476;3.0050063128471374;6.0;19.864540519714357;200.847168636322;train
1;heptadecane;240.282;2.0095948572158813;3.005373658180237;6.0;19.868811187744143;200.95662527084352;train
1;heptacosane;380.438;2.009156704902649;3.005818675994873;6.0;19.855901288986207;200.95053853988648;train
1;n-butane;58.078;2.0040191440582276;3.0034295938014983;6.0;19.926918067932128;200.3341518640518;train
1;3-methylpentane;86.11;2.0091592836380006;3.0047243337631224;6.0;19.89142644882202;200.61565427780153;train
1;3-ethylpentane;100.125;2.0078686208724976;3.004476464271545;6.0;19.884999084472657;200.69578571319582;train
1;3,3-dimethylpentane;100.125;2.009131790161133;3.0038141055107115;6.0;19.889800825119018;200.52500972747805;train
1;2-methylheptane;114.141;2.0084496660232545;3.0070092668533324;6.0;19.874937486648562;200.62722492218015;train
