epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.6013210144042969;3.4945099182128905;6.0;14.999042053222658;193.5249382019043;train
1;2,2-dimethylpropane;72.094;2.321810302734375;3.8915222778320313;6.0;14.73900146484375;227.57437438964843;train
1;2,2-dimethylbutane;86.11;2.6168821411132814;3.9655922851562497;6.0;14.796856689453124;241.71853942871095;train
1;2,3-dimethylpentane;100.125;2.9809615478515625;3.979738830566406;6.0;14.847625122070314;251.40550537109374;train
1;2,4-dimethylpentane;100.125;3.0810806884765625;3.901952819824219;6.0;14.79550537109375;243.47359924316407;train
1;3-methylheptane;114.141;3.5828580322265626;3.906552917480469;6.0;14.814886474609374;245.83359985351564;train
1;2-methyl-3-ethyl-pentane;114.141;3.270299194335937;4.017937072753906;6.0;14.819700927734374;255.16998291015628;train
1;2,4-dimethylhexane;114.141;3.4179697265625;3.9334748535156248;6.0;14.773241577148436;246.79467773437497;train
1;2,2,3,4-tetramethylpentane;128.157;3.2037121582031247;4.174990966796875;6.0;14.845125732421875;269.13014526367186;train
1;2,2,5-trimethylhexane;128.157;3.763579345703125;3.92116259765625;6.0;14.864640502929687;246.30617675781252;train
1;2,6-dimethyloctane;142.172;4.2163110351562505;3.9331768798828124;6.0;14.763841552734377;249.0968933105469;train
1;2,3-dimethylnonane;156.188;3.9616654052734375;4.137973510742188;6.0;14.691119384765624;265.84547729492186;train
1;3-methyldodecane;184.219;5.042578125;4.06524365234375;6.0;14.71247741699219;263.57368164062495;train
1;2,3-dimethyldodecane;198.235;5.243566650390624;4.083364868164063;6.0;14.74079833984375;265.34949340820316;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.380546142578125;4.10904541015625;6.0;14.599035034179689;262.397119140625;train
1;tetracosane;338.391;9.99128173828125;3.9399895629882815;6.0;14.430216064453125;253.81192626953126;train
1;propane;44.063;1.9731543083190917;3.661534423828125;6.0;14.944702758789061;207.12906723022462;train
1;pentane;72.094;2.7203936767578125;3.7614584960937503;6.0;14.952517700195314;230.5487854003906;train
1;2,3-dimethylbutane;86.11;2.6715914306640625;3.9502227783203123;6.0;14.851978759765625;243.44494018554687;train
1;3-methylhexane;100.125;3.2040041503906247;3.8926876831054686;6.0;14.850672607421876;244.14740905761718;train
1;2,5-dimethylhexane;114.141;3.526443359375;3.8914505004882813;6.0;14.756630249023438;242.94081726074222;train
1;2,2,3-trimethylpentane;114.141;3.0320194091796875;4.10491015625;6.0;14.865521240234374;262.7390258789062;train
1;2,3,3-trimethylpentane;114.141;2.978050048828125;4.143156494140625;6.0;14.834421997070313;265.0209594726563;train
1;4-methylheptane;114.141;3.5919653320312497;3.88819091796875;6.0;14.800684204101561;243.9817199707031;train
1;3,3-diethylpentane;128.157;3.2010543212890625;4.201266479492188;6.0;14.6840869140625;270.46448974609376;train
1;2,3-dimethylheptane;128.157;3.776092529296875;3.9706783447265623;6.0;14.825654296875;251.74541015625002;train
1;2,7-dimethyloctane;142.172;4.26698583984375;3.916833068847656;6.0;14.727121582031248;247.49137878417972;train
1;3-methylundecane;170.203;4.550048095703125;4.10921240234375;6.0;14.7084375;265.95323486328124;train
1;tridecane;184.219;5.58676953125;3.875942138671875;6.0;14.740498046875;250.95076599121091;train
1;tetradecane;198.235;5.96706201171875;3.8714910888671876;6.0;14.695567626953125;251.45771484375;train
1;heptadecane;240.282;7.34247900390625;3.8738709716796875;6.0;14.621788940429688;250.70623474121092;train
1;heptacosane;380.438;11.221703125;3.9174748535156247;6.0;14.461907958984375;251.68724975585937;train
1;n-butane;58.078;2.3049231872558593;3.747987976074219;6.0;14.915318603515626;220.19827880859376;train
1;3-methylpentane;86.11;2.86601806640625;3.87506298828125;6.0;14.870513305664064;241.27632446289064;train
1;3-ethylpentane;100.125;3.147197509765625;3.91807861328125;6.0;14.837420654296874;246.37967529296873;train
1;3,3-dimethylpentane;100.125;2.8136776123046876;4.05078662109375;6.0;14.799997558593748;253.31370849609374;train
1;2-methylheptane;114.141;3.637939208984375;3.878859802246094;6.0;14.80892822265625;243.25430908203126;train
1;octane;114.141;3.8327343750000002;3.8248846435546877;6.0;14.888746032714844;240.96881103515625;train
1;3-ethylhexane;114.141;3.502031982421875;3.9299595336914064;6.0;14.77404296875;247.2181610107422;train
1;2,3-dimethylhexane;114.141;3.4012072753906253;3.968900207519531;6.0;14.838551025390625;250.79053344726563;train
1;2-methyloctane;128.157;4.0699311523437505;3.875931884765625;6.0;14.798451538085937;244.59369506835938;train
1;2,2,3,3-tetramethylpentane;128.157;3.13440625;4.231137084960937;6.0;14.824279174804689;273.95557861328126;train
1;3-methyldecane;156.188;4.138328857421875;4.120532470703125;6.0;14.68738525390625;265.3431396484375;train
1;2,3-dimethyldecane;170.203;4.574749755859375;4.087072265625;6.0;14.807777709960938;264.6274291992188;train
1;2-methyldodecane;184.219;5.335515869140625;3.964648010253906;6.0;14.723951416015627;256.40552978515626;train
1;2-methyltridecane;198.235;5.690052734375;3.9640270385742187;6.0;14.668018798828125;257.0504516601562;train
1;octadecane;254.297;7.71487109375;3.888922668457031;6.0;14.585150756835938;251.55161743164064;train
1;octacosane;394.454;11.5046611328125;3.91345361328125;6.0;14.431845703125;251.37451171874997;train
1;2-methylpropane;58.078;2.2157506713867186;3.7647603759765627;6.0;14.884842834472655;218.223713684082;train
