epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.5911610107421876;3.503655822753906;6.0;24.707545471191406;192.04537200927734;train
1;2,2-dimethylpropane;72.094;2.25724609375;3.890513977050781;6.0;25.06739044189453;227.68403015136718;train
1;2,2-dimethylbutane;86.11;2.539979919433594;3.967854736328125;6.0;24.865753784179688;242.12945861816405;train
1;2,3-dimethylpentane;100.125;2.905488525390625;3.978582458496094;6.0;24.674423828125;253.76208496093747;train
1;2,4-dimethylpentane;100.125;3.012348388671875;3.904200378417969;6.0;24.721954040527343;244.8867431640625;train
1;3-methylheptane;114.141;3.5009428710937502;3.914260986328125;6.0;24.595479736328123;248.64114990234376;train
1;2-methyl-3-ethyl-pentane;114.141;3.1864251708984375;4.018427856445312;6.0;24.594713134765627;258.2131896972656;train
1;2,4-dimethylhexane;114.141;3.335989135742188;3.940114318847656;6.0;24.645093994140623;249.17154541015628;train
1;2,2,3,4-tetramethylpentane;128.157;3.102793701171875;4.167786499023437;6.0;24.55962493896484;271.4830078125;train
1;2,2,5-trimethylhexane;128.157;3.671068359375;3.9420643310546875;6.0;24.608416442871093;247.68408203125;train
1;2,6-dimethyloctane;142.172;4.123311523437501;3.9503727416992187;6.0;24.56176239013672;251.60965576171876;train
1;2,3-dimethylnonane;156.188;3.8468131103515626;4.1283288574218755;6.0;24.504339904785155;269.3430541992187;train
1;3-methyldodecane;184.219;4.935357666015625;4.084062866210937;6.0;24.415807189941408;267.41298828125;train
1;2,3-dimethyldodecane;198.235;5.1235551757812505;4.096662841796875;6.0;24.351550598144527;268.6223937988281;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.25364013671875;4.162934326171875;6.0;24.504360961914063;264.09271240234375;train
1;tetracosane;338.391;9.83682763671875;3.933723876953125;6.0;23.839899291992186;259.8724914550781;train
1;propane;44.063;1.934474235534668;3.651162658691406;6.0;24.86241607666016;208.3521697998047;train
1;pentane;72.094;2.676832275390625;3.7426380004882813;6.0;24.666305541992188;231.46131896972656;train
1;2,3-dimethylbutane;86.11;2.5967178955078127;3.9511687011718752;6.0;24.76643005371094;244.5581268310547;train
1;3-methylhexane;100.125;3.13028173828125;3.8957012329101564;6.0;24.64194183349609;246.45968322753907;train
1;2,5-dimethylhexane;114.141;3.447260498046875;3.9019209594726565;6.0;24.64311096191406;245.07808837890624;train
