epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.5730165405273437;3.5961942749023437;6.0;27.282666625976564;342.8573852539063;train
1;2,2-dimethylpropane;72.094;2.2810523376464844;3.9246145629882814;6.0;25.313726806640627;382.8305908203125;train
1;2,2-dimethylbutane;86.11;2.588071228027344;3.9463387451171874;6.0;24.56876770019531;376.3816772460937;train
1;2,3-dimethylpentane;100.125;2.9275953369140626;3.919928161621094;6.0;31.80293212890625;350.40684814453124;train
1;2,4-dimethylpentane;100.125;3.0163721923828124;3.8555836181640624;6.0;18.764640731811525;362.12213134765625;train
1;3-methylheptane;114.141;3.5314835205078126;3.8841314697265625;6.0;27.058202514648436;335.30091552734376;train
1;2-methyl-3-ethyl-pentane;114.141;3.24352978515625;3.869422058105469;6.0;29.312249145507813;334.2966552734375;train
1;2,4-dimethylhexane;114.141;3.355264526367187;3.9562579956054686;6.0;27.991057739257812;351.76866455078124;train
1;2,2,3,4-tetramethylpentane;128.157;3.1553182373046873;4.02595654296875;6.0;27.512019653320312;368.82977294921875;train
1;2,2,5-trimethylhexane;128.157;3.6661552734375;4.059955444335937;6.0;22.863330688476566;374.3549438476562;train
1;2,6-dimethyloctane;142.172;4.14001611328125;3.974670715332031;6.0;29.26593933105469;335.23797607421875;train
1;2,3-dimethylnonane;156.188;3.9396461181640623;3.9444114990234374;6.0;24.644733276367184;347.2203735351562;train
1;3-methyldodecane;184.219;4.851556640625001;3.8287033081054687;6.0;16.45751403808594;372.2192749023438;train
1;2,3-dimethyldodecane;198.235;5.1546455078125;4.122338012695312;6.0;29.876805419921872;354.4124389648438;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.308547607421875;4.144406127929687;6.0;33.083352050781244;342.7429443359375;train
1;tetracosane;338.391;10.07313525390625;3.9205237426757815;6.0;21.65942916870117;380.0954467773438;train
1;propane;44.063;1.911630210876465;3.7501441040039065;6.0;29.027578735351565;358.08465576171875;train
1;pentane;72.094;2.6797501220703124;3.827120849609375;6.0;22.441359710693362;352.7975219726563;train
1;2,3-dimethylbutane;86.11;2.6298801879882814;3.8328110961914064;6.0;24.114788818359372;352.0569458007812;train
1;3-methylhexane;100.125;3.1539620361328122;3.912249572753906;6.0;32.45898193359375;342.17982177734376;train
1;2,5-dimethylhexane;114.141;3.4658143310546876;3.9072623291015622;6.0;24.830667419433592;344.6136840820313;train
1;2,2,3-trimethylpentane;114.141;2.9753118896484376;4.002167663574219;6.0;21.53275405883789;377.81276855468747;train
1;2,3,3-trimethylpentane;114.141;2.9573231201171875;3.996323913574219;6.0;31.558289794921876;363.9081787109375;train
