epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.000621175944805;3.0015307396650313;6.0;20.027202236652375;200.47625222206116;train
1;2,2-dimethylpropane;72.094;2.0057306241989137;3.003332096338272;6.0;20.097105283737182;201.20407752990724;train
1;2,2-dimethylbutane;86.11;2.007560701370239;3.0037168931961062;6.0;20.110320329666138;201.36426029205322;train
1;2,3-dimethylpentane;100.125;2.0117018976211547;3.004121524810791;6.0;20.10715313911438;201.22657146453858;train
1;2,4-dimethylpentane;100.125;2.008837799072266;3.0047019510269166;6.0;20.099334383010863;201.365255355835;train
1;3-methylheptane;114.141;2.0075597438812256;3.0032229363918304;6.0;20.11294066429138;201.4617733001709;train
1;2-methyl-3-ethyl-pentane;114.141;2.0126064624786375;3.0041827030181887;6.0;20.1110666847229;201.37283124923707;train
1;2,4-dimethylhexane;114.141;2.009864902496338;3.0039649193286895;6.0;20.10919638633728;201.46391324996947;train
1;2,2,3,4-tetramethylpentane;128.157;2.012305740356445;3.0046717686653137;6.0;20.11425980567932;201.21991500854492;train
1;2,2,5-trimethylhexane;128.157;2.0100202836990357;3.0034087703227996;6.0;20.095211868286135;201.6746644973755;train
1;2,6-dimethyloctane;142.172;2.0101644859313965;3.0027055451869966;6.0;20.1095715713501;201.413648891449;train
1;2,3-dimethylnonane;156.188;2.009265236854553;3.0019829977750776;6.0;20.12584080696106;201.55620965957644;train
1;3-methyldodecane;184.219;2.0092826690673826;3.0034806005954744;6.0;20.10658701896667;201.92159862518312;train
1;2,3-dimethyldodecane;198.235;2.0106422061920166;3.002108471632004;6.0;20.127533235549926;201.77743148803708;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0098453664779665;3.002354731798172;6.0;20.1239755153656;201.7496114730835;train
1;tetracosane;338.391;2.0072062096595764;3.003954024553299;6.0;20.094378213882447;201.96692314147947;train
1;propane;44.063;2.0032073218822477;3.0038066663742065;6.0;20.052917685508728;200.82774724960325;train
1;pentane;72.094;2.0052411470413207;3.0025008199214938;6.0;20.08546751976013;200.86367988586426;train
1;2,3-dimethylbutane;86.11;2.009498355865478;3.0036206970214843;6.0;20.097601575851442;201.1523950576782;train
1;3-methylhexane;100.125;2.0082696065902708;3.004828625679016;6.0;20.100699281692506;201.25737333297727;train
1;2,5-dimethylhexane;114.141;2.009006866455078;3.004435040473938;6.0;20.105791330337524;201.58469839096068;train
1;2,2,3-trimethylpentane;114.141;2.0110411062240603;3.0040424757003787;6.0;20.10540181159973;201.40471324920654;train
1;2,3,3-trimethylpentane;114.141;2.011924464225769;3.003258423089981;6.0;20.11646227836609;201.42721824646;train
1;4-methylheptane;114.141;2.007735743045807;3.0040436973571776;6.0;20.100785913467405;201.6038921356201;train
1;3,3-diethylpentane;128.157;2.0116626443862913;3.001505327105522;6.0;20.110558042526243;201.48648986816403;train
1;2,3-dimethylheptane;128.157;2.0097618684768674;3.0031245353221894;6.0;20.121886949539185;201.48963069915771;train
1;2,7-dimethyloctane;142.172;2.009593644142151;3.0033883039951323;6.0;20.09941819190979;201.58956270217897;train
