epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.1669237823486327;3.2371587677001954;6.0;18.956543960571288;208.00281066894533;train
1;2,2-dimethylpropane;72.094;2.1356194000244137;3.138597625732422;6.0;17.62589584350586;203.94866485595708;train
1;2,2-dimethylbutane;86.11;2.0851337661743163;3.0621950416564943;6.0;17.379947509765625;200.27474937438967;train
1;2,3-dimethylpentane;100.125;2.0049223065376283;2.9683223152160645;6.0;17.111372070312502;196.9748893737793;train
1;2,4-dimethylpentane;100.125;1.9855314149856569;2.9420804328918457;6.0;17.075234680175782;199.2532424926758;train
1;3-methylheptane;114.141;1.8526294708251954;2.8479364166259766;6.0;16.459412841796876;197.5237922668457;train
1;2-methyl-3-ethyl-pentane;114.141;1.9272077484130858;2.9166457901000977;6.0;16.724932861328124;196.16725158691406;train
1;2,4-dimethylhexane;114.141;1.8972627258300783;2.881596061706543;6.0;16.62315246582031;198.06834869384767;train
1;2,2,3,4-tetramethylpentane;128.157;1.9448256034851075;2.9447431297302247;6.0;16.624830322265623;193.4504623413086;train
1;2,2,5-trimethylhexane;128.157;1.8222496948242188;2.815434585571289;6.0;16.144457092285155;198.75292091369627;train
1;2,6-dimethyloctane;142.172;1.7140296020507813;2.7291491394042966;6.0;15.535254821777345;197.3275104522705;train
1;2,3-dimethylnonane;156.188;1.7631338348388672;2.796611114501953;6.0;15.688402709960938;193.30056381225586;train
1;3-methyldodecane;184.219;1.5383703002929687;2.5704865112304685;6.0;14.142692260742189;194.61341667175293;train
1;2,3-dimethyldodecane;198.235;1.50249365234375;2.5296092834472654;6.0;13.812102661132812;194.95927848815916;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;1.5053658142089843;2.5105227966308594;6.0;13.411433715820312;199.12542839050295;train
1;tetracosane;338.391;0.9828194129259814;1.9749119191505848;6.0;9.921684803084547;201.04473724365235;train
1;propane;44.063;2.1598646240234376;3.190628677368164;6.0;18.373177642822263;205.66920738220213;train
1;pentane;72.094;2.0664082412719726;2.994646526813507;6.0;17.708460083007814;200.78737297058103;train
1;2,3-dimethylbutane;86.11;2.07122110748291;3.0427567939758298;6.0;17.41067138671875;199.10191230773927;train
1;3-methylhexane;100.125;1.945842403411865;2.9186026000976564;6.0;16.981054077148436;198.40666885375978;train
1;2,5-dimethylhexane;114.141;1.873315460205078;2.8568028259277343;6.0;16.52171539306641;198.90435981750488;train
1;2,2,3-trimethylpentane;114.141;1.9919208650588989;2.9704883460998532;6.0;16.90118682861328;194.76402244567873;train
1;2,3,3-trimethylpentane;114.141;2.0038355832099914;2.9891558046340942;6.0;16.905568237304685;193.98994636535645;train
1;4-methylheptane;114.141;1.8528949737548828;2.84419677734375;6.0;16.461649169921873;198.0833969116211;train
1;3,3-diethylpentane;128.157;1.9439563255310057;2.947329570770264;6.0;16.606880798339844;192.4130500793457;train
1;2,3-dimethylheptane;128.157;1.8079563751220702;2.8171278533935546;6.0;16.118843994140626;196.39654083251955;train
1;2,7-dimethyloctane;142.172;1.7083715209960937;2.715355895996094;6.0;15.466763610839845;197.856343460083;train
1;3-methylundecane;170.203;1.6281511840820313;2.6815619201660157;6.0;14.907500610351562;192.90957260131836;train
1;tridecane;184.219;1.4487443237304687;2.407407775878906;6.0;13.523949584960937;197.3328151702881;train
1;tetradecane;198.235;1.3698717651367187;2.3129153442382813;6.0;13.005223388671876;197.07225341796874;train
1;heptadecane;240.282;1.0902647094726563;1.998196489623765;6.0;11.339163818359374;198.447838973999;train
1;heptacosane;380.438;0.9760973664462554;1.9683511020772841;6.0;9.870484719134717;202.60441703796386;train
1;n-butane;58.078;2.129073501586914;3.1164459075927735;6.0;17.982604217529296;203.707629776001;train
1;3-methylpentane;86.11;2.0362065773010256;2.9799970054626463;6.0;17.36614501953125;199.08473320007323;train
1;3-ethylpentane;100.125;1.957423885345459;2.9306726684570314;6.0;17.013409729003904;197.81315994262692;train
1;3,3-dimethylpentane;100.125;2.043408466339111;3.017932300567627;6.0;17.157850341796873;197.00846099853516;train
1;2-methylheptane;114.141;1.8434221343994142;2.835161895751953;6.0;16.411857299804687;198.3446346282959;train
1;octane;114.141;1.78925390625;2.790159744262695;6.0;16.241080932617187;198.12901000976564;train
1;3-ethylhexane;114.141;1.8721052856445313;2.8650020599365233;6.0;16.53060577392578;197.28950614929198;train
1;2,3-dimethylhexane;114.141;1.8978833618164064;2.8879728775024414;6.0;16.61678955078125;196.97990531921388;train
1;2-methyloctane;128.157;1.744601287841797;2.750606216430664;6.0;15.821546630859375;197.88764762878418;train
1;2,2,3,3-tetramethylpentane;128.157;1.9620948448181152;2.9637391166687013;6.0;16.63833709716797;191.89901962280274;train
1;3-methyldecane;156.188;1.7187180786132812;2.7607587127685544;6.0;15.456985778808594;193.00514526367186;train
1;2,3-dimethyldecane;170.203;1.6219890747070314;2.67397265625;6.0;14.899684753417969;193.34135818481445;train
1;2-methyldodecane;184.219;1.5012283325195312;2.4907681274414064;6.0;13.741382446289062;197.2155418395996;train
1;2-methyltridecane;198.235;1.4285181274414063;2.4035109863281248;6.0;13.241787109374998;196.88668098449708;train
1;octadecane;254.297;1.0181023559570312;1.9939966216011413;6.0;10.8992529296875;198.7429458618164;train
1;octacosane;394.454;0.974710866797551;1.9670312203664855;6.0;9.858729998598736;203.15275878906246;train
1;2-methylpropane;58.078;2.1440168151855468;3.1475149688720703;6.0;17.95548553466797;204.8381145477295;train
1;hexane;86.11;1.9826281242370607;2.9390686149597167;6.0;17.319405212402344;199.73883705139158;train
1;2-methylhexane;100.125;1.928938949584961;2.901529113769531;6.0;16.93011016845703;199.23508262634277;train
1;2,2-dimethylpentane;100.125;2.02366987991333;2.9712960815429685;6.0;17.124472351074218;198.7989959716797;train
1;3,3-dimethylhexane;114.141;1.9543319816589355;2.936059795379639;6.0;16.787745056152342;196.27869873046876;train
1;2,3,4-trimethyl pentane;114.141;1.9606487007141113;2.9460071144104005;6.0;16.833465576171875;195.2961868286133;train
1;2,2-dimethylhexane;114.141;1.9179372100830077;2.8960302963256837;6.0;16.66234344482422;198.51654243469235;train
1;nonane;128.157;1.7076357421875001;2.6977758178710936;6.0;15.543607482910156;198.35722770690919;train
1;2,2,4,4-tetramethylpentane;128.157;1.9616980857849122;2.9405999412536623;6.0;16.61062896728516;196.00463752746583;train
1;2,2,5,5-tetramethylhexane;142.172;1.8704054565429686;2.863390426635742;6.0;16.161145324707032;197.25730361938477;train
1;n-undecane;156.188;1.5958816528320312;2.58035205078125;6.0;14.56843444824219;197.9896396636963;train
1;2-methylundecane;170.203;1.5969556274414063;2.6241470947265624;6.0;14.623377075195311;195.34589118957518;train
1;2,3-dimethylundecane;184.219;1.57214306640625;2.620308197021484;6.0;14.478497924804687;193.51164932250978;train
1;pentadecane;212.25;1.2660299682617189;2.188591796875;6.0;12.395088500976561;197.40293312072754;train
1;nonadecane;268.313;0.9969146795188011;1.9895808539484778;6.0;10.41330139160156;199.17760543823243;train
1;squalane;422.485;0.9800640581980651;1.9728638723831184;6.0;9.880572687356933;202.2439960479736;train
1;methane;16.031;2.0744859466552734;3.129522262573242;6.0;19.417543487548826;204.83917427062988;val
1;2-methylbutane;72.094;2.0956713104248044;3.059017593383789;6.0;17.639596405029295;201.5249855041504;val
1;2-methylpentane;86.11;2.0158517274856567;2.961695774078369;6.0;17.311221923828125;199.7402187347412;val
1;2,2,3-trimethylbutane;100.125;2.0659188842773437;3.062611248016357;6.0;17.182775268554686;197.655619430542;val
1;heptane;100.125;1.871636734008789;2.8558722076416014;6.0;16.7419677734375;198.86157112121583;val
1;3,4-dimethylhexane;114.141;1.9133441162109375;2.9042170944213868;6.0;16.674345092773436;196.34734268188475;val
1;3-methyl-3-ethylpentane;114.141;1.9742238578796387;2.955759433746338;6.0;16.86189697265625;195.07625732421877;val
1;2,2,4-trimethylpentane;114.141;1.9874368257522583;2.9513309173583986;6.0;16.88541656494141;197.68385810852052;val
1;2,4,4-trimethylhexane;128.157;1.9071305236816407;2.9011397857666017;6.0;16.458858337402344;195.8901008605957;val
1;2,3,3,4-tetramethylpentane;128.157;1.9462332725524902;2.948644992828369;6.0;16.640499267578125;192.93009872436525;val
1;decane;142.172;1.6737414855957031;2.670750793457031;6.0;15.264434814453125;197.71193046569823;val
1;2-methyldecane;156.188;1.6527168579101563;2.68010400390625;6.0;15.09238037109375;195.57709770202635;val
1;dodecane;170.203;1.5304222412109376;2.504435791015625;6.0;14.053261108398436;197.8376651763916;val
1;3-methyltridecane;198.235;1.4469027099609375;2.44748974609375;6.0;13.332833251953124;195.9667407989502;val
