epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.5947831869125366;2.8417038917541504;6.0;21.821918487548828;229.95526123046875;train
1;2,2-dimethylpropane;72.094;1.046599268913269;2.6212074756622314;6.0;22.7417049407959;263.04205322265625;train
1;2,2-dimethylbutane;86.11;1.0417191982269287;2.2848458290100098;6.0;23.572824478149414;331.2860107421875;train
1;2,3-dimethylpentane;100.125;1.076551914215088;2.3207948207855225;6.0;42.24842834472656;183.5491943359375;train
1;2,4-dimethylpentane;100.125;1.0539169311523438;2.375945806503296;6.0;33.11597442626953;189.77224731445312;train
1;3-methylheptane;114.141;1.1849420070648193;2.6762261390686035;6.0;39.687103271484375;142.2676239013672;train
1;2-methyl-3-ethyl-pentane;114.141;1.0784251689910889;2.436711311340332;6.0;36.90397262573242;164.30514526367188;train
1;2,4-dimethylhexane;114.141;1.0802216529846191;2.617706775665283;6.0;48.63612747192383;145.25775146484375;train
1;2,2,3,4-tetramethylpentane;128.157;1.0413686037063599;2.2933669090270996;6.0;15.227032661437988;161.32427978515625;train
1;2,2,5-trimethylhexane;128.157;1.0341119766235352;2.2251791954040527;6.0;27.349151611328125;215.4627685546875;train
1;2,6-dimethyloctane;142.172;1.0454541444778442;2.3661274909973145;6.0;44.85633850097656;120.9439697265625;train
1;2,3-dimethylnonane;156.188;1.1652754545211792;2.2931416034698486;6.0;39.92430114746094;134.6507568359375;train
1;3-methyldodecane;184.219;1.1018644571304321;2.1230220794677734;6.0;26.10667610168457;130.02223205566406;train
1;2,3-dimethyldodecane;198.235;1.145871639251709;2.1738741397857666;6.0;33.935302734375;153.66885375976562;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;1.1494330167770386;2.2443184852600098;6.0;40.43006896972656;307.5614013671875;train
1;tetracosane;338.391;4.263184547424316;3.616990566253662;6.0;30.65831756591797;183.64622497558594;train
1;propane;44.063;1.3141202926635742;2.992189407348633;6.0;32.95768737792969;214.96543884277344;train
1;pentane;72.094;1.638364315032959;3.575164794921875;6.0;26.799335479736328;172.6739501953125;train
1;2,3-dimethylbutane;86.11;1.1290074586868286;2.599982500076294;6.0;28.077890396118164;207.40745544433594;train
1;3-methylhexane;100.125;1.3084204196929932;2.548201322555542;6.0;48.30000686645508;144.80642700195312;train
1;2,5-dimethylhexane;114.141;1.205382227897644;2.4553568363189697;6.0;42.772247314453125;169.41278076171875;train
1;2,2,3-trimethylpentane;114.141;1.122115969657898;2.297504425048828;6.0;26.74513053894043;144.23944091796875;train
1;2,3,3-trimethylpentane;114.141;1.0679645538330078;2.446004867553711;6.0;24.54905128479004;220.71316528320312;train
1;4-methylheptane;114.141;1.2642695903778076;2.581864595413208;6.0;39.923919677734375;140.33944702148438;train
1;3,3-diethylpentane;128.157;1.0862056016921997;2.3157119750976562;6.0;32.60260009765625;198.00637817382812;train
1;2,3-dimethylheptane;128.157;1.1183942556381226;2.5454111099243164;6.0;50.54296875;159.4533233642578;train
1;2,7-dimethyloctane;142.172;1.0666483640670776;2.7624857425689697;6.0;46.15625762939453;181.91995239257812;train
1;3-methylundecane;170.203;1.1833873987197876;2.2267487049102783;6.0;28.55391502380371;112.36581420898438;train
1;tridecane;184.219;2.6828958988189697;2.332768440246582;6.0;31.49169921875;194.2088165283203;train
1;tetradecane;198.235;2.3315155506134033;2.561627149581909;6.0;33.10282897949219;174.67718505859375;train
1;heptadecane;240.282;2.1853299140930176;2.620896339416504;6.0;29.854585647583008;228.3782958984375;train
1;heptacosane;380.438;3.6020865440368652;2.993145227432251;6.0;24.135231018066406;189.04322814941406;train
1;n-butane;58.078;1.374527931213379;3.5978989601135254;6.0;29.148509979248047;147.14891052246094;train
1;3-methylpentane;86.11;1.179243564605713;2.78908109664917;6.0;30.5079345703125;154.76332092285156;train
1;3-ethylpentane;100.125;1.1380242109298706;2.3987929821014404;6.0;30.657962799072266;152.43617248535156;train
1;3,3-dimethylpentane;100.125;1.0255051851272583;2.1784729957580566;6.0;23.45748519897461;316.71014404296875;train
1;2-methylheptane;114.141;1.1272878646850586;2.743483543395996;6.0;50.66481399536133;169.76315307617188;train
1;octane;114.141;1.4672744274139404;3.6489202976226807;6.0;28.622507095336914;234.13668823242188;train
1;3-ethylhexane;114.141;1.2110635042190552;2.202662467956543;6.0;49.68356704711914;153.46388244628906;train
1;2,3-dimethylhexane;114.141;1.1404269933700562;2.3149352073669434;6.0;42.99039840698242;208.28680419921875;train
1;2-methyloctane;128.157;1.1806637048721313;2.660356044769287;6.0;43.731109619140625;174.8605499267578;train
1;2,2,3,3-tetramethylpentane;128.157;1.0076889991760254;2.1883580684661865;6.0;27.661375045776367;293.1345520019531;train
1;3-methyldecane;156.188;1.1050965785980225;2.197455883026123;6.0;40.776554107666016;133.91038513183594;train
1;2,3-dimethyldecane;170.203;1.1300731897354126;2.297788619995117;6.0;35.424259185791016;142.90447998046875;train
1;2-methyldodecane;184.219;1.3054921627044678;2.1089396476745605;6.0;37.3541259765625;139.65260314941406;train
1;2-methyltridecane;198.235;1.4458706378936768;2.0609912872314453;6.0;35.477294921875;160.4181365966797;train
1;octadecane;254.297;3.192535638809204;2.6498703956604004;6.0;35.571868896484375;220.85923767089844;train
1;octacosane;394.454;3.8624839782714844;3.314490795135498;6.0;21.498706817626953;223.44107055664062;train
1;2-methylpropane;58.078;1.212510108947754;2.923048973083496;6.0;25.909343719482422;183.06141662597656;train
1;hexane;86.11;1.385758399963379;3.668891429901123;6.0;29.276123046875;195.17752075195312;train
1;2-methylhexane;100.125;1.169717788696289;2.388916492462158;6.0;37.17536163330078;190.6024169921875;train
1;2,2-dimethylpentane;100.125;1.1104626655578613;2.3314566612243652;6.0;30.30614471435547;171.7715301513672;train
1;3,3-dimethylhexane;114.141;1.0559006929397583;2.207193613052368;6.0;31.004432678222656;268.1847229003906;train
1;2,3,4-trimethyl pentane;114.141;1.1763203144073486;2.334616184234619;6.0;29.657739639282227;208.97964477539062;train
1;2,2-dimethylhexane;114.141;1.0914772748947144;2.2488114833831787;6.0;25.22903060913086;167.38343811035156;train
1;nonane;128.157;1.18067467212677;2.4870834350585938;6.0;32.695396423339844;231.45709228515625;train
1;2,2,4,4-tetramethylpentane;128.157;1.01348876953125;2.1627087593078613;6.0;16.750877380371094;289.96282958984375;train
1;2,2,5,5-tetramethylhexane;142.172;1.0172009468078613;2.0968942642211914;6.0;26.31897735595703;268.26971435546875;train
1;n-undecane;156.188;1.4677852392196655;2.445742607116699;6.0;31.24935531616211;175.51559448242188;train
1;2-methylundecane;170.203;1.3098649978637695;2.110358238220215;6.0;35.587379455566406;117.34587860107422;train
1;2,3-dimethylundecane;184.219;1.068812370300293;2.151573657989502;6.0;36.32038879394531;161.50057983398438;train
1;pentadecane;212.25;2.1253433227539062;2.563530206680298;6.0;30.77947998046875;192.91925048828125;train
1;nonadecane;268.313;3.1222448348999023;2.8447163105010986;6.0;26.111242294311523;207.8510284423828;train
1;squalane;422.485;1.0519287586212158;2.8384809494018555;6.0;23.15110969543457;212.1505126953125;train
1;methane;16.031;2.8198068141937256;4.0414323806762695;6.0;22.59356689453125;231.64793395996094;val
1;2-methylbutane;72.094;1.1895517110824585;2.520721197128296;6.0;32.36729431152344;151.958251953125;val
1;2-methylpentane;86.11;1.437382459640503;2.418147563934326;6.0;32.509342193603516;129.98355102539062;val
1;2,2,3-trimethylbutane;100.125;1.0833083391189575;2.4396188259124756;6.0;22.457618713378906;194.87222290039062;val
1;heptane;100.125;1.6137912273406982;3.816638469696045;6.0;29.60552215576172;165.48846435546875;val
1;3,4-dimethylhexane;114.141;1.1261696815490723;2.5371875762939453;6.0;42.73750686645508;137.3405303955078;val
1;3-methyl-3-ethylpentane;114.141;1.076399326324463;2.3109281063079834;6.0;25.92896270751953;286.56878662109375;val
1;2,2,4-trimethylpentane;114.141;1.070425271987915;2.2341458797454834;6.0;22.324115753173828;208.33612060546875;val
1;2,4,4-trimethylhexane;128.157;1.0259066820144653;2.3193814754486084;6.0;26.77804946899414;240.83108520507812;val
1;2,3,3,4-tetramethylpentane;128.157;1.0284770727157593;2.3466885089874268;6.0;23.884477615356445;152.0724639892578;val
1;decane;142.172;1.2978100776672363;2.7217860221862793;6.0;28.285221099853516;218.052490234375;val
1;2-methyldecane;156.188;1.178438425064087;2.195103168487549;6.0;41.73915481567383;134.50830078125;val
1;dodecane;170.203;1.9087133407592773;2.3002512454986572;6.0;34.4398078918457;168.25942993164062;val
1;3-methyltridecane;198.235;1.1901657581329346;2.126535177230835;6.0;34.34797668457031;134.2318115234375;val
1;hexadecane;226.266;2.4500417709350586;2.6295740604400635;6.0;34.71630096435547;220.67596435546875;val
1;eicosane;282.329;3.6420137882232666;3.261531352996826;6.0;25.797473907470703;165.75991821289062;val
