epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.1963882751464845;2.9585303688049316;6.0;26.320798950195314;221.3212188720703;train
1;2,2-dimethylpropane;72.094;1.878308219909668;2.871091354370117;6.0;28.31383544921875;285.8665344238281;train
1;2,2-dimethylbutane;86.11;1.7665559387207033;2.8521244201660156;6.0;28.012757568359376;306.1817138671875;train
1;2,3-dimethylpentane;100.125;1.7756875610351561;2.7317232360839845;6.0;25.94963134765625;334.8865478515625;train
1;2,4-dimethylpentane;100.125;1.5562685852050782;2.905398735046387;6.0;28.01750671386719;324.380029296875;train
1;3-methylheptane;114.141;1.5310427551269532;2.76021533203125;6.0;25.772788696289062;369.88365478515624;train
1;2-methyl-3-ethyl-pentane;114.141;1.6560625305175782;2.746201171875;6.0;25.461295776367187;350.63062744140626;train
1;2,4-dimethylhexane;114.141;1.591590789794922;2.7557140197753904;6.0;26.4739990234375;362.7319580078125;train
1;2,2,3,4-tetramethylpentane;128.157;1.6430612487792968;2.7729088745117187;6.0;27.34991088867187;352.1058471679687;train
1;2,2,5-trimethylhexane;128.157;1.4107566528320312;2.808616683959961;6.0;28.12600891113281;385.78394775390626;train
1;2,6-dimethyloctane;142.172;1.3736626586914062;2.688842010498047;6.0;25.527677612304686;420.05390625;train
1;2,3-dimethylnonane;156.188;1.369150390625;2.7593310546875003;6.0;26.676643676757813;400.75275878906245;train
1;3-methyldodecane;184.219;1.0103375244140627;2.7170528259277344;6.0;29.644443359375;458.5896972656251;train
1;2,3-dimethyldodecane;198.235;1.0667553100585936;2.5898269958496094;6.0;26.593621215820313;503.4130859375;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;1.0732291870117188;2.5258177490234375;6.0;25.691839599609377;518.978076171875;train
1;tetracosane;338.391;0.9617812218133768;2.483069274902344;6.0;31.36526245117188;889.6310546875;train
1;propane;44.063;2.085506889343262;2.8732897109985354;6.0;26.750443725585935;254.31505126953127;train
1;pentane;72.094;1.7187596130371094;2.8822224502563474;6.0;27.08800354003906;302.1327819824219;train
1;2,3-dimethylbutane;86.11;1.760315185546875;2.8605245361328127;6.0;26.86541015625;300.97226562500003;train
1;3-methylhexane;100.125;1.7180682373046876;2.709287139892578;6.0;25.507277221679686;350.7002197265625;train
1;2,5-dimethylhexane;114.141;1.515203155517578;2.7973339843750002;6.0;26.453619384765624;364.23181152343756;train
