epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.9996067281961443;3.000611814379692;6.0;20.001290755718948;200.10482343435285;train
1;2,2-dimethylpropane;72.094;2.001858234882355;3.0006234466433526;6.0;20.03149829149246;200.40068016052243;train
1;2,2-dimethylbutane;86.11;2.002683182001114;3.0014190987348557;6.0;20.02156055688858;200.4336503982544;train
1;2,3-dimethylpentane;100.125;2.0037616982460023;3.003595738887787;6.0;19.983609261512754;200.12244629859924;train
1;2,4-dimethylpentane;100.125;2.0035757117271427;3.0014197049140927;6.0;20.000498259179295;200.32668631076814;train
1;3-methylheptane;114.141;2.005324863433838;3.0018420802354813;6.0;19.979745581150056;200.64788665771482;train
1;2-methyl-3-ethyl-pentane;114.141;2.001449409842491;3.0035616161823273;6.0;19.986055324077604;200.4124755859375;train
1;2,4-dimethylhexane;114.141;2.002257222890854;3.0022466588020325;6.0;19.999110267832876;200.36697900295258;train
1;2,2,3,4-tetramethylpentane;128.157;2.0043017024993897;3.0010067917108536;6.0;20.006460746526717;200.287863445282;train
1;2,2,5-trimethylhexane;128.157;2.003306499481201;3.0016477454900743;6.0;20.00934670448303;200.3766211986542;train
1;2,6-dimethyloctane;142.172;2.0052368054389955;3.0017333614826205;6.0;19.97845547437668;200.4079570770264;train
1;2,3-dimethylnonane;156.188;2.003478029727936;3.0027353963851926;6.0;19.975139205455783;200.2743897676468;train
1;3-methyldodecane;184.219;2.0056444091796877;3.0000616361536085;6.0;19.95823050022125;200.63997941017152;train
1;2,3-dimethyldodecane;198.235;2.004939832687378;3.001520369410515;6.0;19.975270087718965;200.4685909748077;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0038666179180145;3.001830157160759;6.0;19.979705848693847;200.44648060798647;train
1;tetracosane;338.391;2.0020565564632413;3.000048152152449;6.0;19.97659878253937;200.59001841545108;train
1;propane;44.063;2.0014003442525863;3.000592263638973;6.0;20.020002925395968;200.21451559066773;train
1;pentane;72.094;2.0030952894687655;3.002259153842926;6.0;19.999069769456984;200.09106826782227;train
1;2,3-dimethylbutane;86.11;2.002780754327774;3.0003330109715463;6.0;20.001107904687522;200.44152126312252;train
1;3-methylhexane;100.125;2.0032657623291015;3.003945179224014;6.0;19.994649417996406;200.59254631996154;train
1;2,5-dimethylhexane;114.141;2.002512222290039;3.0010768793821336;6.0;20.016660031080246;200.52208003997802;train
1;2,2,3-trimethylpentane;114.141;2.0025301637649537;3.001343544006348;6.0;19.99178731262684;200.23045179843902;train
1;2,3,3-trimethylpentane;114.141;2.0031170160770415;3.0027977564334867;6.0;19.99502779185772;200.2574373960495;train
1;4-methylheptane;114.141;2.002431310892105;3.004079499721527;6.0;19.980487045049667;200.44511981010436;train
1;3,3-diethylpentane;128.157;2.0043174834251403;3.0030706849098205;6.0;20.001685323268177;200.45478525161747;train
1;2,3-dimethylheptane;128.157;2.0048582806587216;3.001965239405632;6.0;19.992677645683287;200.5419538021088;train
1;2,7-dimethyloctane;142.172;2.006262981891632;3.00148531460762;6.0;19.998517881035806;200.56440215110774;train
1;3-methylundecane;170.203;2.005368211746216;3.0007827876806257;6.0;19.956796288490295;200.55033230781555;train
1;tridecane;184.219;2.004016306400299;2.9979469833374024;6.0;19.989679274559023;200.43234972953795;train
1;tetradecane;198.235;2.003174796581268;2.997902473449707;6.0;19.995229905247687;200.5046536922455;train
1;heptadecane;240.282;2.003991735219955;2.99792458987236;6.0;19.993095833659172;200.46533117294308;train
1;heptacosane;380.438;2.001857784628868;3.0008263842463494;6.0;19.981431579589845;200.6112226486206;train
1;n-butane;58.078;2.002341281414032;3.0016689481735233;6.0;20.010977042913435;200.0892634034157;train
1;3-methylpentane;86.11;2.0024170949459075;3.0035709438323974;6.0;19.99043742477894;200.4998482227325;train
1;3-ethylpentane;100.125;2.0027966096401215;3.0035375168323517;6.0;19.98895168662071;200.3553370952606;train
1;3,3-dimethylpentane;100.125;2.0036886117458343;3.003518142223358;6.0;20.008859878182413;200.37927606105805;train
1;2-methylheptane;114.141;2.0051666107177732;3.0014300141334536;6.0;19.997239818573;200.48323116302493;train
1;octane;114.141;2.003840221643448;3.0005288246273993;6.0;19.9787504529953;200.23789310455325;train
1;3-ethylhexane;114.141;2.00427241230011;3.003042107820511;6.0;19.995299549102782;200.46007289886472;train
1;2,3-dimethylhexane;114.141;2.0050028071403503;3.0026262149810794;6.0;19.99996170709608;200.44383597373962;train
1;2-methyloctane;128.157;2.0063030085563662;3.0007084321379662;6.0;20.000227794442328;200.42808299064637;train
1;2,2,3,3-tetramethylpentane;128.157;2.004219141960144;3.0032013306617737;6.0;20.006246203780176;200.4034438610077;train
1;3-methyldecane;156.188;2.005433578968048;3.00103178691864;6.0;19.957789330482484;200.50590615272517;train
1;2,3-dimethyldecane;170.203;2.0039303243160247;3.0020187537670138;6.0;19.95091802120209;200.37434017658234;train
1;2-methyldodecane;184.219;2.005549420833588;2.9992423449754715;6.0;19.994884832501413;200.6364209651947;train
1;2-methyltridecane;198.235;2.006513377189636;2.9976452488899232;6.0;20.000538610629736;200.7110667705536;train
1;octadecane;254.297;2.003763930082321;2.998100428581238;6.0;19.991370043158533;200.4838551044464;train
1;octacosane;394.454;2.0023301174640658;3.0010931239128116;6.0;19.985694222450256;200.6561926841736;train
1;2-methylpropane;58.078;2.0017850047349928;3.0014195663928986;6.0;20.01945855617523;200.24456162452697;train
1;hexane;86.11;2.003629728078842;3.0019119765758515;6.0;20.005758730769156;200.4684236049652;train
1;2-methylhexane;100.125;2.004494346141815;3.001516013383865;6.0;20.014924584627153;200.55934653282165;train
1;2,2-dimethylpentane;100.125;2.0014269926548005;3.0030581011772153;6.0;20.0163820040226;200.20454823970795;train
1;3,3-dimethylhexane;114.141;2.0027893867492677;3.0039255716800692;6.0;19.990375735759734;200.36595764160157;train
1;2,3,4-trimethyl pentane;114.141;2.002798566579819;3.001040775299072;6.0;19.996737417280674;200.33097829818723;train
1;2,2-dimethylhexane;114.141;2.0011111983060834;3.0021164395809175;6.0;20.004148950576784;200.35869312286377;train
1;nonane;128.157;2.0059350409507752;2.999039119184017;6.0;19.9855284512043;200.33312549591065;train
