epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.0041135993003847;2.9986870925426485;6.0;19.999230917468665;200.43576464653015;train
1;2,2-dimethylpropane;72.094;2.0048943376541137;3.0027547407150266;6.0;19.958965177536008;200.4742305278778;train
1;2,2-dimethylbutane;86.11;2.0054523124694823;3.00357657790184;6.0;19.973002972602846;200.96544075012207;train
1;2,3-dimethylpentane;100.125;2.0001033187136055;3.0053614654541017;6.0;20.018213565349576;200.62204728126525;train
1;2,4-dimethylpentane;100.125;2.003906948328018;3.0031278655529023;6.0;20.027642018795014;200.6175805568695;train
1;3-methylheptane;114.141;2.0032946090698243;3.004945779800415;6.0;20.012055611610414;200.9675263404846;train
1;2-methyl-3-ethyl-pentane;114.141;2.0019620690345765;3.006739905357361;6.0;19.989081370830533;200.9924328804016;train
1;2,4-dimethylhexane;114.141;2.002965972423554;3.0052332668304444;6.0;20.005950109958647;200.86100111007693;train
1;2,2,3,4-tetramethylpentane;128.157;2.001921200752258;3.004832703113556;6.0;19.967701263427735;201.16500577926635;train
1;2,2,5-trimethylhexane;128.157;2.0035559747219085;3.0047604637145997;6.0;19.953689188957213;201.048153591156;train
1;2,6-dimethyloctane;142.172;2.0016424415111542;3.0039524888992313;6.0;19.966059052944182;200.8463668823242;train
1;2,3-dimethylnonane;156.188;2.000776883780956;3.005675015449524;6.0;19.995215365588667;200.8263026237488;train
1;3-methyldodecane;184.219;2.003906224727631;3.0044715995788573;6.0;20.019285606145857;200.92861547470093;train
1;2,3-dimethyldodecane;198.235;2.0007443374991416;3.007061463832855;6.0;20.002861983478066;200.7215023994446;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.001035459280014;3.000670439839363;6.0;19.961707696914672;201.28243970870972;train
1;tetracosane;338.391;2.003572121143341;3.0077533388137816;6.0;20.03030936956406;200.6352075099945;train
1;propane;44.063;2.004281180381775;2.9979013166427615;6.0;19.996141230165957;200.5506384372711;train
1;pentane;72.094;2.0041887803077696;3.003045493364334;6.0;20.003230195939537;200.55116181373594;train
1;2,3-dimethylbutane;86.11;2.0036712341308593;3.0036390199661254;6.0;20.02222957611084;200.64525094032288;train
1;3-methylhexane;100.125;2.0032847471237183;3.002269689321518;6.0;20.022473652362827;200.6485394001007;train
1;2,5-dimethylhexane;114.141;2.0027941300868988;3.0038963232040405;6.0;19.971975944042207;200.77716531753538;train
1;2,2,3-trimethylpentane;114.141;2.002650549650192;3.0043585543632507;6.0;19.954443531036375;200.89066076278687;train
1;2,3,3-trimethylpentane;114.141;2.0041979970932005;3.0047548589706423;6.0;19.948035554885863;201.02149600982665;train
1;4-methylheptane;114.141;2.0009897020459175;3.004170356750488;6.0;20.009039336442946;201.0285026550293;train
1;3,3-diethylpentane;128.157;2.0054657692909243;3.003454344034195;6.0;19.971959671974183;201.00929651260375;train
1;2,3-dimethylheptane;128.157;2.0000143923396245;3.005396827697754;6.0;19.996277163922787;200.86685695648194;train
1;2,7-dimethyloctane;142.172;2.0019141765832904;3.002261684894562;6.0;19.961105155944825;200.97428216934202;train
1;3-methylundecane;170.203;2.0042053627967835;3.003185324430466;6.0;19.997442758977414;200.86808404922482;train
1;tridecane;184.219;2.0054266862869263;3.00706693315506;6.0;20.017372785806657;200.9820580482483;train
1;tetradecane;198.235;2.0051901931762695;3.0068591527938846;6.0;20.014321597814558;200.99590511322018;train
1;heptadecane;240.282;2.0031518614292145;3.0072723813056945;6.0;20.031525695323946;200.7329409122467;train
