epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;2.0103226137161254;3.004379863739014;6.0;20.06468430995941;202.11965942382815;train
1;2,2-dimethylpropane;72.094;2.0273325061798095;3.0154526777267456;6.0;20.13625247001648;204.57485466003416;train
1;2,2-dimethylbutane;86.11;2.0327926750183103;3.0175955142974855;6.0;20.16149642944336;205.30270385742188;train
1;2,3-dimethylpentane;100.125;2.033327335357666;3.017064348220825;6.0;20.169714603424072;205.40836601257323;train
1;2,4-dimethylpentane;100.125;2.0317061405181884;3.0160391120910646;6.0;20.178950538635256;205.19980773925778;train
1;3-methylheptane;114.141;2.034755268096924;3.0169069061279297;6.0;20.18059255599976;205.61327018737794;train
1;2-methyl-3-ethyl-pentane;114.141;2.0344357414245606;3.0182161636352536;6.0;20.17325813293457;205.70160369873048;train
1;2,4-dimethylhexane;114.141;2.0343043212890626;3.017853277206421;6.0;20.16948205947876;205.56279563903806;train
1;2,2,3,4-tetramethylpentane;128.157;2.036726894378662;3.020012462615967;6.0;20.164663887023924;205.9589782714844;train
1;2,2,5-trimethylhexane;128.157;2.0367597427368165;3.01999391746521;6.0;20.16584846496582;205.95937767028812;train
1;2,6-dimethyloctane;142.172;2.0366257400512695;3.0187932739257812;6.0;20.16711090087891;205.98029251098632;train
1;2,3-dimethylnonane;156.188;2.0387234992980954;3.019317428588867;6.0;20.16718427658081;206.19195594787598;train
1;3-methyldodecane;184.219;2.0401531562805175;3.0200464420318607;6.0;20.175334300994873;206.322261428833;train
1;2,3-dimethyldodecane;198.235;2.040668441772461;3.0217266845703126;6.0;20.170313816070554;206.48223419189452;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.03923567199707;3.0192772159576418;6.0;20.184502334594725;206.68280487060545;train
1;tetracosane;338.391;2.0397838401794433;3.020433729171753;6.0;20.17648069381714;206.6382209777832;train
1;propane;44.063;2.0172203369140624;3.0081105127334595;6.0;20.09410918235779;203.05743751525878;train
1;pentane;72.094;2.0251998386383057;3.0121048974990847;6.0;20.13165885925293;204.11418876647946;train
1;2,3-dimethylbutane;86.11;2.030778871536255;3.0153976278305055;6.0;20.157529039382936;204.90644607543948;train
