epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.999978210357949;2.999304322361946;6.0;19.999483411088587;200.0627749800682;train
1;2,2-dimethylpropane;72.094;2.000788825571537;3.0003070220053196;6.0;20.02889066696167;200.1490727782249;train
1;2,2-dimethylbutane;86.11;2.0004914075732234;3.000615408420563;6.0;20.031295804977418;200.42062492370601;train
1;2,3-dimethylpentane;100.125;2.0007465390563013;3.0016287882328037;6.0;20.01850416660309;200.4526900291443;train
1;2,4-dimethylpentane;100.125;2.002868042230606;3.0014310405254365;6.0;20.035300579071045;200.45959386825564;train
1;3-methylheptane;114.141;2.002696427345276;3.0020690364837646;6.0;20.060573678016663;200.72788352966307;train
1;2-methyl-3-ethyl-pentane;114.141;2.001610216498375;3.00167328953743;6.0;20.027662651538847;200.44693369865422;train
1;2,4-dimethylhexane;114.141;2.0010684410333632;3.0012787027359007;6.0;20.032686541080476;200.76059532165527;train
1;2,2,3,4-tetramethylpentane;128.157;2.001113830566406;3.0011978294849397;6.0;20.019864909648895;200.23282613754273;train
1;2,2,5-trimethylhexane;128.157;2.003531313896179;3.0005279957056046;6.0;20.05155297756195;200.51560287475584;train
1;2,6-dimethyloctane;142.172;2.003896841526031;3.00201389169693;6.0;20.064607815742495;200.7062048912048;train
1;2,3-dimethylnonane;156.188;2.0052124943733216;3.0037488250732425;6.0;20.078995909690857;200.84172687530514;train
1;3-methyldodecane;184.219;2.0043036518096926;3.00510356092453;6.0;20.096779441833498;200.87121686935427;train
1;2,3-dimethyldodecane;198.235;2.006029876232147;3.0053091163635255;6.0;20.07659861087799;200.8552948951721;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0035129830837253;3.0022226684093476;6.0;20.066850380897524;200.71281151771547;train
1;tetracosane;338.391;2.0068781576156614;3.0069054412841796;6.0;20.106184597015382;200.76812210083008;train
1;propane;44.063;1.9999360563084483;3.0010698487758636;6.0;20.01473386526108;200.14324148893357;train
1;pentane;72.094;2.0027447142601016;3.00269272851944;6.0;20.062075634002685;200.4337079048157;train
1;2,3-dimethylbutane;86.11;2.0002623472213745;3.0009579570293425;6.0;20.004434289336203;200.1395545601845;train
1;3-methylhexane;100.125;2.0015361566543577;3.0021999609470367;6.0;20.052791142463686;200.5916937828064;train
1;2,5-dimethylhexane;114.141;2.0030484738349914;3.000906940937042;6.0;20.042765641212466;200.5154598712921;train
