epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.2770464477539063;3.3300492858886717;6.0;22.049141845703126;314.45408935546874;train
1;2-methylbutane;72.094;2.366694030761719;3.848563537597656;6.0;22.97182403564453;446.64941406250006;train
1;2-methylpentane;86.11;3.07940185546875;3.977615173339844;6.0;23.496542053222655;491.26386718749995;train
1;2,2,3-trimethylbutane;100.125;2.61962890625;3.9922396240234375;6.0;23.072512512207027;484.72622070312497;train
1;heptane;100.125;3.477757080078125;3.9049493408203126;6.0;23.705771179199218;476.50744628906256;train
1;3,4-dimethylhexane;114.141;3.1943129882812498;4.052311157226562;6.0;23.645926208496093;511.5070556640625;train
1;3-methyl-3-ethylpentane;114.141;3.1720246582031253;4.028943481445312;6.0;23.633968200683594;505.610498046875;train
1;2,2,4-trimethylpentane;114.141;3.322322265625;4.102498413085938;6.0;23.789271545410156;525.5862548828125;train
1;2,4,4-trimethylhexane;128.157;3.397883544921875;4.10219384765625;6.0;23.74180633544922;525.42109375;train
1;2,3,3,4-tetramethylpentane;128.157;3.30725048828125;4.125283203125;6.0;23.766027526855467;530.93388671875;train
1;decane;142.172;4.483570068359375;3.9132110595703127;6.0;24.182829284667967;486.57797851562503;train
1;2-methyldecane;156.188;4.674643310546875;3.9620099487304685;6.0;24.338411560058596;500.513671875;train
1;dodecane;170.203;5.373101806640625;3.925713439941406;6.0;24.831277770996092;498.1357421875;train
1;3-methyltridecane;198.235;5.685561279296875;3.9739035034179686;6.0;25.032237243652343;512.600732421875;train
1;hexadecane;226.266;7.1631328125;3.908933166503906;6.0;25.52214477539063;496.011572265625;train
1;eicosane;282.329;8.687941406250001;3.856798034667969;6.0;24.26693084716797;471.34873046875;train
1;ethane;30.047;1.3317808227539063;3.4656680603027343;6.0;22.398856506347656;354.68327636718755;train
1;2,2-dimethylpropane;72.094;2.317373504638672;3.8017123413085936;6.0;22.886286315917967;433.96552734374995;train
1;2,2-dimethylbutane;86.11;2.7841983642578123;3.928703552246094;6.0;23.25557403564453;474.91875;train
1;2,3-dimethylpentane;100.125;3.02721728515625;4.009250671386718;6.0;23.524062194824218;499.09465332031255;train
1;2,4-dimethylpentane;100.125;3.1711413574218748;4.005959899902344;6.0;23.554640197753905;498.73085937499997;train
1;3-methylheptane;114.141;3.8251938476562497;4.012311340332031;6.0;23.93729949951172;506.525390625;train
1;2-methyl-3-ethyl-pentane;114.141;3.5023533935546878;4.086396606445312;6.0;23.93878143310547;523.6626953125001;train
1;2,4-dimethylhexane;114.141;3.289579345703125;4.011648742675781;6.0;23.506006774902346;500.28144531249995;train
1;2,2,3,4-tetramethylpentane;128.157;3.3170450439453125;4.161448120117187;6.0;23.849623718261718;540.8697265625;train
1;2,2,5-trimethylhexane;128.157;3.60230859375;3.9943596801757812;6.0;23.67229949951172;498.72092285156253;train
1;2,6-dimethyloctane;142.172;4.2108330078125;3.982398254394531;6.0;24.137295837402345;501.68962402343755;train
1;2,3-dimethylnonane;156.188;4.10880810546875;4.075001831054688;6.0;24.197657165527346;525.0452148437499;train
1;3-methyldodecane;184.219;5.2213349609375;3.997258361816406;6.0;24.734259948730468;514.5160400390624;train
1;2,3-dimethyldodecane;198.235;5.2396867675781245;4.050985961914062;6.0;24.818609313964846;528.26611328125;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.590483398437501;4.053223876953125;6.0;25.276046142578124;533.0473144531251;train
1;tetracosane;338.391;10.01659375;4.015894226074218;6.0;24.683799743652344;512.6200439453125;train
1;n-butane;58.078;2.230118118286133;3.758324645996094;6.0;22.89594818115234;423.027783203125;train
1;3-methylpentane;86.11;2.8568336791992186;3.9323508911132814;6.0;23.31613739013672;477.553955078125;train
1;3-ethylpentane;100.125;2.8968391723632814;3.898496398925781;6.0;23.350873718261717;469.37700195312505;train
1;3,3-dimethylpentane;100.125;2.9999655151367186;4.035289916992188;6.0;23.50135223388672;505.29587402343753;train
1;2-methylheptane;114.141;3.7541228027343747;3.9493973388671875;6.0;23.881558532714845;490.05517578125;train
1;octane;114.141;3.938487548828125;3.9171403198242185;6.0;23.953094177246093;483.54116210937497;train
1;3-ethylhexane;114.141;3.38281005859375;3.981591003417969;6.0;23.62578887939453;494.51220703125;train
1;2,3-dimethylhexane;114.141;3.542183349609375;4.074835083007812;6.0;23.794350891113282;519.75537109375;train
1;2-methyloctane;128.157;4.013147583007813;3.949961853027344;6.0;23.99127471923828;492.052099609375;train
1;2,2,3,3-tetramethylpentane;128.157;3.287672485351562;4.142151977539062;6.0;23.74248992919922;534.94462890625;train
1;3-methyldecane;156.188;4.3758369140625;3.9563901977539064;6.0;24.073247985839842;495.76386718749995;train
1;2,3-dimethyldecane;170.203;4.6620244140625005;4.064966918945313;6.0;24.48402069091797;527.03369140625;train
1;2-methyldodecane;184.219;5.322630859375;3.970403137207031;6.0;24.774652404785158;508.3796142578125;train
1;2-methyltridecane;198.235;5.771766845703125;3.960979309082031;6.0;25.086695251464842;510.0397216796875;train
1;octadecane;254.297;7.994134765625;3.8979757690429686;6.0;25.06842071533203;488.7654785156251;train
1;octacosane;394.454;10.271421875;4.044656616210937;6.0;24.740712585449216;518.2525390625;train
1;2-methylpropane;58.078;1.9658388900756836;3.7113818969726564;6.0;22.68942352294922;410.62114257812505;train
1;hexane;86.11;2.9867788696289064;3.8663298950195313;6.0;23.343855895996093;461.8496337890625;train
1;2-methylhexane;100.125;3.3631151123046874;3.9386972045898436;6.0;23.509456481933594;482.748388671875;train
1;2,2-dimethylpentane;100.125;3.05361279296875;3.9926652221679686;6.0;23.505686950683593;494.7206787109375;train
1;3,3-dimethylhexane;114.141;3.282374755859375;4.062548706054687;6.0;23.673852844238283;514.6663818359375;train
1;2,3,4-trimethyl pentane;114.141;3.2164754638671873;4.060123046875;6.0;23.711208801269528;513.7608154296875;train
1;2,2-dimethylhexane;114.141;3.304237670898438;3.939845153808594;6.0;23.511056213378907;482.58032226562494;train
1;nonane;128.157;4.19861865234375;3.916215270996094;6.0;24.07254852294922;485.28032226562505;train
1;2,2,4,4-tetramethylpentane;128.157;3.2639412841796878;4.081202026367188;6.0;23.780829772949218;519.8733154296874;train
1;2,2,5,5-tetramethylhexane;142.172;3.668931640625;3.99854541015625;6.0;23.79213836669922;500.85156249999994;train
1;n-undecane;156.188;4.919477783203125;3.920827453613281;6.0;24.489697570800782;492.5054687499999;train
1;2-methylundecane;170.203;4.844772949218751;3.978052062988281;6.0;24.446785583496094;506.0033203125;train
1;2,3-dimethylundecane;184.219;4.95102880859375;4.07385302734375;6.0;24.683951721191406;531.9097412109376;train
1;pentadecane;212.25;6.6889375;3.8946594848632814;6.0;25.63907348632813;501.0258056640625;train
1;nonadecane;268.313;8.473578125;3.9101392822265626;6.0;24.910734558105467;491.206689453125;train
1;squalane;422.485;10.5064228515625;4.073825805664063;6.0;24.91524627685547;516.906201171875;train
1;propane;44.063;1.694004150390625;3.621680358886719;6.0;22.615298767089843;393.00257568359376;val
1;pentane;72.094;2.6895663452148435;3.844183288574219;6.0;23.165951843261716;452.66967773437494;val
1;2,3-dimethylbutane;86.11;2.417878845214844;3.911853942871094;6.0;23.03983184814453;462.743408203125;val
1;3-methylhexane;100.125;3.2707276611328124;4.011381958007813;6.0;23.59674530029297;501.35898437500003;val
1;2,5-dimethylhexane;114.141;3.429947265625;3.9662205810546878;6.0;23.533919372558593;489.8530517578125;val
1;2,2,3-trimethylpentane;114.141;3.3674805908203123;4.106984741210938;6.0;23.77207794189453;526.8889404296875;val
1;2,3,3-trimethylpentane;114.141;3.48050146484375;4.166283081054687;6.0;23.89240264892578;543.1473388671875;val
1;4-methylheptane;114.141;3.6324615478515625;4.010646362304687;6.0;23.863282165527345;504.6333984375;val
1;3,3-diethylpentane;128.157;3.0069722290039063;3.94029541015625;6.0;23.469024353027343;481.2353271484374;val
1;2,3-dimethylheptane;128.157;4.019107421875;4.079084350585937;6.0;24.12954803466797;525.313671875;val
1;2,7-dimethyloctane;142.172;3.891539794921875;3.9626597290039065;6.0;23.91989959716797;493.79780273437495;val
1;3-methylundecane;170.203;4.949361328125001;3.9859634399414063;6.0;24.508539733886717;508.9290283203125;val
1;tridecane;184.219;5.735835205078125;3.9078082275390624;6.0;25.047476501464843;496.61547851562506;val
1;tetradecane;198.235;6.20174853515625;3.902806701660156;6.0;25.349630126953127;499.5767822265625;val
1;heptadecane;240.282;7.54161279296875;3.8887833862304686;6.0;25.205453491210935;486.95822753906253;val
1;heptacosane;380.438;10.3480498046875;4.0548160400390625;6.0;24.77115692138672;521.007177734375;val
2;methane;16.031;1.2787206420898438;3.3331719970703126;6.0;22.048623046875;314.2198852539062;train
2;2-methylbutane;72.094;2.373708923339844;3.8608562622070313;6.0;22.958575744628902;445.93190917968747;train
2;2-methylpentane;86.11;3.0905010986328127;3.9942489013671874;6.0;23.480138244628908;490.2727294921875;train
2;2,2,3-trimethylbutane;100.125;2.6278341064453126;4.006528930664063;6.0;23.058664855957034;483.84633789062497;train
2;heptane;100.125;3.4907722167968753;3.9220751953125;6.0;23.690621643066407;475.59885253906253;train
2;3,4-dimethylhexane;114.141;3.2073480224609376;4.07031396484375;6.0;23.628945007324216;510.46713867187503;train
2;3-methyl-3-ethylpentane;114.141;3.1842030029296877;4.046534790039063;6.0;23.616934509277343;504.573095703125;train
2;2,2,4-trimethylpentane;114.141;3.3352884521484376;4.121388549804688;6.0;23.77083892822266;524.4584716796875;train
2;2,4,4-trimethylhexane;128.157;3.4123514404296875;4.121413208007812;6.0;23.72414703369141;524.33037109375;train
2;2,3,3,4-tetramethylpentane;128.157;3.3201590576171878;4.144386108398438;6.0;23.74722198486328;529.7851318359375;train
2;decane;142.172;4.5018022460937495;3.9336500244140624;6.0;24.16603973388672;485.66401367187507;train
2;2-methyldecane;156.188;4.694924072265625;3.9837601318359375;6.0;24.32145538330078;499.58334960937503;train
2;dodecane;170.203;5.39544482421875;3.949136474609375;6.0;24.81224639892578;497.1824462890625;train
2;3-methyltridecane;198.235;5.71138232421875;3.9991356201171877;6.0;25.01347442626953;511.66826171875005;train
2;hexadecane;226.266;7.19455810546875;3.938126220703125;6.0;25.486466064453126;494.83984375;train
2;eicosane;282.329;8.71861572265625;3.887025634765625;6.0;24.224963073730468;470.478173828125;train
2;ethane;30.047;1.3343111572265625;3.471490173339844;6.0;22.386984252929686;354.3183227539062;train
2;2,2-dimethylpropane;72.094;2.3232192993164062;3.8131922607421878;6.0;22.873564147949217;433.258935546875;train
2;2,2-dimethylbutane;86.11;2.7928741455078123;3.942968017578125;6.0;23.242259826660153;474.0867919921875;train
2;2,3-dimethylpentane;100.125;3.038326293945312;4.026114990234375;6.0;23.5072299194336;498.07543945312494;train
2;2,4-dimethylpentane;100.125;3.1827003173828126;4.0231671752929685;6.0;23.537683410644533;497.70063476562495;train
2;3-methylheptane;114.141;3.840476806640625;4.0317447509765625;6.0;23.920362854003905;505.48583984375;train
2;2-methyl-3-ethyl-pentane;114.141;3.515475830078125;4.105597045898437;6.0;23.920039978027347;522.51474609375;train
2;2,4-dimethylhexane;114.141;3.3025396728515624;4.029324584960937;6.0;23.489490051269534;499.264892578125;train
2;2,2,3,4-tetramethylpentane;128.157;3.3299822998046875;4.180999145507813;6.0;23.830052795410154;539.671240234375;train
2;2,2,5-trimethylhexane;128.157;3.6159290771484374;4.012772338867188;6.0;23.65551544189453;497.69892578125;train
2;2,6-dimethyloctane;142.172;4.2283974609375;4.00280615234375;6.0;24.121163635253904;500.70507812499994;train
2;2,3-dimethylnonane;156.188;4.12812841796875;4.096486694335938;6.0;24.18137664794922;524.0516113281251;train
2;3-methyldodecane;184.219;5.2451188964843745;4.0212596435546875;6.0;24.71571075439453;513.5656005859375;train
2;2,3-dimethyldodecane;198.235;5.2653391113281245;4.0759735107421875;6.0;24.801446838378904;527.3391601562499;train
2;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.61376416015625;4.078695190429688;6.0;25.255660400390624;531.8920166015624;train
2;tetracosane;338.391;10.05039990234375;4.048114135742187;6.0;24.617257385253907;511.64882812499997;train
2;n-butane;58.078;2.236022552490234;3.769193359375;6.0;22.884104309082034;422.39306640625;train
2;3-methylpentane;86.11;2.8668737182617186;3.947749267578125;6.0;23.300664978027346;476.61984863281253;train
2;3-ethylpentane;100.125;2.906285461425781;3.9135306396484375;6.0;23.33547821044922;468.44858398437503;train
2;3,3-dimethylpentane;100.125;3.0120665283203127;4.0525048828125;6.0;23.484815368652345;504.29091796875;train
2;2-methylheptane;114.141;3.7687401123046875;3.9679163208007813;6.0;23.865664367675777;489.0937744140626;train
2;octane;114.141;3.9534703369140622;3.9358443603515623;6.0;23.937423400878906;482.59970703125;train
2;3-ethylhexane;114.141;3.3957242431640626;3.9992194213867185;6.0;23.609423522949218;493.5101318359375;train
2;2,3-dimethylhexane;114.141;3.556311767578125;4.094064575195312;6.0;23.776454162597656;518.65263671875;train
2;2-methyloctane;128.157;4.029466918945312;3.969384338378906;6.0;23.97566070556641;491.1098876953125;train
2;2,2,3,3-tetramethylpentane;128.157;3.3012169189453124;4.1614661865234375;6.0;23.723868713378906;533.80322265625;train
2;3-methyldecane;156.188;4.3953312988281255;3.977210205078125;6.0;24.058450622558595;494.87314453125003;train
2;2,3-dimethyldecane;170.203;4.6842016601562495;4.088098754882813;6.0;24.466618957519533;526.0514404296874;train
2;2-methyldodecane;184.219;5.34662841796875;3.9944144287109378;6.0;24.756261291503904;507.45869140625007;train
2;2-methyltridecane;198.235;5.797500244140625;3.9862843627929685;6.0;25.067752380371093;509.10402832031247;train
2;octadecane;254.297;8.02436181640625;3.9270418701171876;6.0;25.020837097167966;487.79506835937497;train
2;octacosane;394.454;10.30250390625;4.0763935546875;6.0;24.683613586425782;517.4986328125;train
2;2-methylpropane;58.078;1.9717546825408936;3.7214581909179687;6.0;22.68028289794922;410.00270996093747;train
2;hexane;86.11;2.997492614746094;3.8814332275390626;6.0;23.32966400146484;461.00097656249994;train
2;2-methylhexane;100.125;3.3758128662109375;3.9557523803710937;6.0;23.493912658691407;481.80209960937503;train
2;2,2-dimethylpentane;100.125;3.064953735351563;4.009425659179687;6.0;23.489266052246094;493.727001953125;train
2;3,3-dimethylhexane;114.141;3.295836791992188;4.080938842773437;6.0;23.656685485839844;513.61513671875;train
2;2,3,4-trimethyl pentane;114.141;3.228132690429687;4.078116333007813;6.0;23.693096618652344;512.6620117187499;train
2;2,2-dimethylhexane;114.141;3.3166585693359374;3.9567398681640626;6.0;23.495513000488284;481.6366943359375;train
2;nonane;128.157;4.2151337890625005;3.9357876586914062;6.0;24.05706817626953;484.353271484375;train
2;2,2,4,4-tetramethylpentane;128.157;3.27664208984375;4.09970458984375;6.0;23.762851257324222;518.779833984375;train
2;2,2,5,5-tetramethylhexane;142.172;3.682681884765625;4.017243408203125;6.0;23.775124816894532;499.8224121093751;train
2;n-undecane;156.188;4.9398393554687505;3.9427401733398435;6.0;24.471410217285158;491.57434082031256;train
2;2-methylundecane;170.203;4.866512939453125;4.000615966796875;6.0;24.429310607910153;505.081396484375;train
2;2,3-dimethylundecane;184.219;4.975041259765625;4.098104248046875;6.0;24.666129455566406;530.9388427734374;train
2;pentadecane;212.25;6.71823095703125;3.923385681152344;6.0;25.59828491210937;499.868701171875;train
2;nonadecane;268.313;8.5055732421875;3.9402801513671877;6.0;24.861255187988284;490.1767333984375;train
2;squalane;422.485;10.5461630859375;4.1048736572265625;6.0;24.855538635253907;516.5915283203125;train
2;propane;44.063;1.6989224243164063;3.6304585571289065;6.0;22.607146606445312;392.46104736328124;val
2;pentane;72.094;2.6974486694335935;3.8572268066406252;6.0;23.154151916503906;451.91689453124997;val
2;2,3-dimethylbutane;86.11;2.4249546813964846;3.9249260864257813;6.0;23.02543426513672;461.94433593749994;val
2;3-methylhexane;100.125;3.28334912109375;4.02904052734375;6.0;23.580003356933595;500.33474121093747;val
2;2,5-dimethylhexane;114.141;3.442667236328125;3.98373046875;6.0;23.51766693115234;488.8616699218749;val
2;2,2,3-trimethylpentane;114.141;3.380100830078125;4.125959716796875;6.0;23.753150329589843;525.72763671875;val
2;2,3,3-trimethylpentane;114.141;3.494079345703125;4.1863511962890625;6.0;23.872585144042972;541.927685546875;val
2;4-methylheptane;114.141;3.6472686767578124;4.029536010742188;6.0;23.846725158691406;503.62048339843744;val
2;3,3-diethylpentane;128.157;3.0185667114257813;3.9564224853515624;6.0;23.453934020996094;480.328515625;val
2;2,3-dimethylheptane;128.157;4.03567138671875;4.099924560546875;6.0;24.111502990722656;524.2006591796875;val
2;2,7-dimethyloctane;142.172;3.907933837890625;3.981894836425781;6.0;23.90454864501953;492.8672851562499;val
2;3-methylundecane;170.203;4.971509033203125;4.0088994140625;6.0;24.49047088623047;507.981494140625;val
2;tridecane;184.219;5.75967041015625;3.9321683349609375;6.0;25.02835723876953;495.66760253906244;val
2;tetradecane;198.235;6.22717333984375;3.928519592285156;6.0;25.32980163574219;498.59587402343755;val
2;heptadecane;240.282;7.57019091796875;3.9165135498046872;6.0;25.159700927734377;486.01752929687495;val
2;heptacosane;380.438;10.3789072265625;4.086834594726563;6.0;24.713918762207033;520.245068359375;val
3;methane;16.031;1.2803232421875;3.3362242431640627;6.0;22.048353271484373;313.97813720703124;train
3;2-methylbutane;72.094;2.380107177734375;3.8728543090820313;6.0;22.94596435546875;445.19804687499993;train
3;2-methylpentane;86.11;3.1007135009765623;4.010473937988281;6.0;23.464356689453126;489.2604248046875;train
3;2,2,3-trimethylbutane;100.125;2.6353204345703123;4.020422912597656;6.0;23.04593994140625;482.94880371093745;train
3;heptane;100.125;3.5028497314453126;3.9387872314453123;6.0;23.676030883789064;474.66364746093745;train
3;3,4-dimethylhexane;114.141;3.2193675537109376;4.087873413085937;6.0;23.61258544921875;509.401123046875;train
