epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.0478524780273437;3.630076171875;6.0;20.259368438720706;298.03814697265625;train
1;2-methylbutane;72.094;2.3426001892089845;3.8710379638671872;6.0;23.77461181640625;453.5301269531249;train
1;2-methylpentane;86.11;2.8608933715820313;3.891821533203125;6.0;23.49252502441406;466.8941650390625;train
1;2,2,3-trimethylbutane;100.125;2.6185838012695313;3.872214599609375;6.0;21.600110321044923;465.9056884765625;train
1;heptane;100.125;3.3677305908203126;3.8689615478515624;6.0;24.79822143554688;463.01638183593747;train
1;3,4-dimethylhexane;114.141;3.0932462158203125;3.9341351318359377;6.0;23.923632812499996;484.8072021484375;train
1;3-methyl-3-ethylpentane;114.141;2.9033546142578124;3.94240869140625;6.0;23.957983398437502;484.97956542968745;train
1;2,2,4-trimethylpentane;114.141;3.0210130004882814;3.9522006225585935;6.0;24.09711395263672;489.6726318359375;train
1;2,4,4-trimethylhexane;128.157;3.2198538818359372;3.9166817626953128;6.0;22.882359619140622;483.485791015625;train
1;2,3,3,4-tetramethylpentane;128.157;3.042489013671875;3.9678027954101562;6.0;23.91957244873047;496.83640136718753;train
1;decane;142.172;4.12409228515625;3.8072852172851563;6.0;23.508037719726566;457.05190429687497;train
1;2-methyldecane;156.188;4.298337646484375;3.821741027832031;6.0;23.918362426757813;463.96296386718757;train
1;dodecane;170.203;4.8779489746093745;3.809620361328125;6.0;25.297568969726562;465.62824707031257;train
1;3-methyltridecane;198.235;5.0504831542968756;3.8502164306640623;6.0;24.995278320312497;484.05041503906256;train
1;hexadecane;226.266;6.258390625;3.763687744140625;6.0;26.346387329101564;469.18308105468753;train
1;eicosane;282.329;7.902919921875;3.7395045166015626;6.0;23.567860107421875;433.02158203125;train
1;ethane;30.047;1.5964470825195312;3.7806453857421873;6.0;24.17024597167969;387.45433349609374;train
1;2,2-dimethylpropane;72.094;2.3107146911621093;3.8549918212890626;6.0;23.648079223632813;447.66166992187505;train
1;2,2-dimethylbutane;86.11;2.5788831176757814;3.8977830810546874;6.0;23.368489990234377;465.8277587890625;train
1;2,3-dimethylpentane;100.125;2.8979332275390624;3.926398681640625;6.0;24.168632202148437;477.1854736328125;train
1;2,4-dimethylpentane;100.125;2.9857654418945314;3.89125634765625;6.0;23.48596740722656;468.3990966796875;train
1;3-methylheptane;114.141;3.44221630859375;3.8646866455078124;6.0;23.499578247070314;466.66796875;train
1;2-methyl-3-ethyl-pentane;114.141;3.2108428955078123;3.9627359619140625;6.0;25.432963867187503;491.8492431640625;train
1;2,4-dimethylhexane;114.141;3.1341199951171874;3.84203369140625;6.0;21.540724945068355;458.33496093750006;train
1;2,2,3,4-tetramethylpentane;128.157;3.0215626220703125;3.99390380859375;6.0;24.44779113769531;504.04995117187497;train
1;2,2,5-trimethylhexane;128.157;3.4161103515624998;3.8072247314453125;6.0;21.859049530029296;448.8923583984375;train
1;2,6-dimethyloctane;142.172;3.907733154296875;3.8473197021484378;6.0;24.312222900390626;465.546533203125;train
1;2,3-dimethylnonane;156.188;3.7182542724609373;3.95613232421875;6.0;24.86000183105469;500.3374755859375;train
1;3-methyldodecane;184.219;4.61798291015625;3.860024658203125;6.0;24.276795654296876;482.1249267578125;train
1;2,3-dimethyldodecane;198.235;4.721139404296875;3.899329040527344;6.0;25.05415466308594;495.91474609374995;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.059949462890625;3.9322333984375;6.0;28.767704467773434;503.50061035156256;train
1;tetracosane;338.391;9.003021484375001;3.815862976074219;6.0;23.76806121826172;447.26633300781253;train
1;n-butane;58.078;2.191338439941406;3.8719126586914063;6.0;24.835807495117187;445.1828369140625;train
1;3-methylpentane;86.11;2.718912109375;3.8834066162109373;6.0;23.261971435546876;462.0788330078125;train
1;3-ethylpentane;100.125;2.9119813842773437;3.8962533569335935;6.0;24.518836669921875;463.30847167968744;train
1;3,3-dimethylpentane;100.125;2.711340759277344;3.9466087646484374;6.0;23.213540954589842;486.8975830078125;train
1;2-methylheptane;114.141;3.4958599853515624;3.860865234375;6.0;24.684960021972657;462.840966796875;train
1;octane;114.141;3.6737990722656253;3.840800537109375;6.0;24.260771484375;459.7507080078125;train
1;3-ethylhexane;114.141;3.246750244140625;3.866636169433594;6.0;22.95324951171875;465.53369140625006;train
1;2,3-dimethylhexane;114.141;3.254572265625;3.888772766113281;6.0;22.982056579589845;473.48964843749997;train
1;2-methyloctane;128.157;3.73810791015625;3.8440850830078124;6.0;24.159786376953125;462.1342529296875;train
1;2,2,3,3-tetramethylpentane;128.157;2.9437389526367186;3.9615023803710936;6.0;22.739322509765625;498.23676757812495;train
1;3-methyldecane;156.188;3.9324982910156248;3.841995849609375;6.0;22.20571624755859;469.64824218750005;train
1;2,3-dimethyldecane;170.203;4.237701904296875;3.9156412353515626;6.0;24.959403686523437;494.0731201171875;train
1;2-methyldodecane;184.219;4.803253662109375;3.83235986328125;6.0;24.56213928222656;474.3860107421876;train
1;2-methyltridecane;198.235;5.1787263183593755;3.8298530883789064;6.0;25.453050537109373;477.5441650390626;train
1;octadecane;254.297;7.0670986328125;3.7550457763671874;6.0;25.48658996582031;457.20195312499993;train
1;octacosane;394.454;9.30077685546875;3.83958251953125;6.0;23.8268798828125;451.7905029296875;train
1;2-methylpropane;58.078;2.150796875;3.80971923828125;6.0;23.604284057617186;427.0019287109375;train
1;hexane;86.11;2.9313442993164065;3.874447998046875;6.0;23.915097045898435;459.12727050781245;train
1;2-methylhexane;100.125;3.1324815673828126;3.8175068359375;6.0;22.066829223632816;448.0707275390625;train
1;2,2-dimethylpentane;100.125;2.8403571166992188;3.9190188598632814;6.0;23.66822204589844;475.98203125000003;train
1;3,3-dimethylhexane;114.141;3.0206402587890624;3.9211591796875;6.0;23.111026306152343;482.41630859375005;train
1;2,3,4-trimethyl pentane;114.141;3.026197875976562;3.96702392578125;6.0;25.13587158203125;489.91555175781247;train
1;2,2-dimethylhexane;114.141;3.156551513671875;3.8413614501953126;6.0;22.628966064453124;455.68552246093753;train
1;nonane;128.157;3.9055025634765625;3.8289710083007815;6.0;24.16204071044922;459.5438232421875;train
1;2,2,4,4-tetramethylpentane;128.157;3.018242614746094;3.9859010620117186;6.0;25.044493408203124;497.60725097656257;train
1;2,2,5,5-tetramethylhexane;142.172;3.3855184326171877;3.866091796875;6.0;23.28771423339844;466.295654296875;train
1;n-undecane;156.188;4.46893408203125;3.811078369140625;6.0;24.213031616210937;462.1847900390625;train
1;2-methylundecane;170.203;4.352855957031251;3.8399071044921875;6.0;23.70870391845703;471.96984863281256;train
1;2,3-dimethylundecane;184.219;4.470889892578125;3.91671484375;6.0;25.27599365234375;497.47941894531243;train
1;pentadecane;212.25;5.864097656249999;3.7857642822265625;6.0;26.631085205078126;473.35920410156245;train
1;nonadecane;268.313;7.405490234375;3.7564864501953124;6.0;25.080846252441408;454.92624511718753;train
1;squalane;422.485;9.48245654296875;3.857129333496094;6.0;24.025755615234374;458.57470703125;train
1;propane;44.063;1.8656075744628906;3.83798828125;6.0;24.88804840087891;419.85668945312506;val
1;pentane;72.094;2.581843994140625;3.8952234497070313;6.0;24.288649597167968;459.5864013671875;val
1;2,3-dimethylbutane;86.11;2.5662686767578125;3.8984940185546875;6.0;23.71010101318359;463.97565917968745;val
1;3-methylhexane;100.125;3.0207855834960937;3.88200634765625;6.0;22.68735412597656;469.222119140625;val
1;2,5-dimethylhexane;114.141;3.19031396484375;3.8080093994140625;6.0;21.608692474365235;446.3122802734375;val
1;2,2,3-trimethylpentane;114.141;2.9484151611328127;3.93203271484375;6.0;23.309118041992186;484.74719238281256;val
1;2,3,3-trimethylpentane;114.141;3.0037132568359377;3.9564954833984376;6.0;23.1838330078125;495.1967529296875;val
1;4-methylheptane;114.141;3.5076831054687503;3.8839591674804685;6.0;24.200080261230468;472.7274414062499;val
1;3,3-diethylpentane;128.157;3.1819371337890625;3.92651220703125;6.0;24.81696838378906;480.1823486328125;val
1;2,3-dimethylheptane;128.157;3.5406142578125;3.9060286865234373;6.0;24.351995239257814;480.5979248046874;val
1;2,7-dimethyloctane;142.172;3.5748447265625;3.870139404296875;6.0;23.941477661132815;469.201611328125;val
1;3-methylundecane;170.203;4.41592041015625;3.8347677612304687;6.0;23.42797607421875;471.8239501953125;val
1;tridecane;184.219;5.155886718750001;3.808853332519531;6.0;25.678025512695314;469.1545654296875;val
1;tetradecane;198.235;5.500802490234375;3.7981317138671873;6.0;26.205264892578125;471.024853515625;val
1;heptadecane;240.282;6.68666064453125;3.7471878662109375;6.0;25.653393554687504;458.12924804687503;val
1;heptacosane;380.438;9.330900878906249;3.840648498535156;6.0;23.749705505371097;451.75585937499994;val
