epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;2.0000002032005284;3.0000002330047284;6.0;19.99999765237648;200.00005709711112;train
1;2-methylbutane;72.094;2.0000002031960173;3.0000002330227433;6.0;19.999997652378518;200.0000571007899;train
1;2-methylpentane;86.11;2.000000203196614;3.0000002330221616;6.0;19.999997652372112;200.00005710090045;train
1;2,2,3-trimethylbutane;100.125;2.000000203196483;3.0000002330221616;6.0;19.999997652372404;200.00005710089462;train
1;heptane;100.125;2.0000002032186313;3.0000002329754496;6.0;19.99999765241824;200.00005710101104;train
1;3,4-dimethylhexane;114.141;2.0000002032186313;3.0000002329754496;6.0;19.999997652418386;200.00005710101104;train
1;3-methyl-3-ethylpentane;114.141;2.0000002031967887;3.0000002330221904;6.0;19.999997652371384;200.00005710090628;train
1;2,2,4-trimethylpentane;114.141;2.0000002031968176;3.0000002330221904;6.0;19.999997652371384;200.00005710090628;train
1;2,4,4-trimethylhexane;128.157;2.000000203210628;3.000000232976032;6.0;19.999997652213498;200.0000571007491;train
1;2,3,3,4-tetramethylpentane;128.157;2.0000002031965995;3.0000002330221904;6.0;19.999997652372112;200.00005710090045;train
1;decane;142.172;2.0000002032036717;3.0000002330207938;6.0;19.999997652374585;200.00005710054535;train
1;2-methyldecane;156.188;2.0000002032248303;3.000000232975319;6.0;19.999997652407476;200.00005710084804;train
1;dodecane;170.203;2.000000203215692;3.000000232974373;6.0;19.999997652203454;200.00005710055123;train
1;3-methyltridecane;198.235;2.0000002032716875;3.000000232951963;6.0;19.999997652088933;200.00005710146507;train
1;hexadecane;226.266;2.000000203190633;3.0000002330406135;6.0;19.999997651387385;200.00005710775727;train
1;eicosane;282.329;2.0000002032375486;3.0000002329666895;6.0;19.999997650710284;200.00005710444532;train
1;ethane;30.047;2.0000002032005435;3.0000002330047426;6.0;19.99999765237633;200.00005709711112;train
1;2,2-dimethylpropane;72.094;2.000000203195872;3.000000233023675;6.0;19.999997652380554;200.0000571007666;train
1;2,2-dimethylbutane;86.11;2.000000203196512;3.0000002330221616;6.0;19.999997652372404;200.00005710089462;train
1;2,3-dimethylpentane;100.125;2.0000002031965995;3.0000002330221758;6.0;19.999997652372112;200.00005710090045;train
1;2,4-dimethylpentane;100.125;2.0000002031965707;3.0000002330221616;6.0;19.999997652372112;200.00005710089462;train
1;3-methylheptane;114.141;2.0000002032107296;3.0000002329760607;6.0;19.99999765221306;200.00005710075493;train
1;2-methyl-3-ethyl-pentane;114.141;2.000000203196774;3.000000233022205;6.0;19.99999765237153;200.00005710090628;train
1;2,4-dimethylhexane;114.141;2.000000203218573;3.0000002329754643;6.0;19.999997652418532;200.00005710101104;train
1;2,2,3,4-tetramethylpentane;128.157;2.0000002031967163;3.0000002330221904;6.0;19.999997652371675;200.00005710090628;train
1;2,2,5-trimethylhexane;128.157;2.0000002032185877;3.0000002329754496;6.0;19.999997652418386;200.00005710101104;train
1;2,6-dimethyloctane;142.172;2.000000203200514;3.0000002330219138;6.0;19.999997652391464;200.00005710073748;train
1;2,3-dimethylnonane;156.188;2.000000203203832;3.0000002330207938;6.0;19.999997652374006;200.00005710055123;train
1;3-methyldodecane;184.219;2.0000002032886113;3.000000232954946;6.0;19.999997652354214;200.00005710040568;train
1;2,3-dimethyldodecane;198.235;2.000000203209842;3.0000002330224524;6.0;19.999997652000165;200.00005710148832;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.000000203224161;3.0000002329748092;6.0;19.999997652403106;200.00005710081314;train
1;tetracosane;338.391;2.000000203178497;3.0000002330507267;6.0;19.999997650342557;200.00005710400296;train
1;propane;44.063;2.00000020320066;3.0000002330047426;6.0;19.99999765237575;200.00005709712275;train
1;pentane;72.094;2.0000002031961195;3.0000002330227726;6.0;19.99999765237837;200.0000571008015;train
1;2,3-dimethylbutane;86.11;2.0000002031959303;3.0000002330227433;6.0;19.99999765237895;200.0000571007899;train
1;3-methylhexane;100.125;2.000000203218602;3.0000002329754643;6.0;19.999997652418386;200.00005710101104;train
1;2,5-dimethylhexane;114.141;2.000000203218573;3.0000002329754643;6.0;19.999997652418532;200.00005710101104;train
1;2,2,3-trimethylpentane;114.141;2.000000203196745;3.0000002330221904;6.0;19.999997652371967;200.00005710090628;train
1;2,3,3-trimethylpentane;114.141;2.0000002031968176;3.0000002330221904;6.0;19.999997652371384;200.00005710090628;train
1;4-methylheptane;114.141;2.000000203210715;3.0000002329760607;6.0;19.999997652212915;200.0000571007491;train
1;3,3-diethylpentane;128.157;2.0000002031968327;3.000000233022205;6.0;19.999997652371384;200.00005710090628;train
1;2,3-dimethylheptane;128.157;2.0000002032108313;3.00000023297609;6.0;19.99999765221248;200.00005710075493;train
1;2,7-dimethyloctane;142.172;2.0000002032112243;3.0000002329758573;6.0;19.999997652228195;200.00005710088294;train
1;3-methylundecane;170.203;2.0000002032783666;3.0000002329535347;6.0;19.999997652168823;200.0000571001845;train
1;tridecane;184.219;2.0000002032878985;3.000000232954495;6.0;19.99999765237633;200.00005710053372;train
1;tetradecane;198.235;2.000000203288757;3.0000002329552515;6.0;19.999997652334276;200.0000571004697;train
1;heptadecane;240.282;2.0000002031255137;3.0000002330432616;6.0;19.999997651441078;200.00005710644766;train
1;heptacosane;380.438;2.000000203184711;3.000000233062048;6.0;19.999997650694425;200.00005710659315;train
1;n-butane;58.078;2.0000002031959156;3.000000233022729;6.0;19.99999765237895;200.0000571007899;train
1;3-methylpentane;86.11;2.000000203196585;3.0000002330221758;6.0;19.999997652372112;200.00005710089462;train
1;3-ethylpentane;100.125;2.000000203196498;3.0000002330221616;6.0;19.999997652372695;200.00005710089462;train
1;3,3-dimethylpentane;100.125;2.000000203218529;3.0000002329754207;6.0;19.999997652418532;200.0000571010052;train
1;2-methylheptane;114.141;2.0000002032105986;3.000000232976032;6.0;19.999997652213498;200.0000571007491;train
1;octane;114.141;2.000000203210715;3.0000002329760607;6.0;19.99999765221306;200.0000571007491;train
1;3-ethylhexane;114.141;2.0000002032186313;3.0000002329754496;6.0;19.99999765241824;200.00005710101104;train
1;2,3-dimethylhexane;114.141;2.0000002032186455;3.000000232975479;6.0;19.99999765241824;200.00005710101104;train
1;2-methyloctane;128.157;2.0000002032109476;3.00000023297609;6.0;19.999997652212333;200.00005710076073;train
1;2,2,3,3-tetramethylpentane;128.157;2.000000203218602;3.0000002329754496;6.0;19.999997652418386;200.00005710101104;train
1;3-methyldecane;156.188;2.000000203224932;3.0000002329753332;6.0;19.99999765240718;200.0000571008597;train
1;2,3-dimethyldecane;170.203;2.0000002032157207;3.000000232974373;6.0;19.999997652203167;200.000057100557;train
1;2-methyldodecane;184.219;2.0000002032885966;3.000000232954946;6.0;19.999997652354214;200.00005710040568;train
1;2-methyltridecane;198.235;2.0000002032097983;3.000000233022467;6.0;19.999997651999873;200.00005710148832;train
1;octadecane;254.297;2.0000002032369957;3.000000232969163;6.0;19.999997651013544;200.0000571040262;train
1;octacosane;394.454;2.000000203184711;3.000000233062048;6.0;19.999997650694425;200.00005710659315;train
1;2-methylpropane;58.078;2.0000002032007327;3.000000233004786;6.0;19.99999765237575;200.00005709712275;val
1;hexane;86.11;2.0000002031967163;3.0000002330221904;6.0;19.999997652371675;200.00005710090628;val
1;2-methylhexane;100.125;2.000000203218573;3.0000002329754643;6.0;19.999997652418532;200.00005710101104;val
1;2,2-dimethylpentane;100.125;2.0000002031967012;3.0000002330221758;6.0;19.999997652371967;200.00005710090628;val
1;3,3-dimethylhexane;114.141;2.0000002032186455;3.0000002329754496;6.0;19.99999765241824;200.00005710101104;val
1;2,3,4-trimethyl pentane;114.141;2.0000002031960467;3.0000002330227433;6.0;19.99999765237895;200.00005710079566;val
1;2,2-dimethylhexane;114.141;2.000000203218544;3.0000002329754207;6.0;19.999997652418532;200.0000571010052;val
1;nonane;128.157;2.0000002032112096;3.0000002329758573;6.0;19.99999765222805;200.00005710088294;val
1;2,2,4,4-tetramethylpentane;128.157;2.000000203196774;3.000000233022205;6.0;19.99999765237153;200.00005710090628;val
1;2,2,5,5-tetramethylhexane;142.172;2.0000002031968327;3.000000233022205;6.0;19.999997652371384;200.00005710090628;val
1;n-undecane;156.188;2.0000002032248156;3.0000002329753332;6.0;19.999997652407764;200.00005710084804;val
1;2-methylundecane;170.203;2.0000002032157207;3.000000232974373;6.0;19.999997652203167;200.00005710055123;val
1;2,3-dimethylundecane;184.219;2.0000002032885966;3.000000232954932;6.0;19.999997652354505;200.00005710040568;val
1;pentadecane;212.25;2.0000002032717745;3.000000232951963;6.0;19.999997652088496;200.00005710147087;val
1;nonadecane;268.313;2.000000203234609;3.000000232967126;6.0;19.999997651025044;200.0000571040495;val
1;squalane;422.485;2.0000002031866315;3.0000002331138385;6.0;19.99999765139466;200.0000571117329;val
2;methane;16.031;2.0000002039450337;3.000000234944513;6.0;19.999997630222786;200.00005750954733;train
2;2-methylbutane;72.094;2.0000002040224647;3.000000235018757;6.0;19.999997631314763;200.0000575141457;train
2;2-methylpentane;86.11;2.0000002040286056;3.000000234967898;6.0;19.999997631572622;200.00005751643332;train
2;2,2,3-trimethylbutane;100.125;2.0000002040305844;3.0000002349483985;6.0;19.999997631565055;200.00005751279534;train
2;heptane;100.125;2.0000002040001856;3.000000235028507;6.0;19.999997631244916;200.00005753047878;train
2;3,4-dimethylhexane;114.141;2.0000002040081455;3.0000002350092254;6.0;19.999997631086735;200.00005752959407;train
2;3-methyl-3-ethylpentane;114.141;2.000000204018332;3.000000235011612;6.0;19.999997631381703;200.00005751674178;train
2;2,2,4-trimethylpentane;114.141;2.000000203999953;3.0000002350284483;6.0;19.99999763124535;200.00005753047301;train
2;2,4,4-trimethylhexane;128.157;2.000000203921125;3.0000002352033044;6.0;19.99999763234955;200.0000575323182;train
2;2,3,3,4-tetramethylpentane;128.157;2.0000002040320686;3.000000234969746;6.0;19.99999763159329;200.0000575167185;train
2;decane;142.172;2.0000002039678075;3.0000002351830046;6.0;19.999997631939625;200.00005754633455;train
2;2-methyldecane;156.188;2.0000002040025135;3.000000235225161;6.0;19.999997631220758;200.0000575501181;train
2;dodecane;170.203;2.00000020405525;3.000000235279076;6.0;19.999997630550787;200.00005755943127;train
2;3-methyltridecane;198.235;2.0000002041149276;3.000000235366315;6.0;19.99999762843086;200.00005757689357;train
2;hexadecane;226.266;2.000000204054726;3.000000235379513;6.0;19.999997627807026;200.0000575730519;train
2;eicosane;282.329;2.000000204181997;3.0000002355227915;6.0;19.999997627444245;200.00005760786007;train
2;ethane;30.047;2.0000002039832325;3.0000002350292343;6.0;19.999997631141014;200.0000575148908;train
