epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.7966162414550781;3.4059594421386716;6.0;23.419203186035155;337.96832275390625;train
1;2,2-dimethylpropane;72.094;2.3710210876464846;3.7246663818359376;6.0;23.949801025390624;428.54990234375003;train
1;2,2-dimethylbutane;86.11;2.6684238891601564;3.8742903442382812;6.0;24.089407958984374;466.9388916015625;train
1;2,3-dimethylpentane;100.125;2.9055794677734372;4.011109436035156;6.0;24.333392333984378;502.4314941406249;train
1;2,4-dimethylpentane;100.125;3.120998291015625;3.961558532714844;6.0;24.037777099609375;491.8882080078125;train
1;3-methylheptane;114.141;3.6794847412109375;3.9753712768554688;6.0;23.982415771484376;504.15446777343755;train
1;2-methyl-3-ethyl-pentane;114.141;3.33888232421875;4.105774658203125;6.0;24.4902490234375;531.6266845703125;train
1;2,4-dimethylhexane;114.141;3.356419799804687;3.9620522460937497;6.0;23.939517822265625;495.0109619140624;train
1;2,2,3,4-tetramethylpentane;128.157;3.2248392333984377;4.205330078125;6.0;24.798660888671876;554.421142578125;train
1;2,2,5-trimethylhexane;128.157;3.620436157226562;3.9512531127929686;6.0;23.866778564453128;496.29797363281244;train
1;2,6-dimethyloctane;142.172;4.205591796875;3.8987653198242187;6.0;23.69853332519531;493.03303222656257;train
1;2,3-dimethylnonane;156.188;4.140386718749999;4.0289327392578125;6.0;24.081983642578123;524.1708984375;train
1;3-methyldodecane;184.219;5.1865258789062505;3.960340637207031;6.0;23.906159057617185;524.6162109375;train
1;2,3-dimethyldodecane;198.235;5.235793701171875;3.9853848876953126;6.0;24.001646728515624;531.2523193359375;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.40327587890625;4.019130920410156;6.0;24.213533325195314;542.866455078125;train
1;tetracosane;338.391;9.97620361328125;3.993941833496094;6.0;26.110308837890624;506.814208984375;train
1;propane;44.063;1.9949656157493592;3.5972941284179685;6.0;24.009087219238282;393.60227050781253;train
1;pentane;72.094;2.721222900390625;3.8106221923828123;6.0;23.718895263671875;449.42902832031245;train
1;2,3-dimethylbutane;86.11;2.5606000366210937;3.892214172363281;6.0;24.40264709472656;472.79809570312494;train
1;3-methylhexane;100.125;3.174126220703125;3.9794400024414065;6.0;24.061053466796878;497.423193359375;train
1;2,5-dimethylhexane;114.141;3.52039013671875;3.927076721191406;6.0;23.82874572753906;488.93237304687494;train
1;2,2,3-trimethylpentane;114.141;3.0511666259765624;4.083603637695313;6.0;24.406497802734375;521.1622314453125;train
1;2,3,3-trimethylpentane;114.141;3.080763671875;4.141755004882812;6.0;24.604628295898436;536.4854736328125;train
1;4-methylheptane;114.141;3.574009765625;3.964875915527344;6.0;23.991425781249998;500.0766357421875;train
1;3,3-diethylpentane;128.157;3.2628447265625002;4.025589599609375;6.0;24.223515625000005;510.42199707031256;train
1;2,3-dimethylheptane;128.157;3.8044827880859375;4.020714904785156;6.0;24.121016845703124;517.1697021484375;train
1;2,7-dimethyloctane;142.172;4.252829833984375;3.8448743896484374;6.0;23.522684326171873;480.337060546875;train
1;3-methylundecane;170.203;4.686744384765625;3.959322326660156;6.0;23.830077514648437;515.8549560546876;train
1;tridecane;184.219;5.565005859375;3.7733748779296876;6.0;23.296780395507813;478.6426025390625;train
1;tetradecane;198.235;6.20016064453125;3.84104736328125;6.0;23.702664794921873;497.0921630859375;train
1;heptadecane;240.282;7.57210986328125;3.8318235473632813;6.0;24.373826904296877;478.6033935546875;train
1;heptacosane;380.438;10.29883203125;4.024540283203125;6.0;26.30119384765625;514.344287109375;train
1;n-butane;58.078;2.2473306884765627;3.671087585449219;6.0;23.925453186035156;415.2715820312499;train
1;3-methylpentane;86.11;2.851232849121094;3.9030489501953127;6.0;23.920865478515623;473.71105957031256;train
1;3-ethylpentane;100.125;2.960429992675781;3.9059683227539064;6.0;23.95043518066406;476.4514404296875;train
1;3,3-dimethylpentane;100.125;2.9396986083984373;4.008411804199219;6.0;24.21484008789062;501.1505126953125;train
1;2-methylheptane;114.141;3.60044970703125;3.8999363403320313;6.0;23.8119140625;484.56352539062505;train
1;octane;114.141;3.8303775634765627;3.8812484741210938;6.0;23.703400268554688;483.5292236328125;train
1;3-ethylhexane;114.141;3.422859619140625;3.9596253051757815;6.0;23.953089599609374;496.07824707031244;train
1;2,3-dimethylhexane;114.141;3.4557275390625;4.06662353515625;6.0;24.27992370605469;522.923046875;train
1;2-methyloctane;128.157;3.9916240234375;3.90262646484375;6.0;23.742401733398438;490.9540283203125;train
1;2,2,3,3-tetramethylpentane;128.157;3.21061572265625;4.153212646484375;6.0;24.553505249023438;540.5231201171874;train
1;3-methyldecane;156.188;4.328759765625;3.918167175292969;6.0;23.661464233398437;499.4738037109375;train
1;2,3-dimethyldecane;170.203;4.477248779296875;4.0234962158203125;6.0;24.031159057617188;528.0845458984376;train
1;2-methyldodecane;184.219;5.2514638671875;3.9227861328125;6.0;23.835430908203126;516.646435546875;train
1;2-methyltridecane;198.235;5.695688232421875;3.8910496215820314;6.0;23.701330566406252;512.1762939453125;train
1;octadecane;254.297;8.060080078125;3.8692059936523435;6.0;24.653421630859373;486.4382080078125;train
1;octacosane;394.454;10.2425556640625;4.018352661132813;6.0;26.26804443359375;512.6611572265625;train
1;2-methylpropane;58.078;2.096371765136719;3.626440734863281;6.0;23.947580871582034;401.35115966796883;train
1;hexane;86.11;3.0124022216796877;3.8306702270507813;6.0;23.684542236328127;458.4503662109375;train
1;2-methylhexane;100.125;3.333526611328125;3.8910576782226562;6.0;23.762882080078125;477.535546875;train
1;2,2-dimethylpentane;100.125;3.003470458984375;3.991876281738281;6.0;24.145587158203128;497.80085449218757;train
1;3,3-dimethylhexane;114.141;3.233846801757813;4.051509399414062;6.0;24.25404296875;515.8419189453125;train
1;2,3,4-trimethyl pentane;114.141;3.1274903564453123;4.065732666015625;6.0;24.405050048828123;518.3741943359375;train
1;2,2-dimethylhexane;114.141;3.2919002685546874;3.8933587646484376;6.0;23.771058959960936;477.4311279296875;train
1;nonane;128.157;4.09059375;3.888396667480469;6.0;23.679426269531252;489.30429687500003;train
1;2,2,4,4-tetramethylpentane;128.157;3.231234375;4.127820068359375;6.0;24.534965209960937;535.0017333984375;train
1;2,2,5,5-tetramethylhexane;142.172;3.6497176513671876;3.980963073730469;6.0;23.972449951171875;504.2550537109375;train
1;n-undecane;156.188;4.76823193359375;3.8708939208984376;6.0;23.63528930664063;496.24260253906255;train
1;2-methylundecane;170.203;4.712716064453125;3.9616387329101563;6.0;23.85699829101562;516.8872558593749;train
1;2,3-dimethylundecane;184.219;4.82964599609375;4.045397216796875;6.0;24.1057958984375;539.2495849609375;train
1;pentadecane;212.25;6.7195234375;3.8461945190429687;6.0;23.988392333984375;493.8163330078125;train
1;nonadecane;268.313;8.594966796875;3.862707946777344;6.0;24.960211791992187;477.74902343749994;train
1;squalane;422.485;10.3920771484375;4.017473815917969;6.0;26.37222412109375;509.3453369140625;train
1;methane;16.031;1.826804458618164;3.308879943847656;6.0;22.703438110351563;307.00909423828125;val
1;2-methylbutane;72.094;2.3297772827148435;3.7434918212890627;6.0;24.094344482421874;434.0703857421875;val
1;2-methylpentane;86.11;2.8610560302734376;3.946353515625;6.0;24.097607421875004;485.1196044921875;val
1;2,2,3-trimethylbutane;100.125;2.6099230957031248;3.9138016967773437;6.0;24.3857421875;478.0689208984375;val
1;heptane;100.125;3.3275462646484373;3.856156494140625;6.0;23.71639404296875;469.650732421875;val
1;3,4-dimethylhexane;114.141;3.2164892578125;4.041412353515625;6.0;24.25951416015625;513.4317138671875;val
1;3-methyl-3-ethylpentane;114.141;3.043859130859375;4.005417419433593;6.0;24.177199096679686;501.96464843750005;val
1;2,2,4-trimethylpentane;114.141;3.369873291015625;4.139459350585938;6.0;24.538359375;539.9479248046875;val
1;2,4,4-trimethylhexane;128.157;3.6267230224609373;4.133107666015625;6.0;24.42857666015625;541.7352050781251;val
1;2,3,3,4-tetramethylpentane;128.157;3.144276611328125;4.074309448242188;6.0;24.395013427734376;520.4444091796875;val
1;decane;142.172;4.199729736328125;3.8520017700195313;6.0;23.52938720703125;481.7524169921875;val
1;2-methyldecane;156.188;4.3183522949218744;3.936169921875;6.0;23.78245849609375;504.1794921875;val
1;dodecane;170.203;5.204629150390625;3.8281512451171875;6.0;23.55922790527344;491.96511230468747;val
1;3-methyltridecane;198.235;5.7629328613281245;3.8976175537109374;6.0;23.68964904785156;514.2466796875001;val
1;hexadecane;226.266;7.15234521484375;3.831399719238281;6.0;24.17422119140625;483.4892578125;val
1;eicosane;282.329;8.9848427734375;3.9063815307617187;6.0;25.293802490234377;487.49113769531255;val
2;ethane;30.047;1.7928381805419922;3.4042715759277344;6.0;23.426589965820312;337.51922607421875;train
2;2,2-dimethylpropane;72.094;2.357285827636719;3.72097265625;6.0;23.981423034667966;427.7739013671875;train
2;2,2-dimethylbutane;86.11;2.650557861328125;3.8694659423828126;6.0;24.12858184814453;465.91845703125;train
2;2,3-dimethylpentane;100.125;2.8843563842773436;4.005325866699218;6.0;24.37954132080078;501.2246337890625;train
2;2,4-dimethylpentane;100.125;3.0992552490234377;3.9561257324218753;6.0;24.078435974121092;490.66018066406247;train
2;3-methylheptane;114.141;3.6540234375000002;3.969028076171875;6.0;24.024383850097657;502.67119140625;train
2;2-methyl-3-ethyl-pentane;114.141;3.3138107910156247;4.099513061523437;6.0;24.536098937988278;530.2110107421875;train
2;2,4-dimethylhexane;114.141;3.3327432861328123;3.956113037109375;6.0;23.98069244384766;493.6488525390625;train
2;2,2,3,4-tetramethylpentane;128.157;3.1988409423828124;4.198858642578125;6.0;24.84666046142578;552.9617919921875;train
2;2,2,5-trimethylhexane;128.157;3.596458251953125;3.945262939453125;6.0;23.908021545410154;494.91147460937503;train
2;2,6-dimethyloctane;142.172;4.177897216796875;3.8918446044921877;6.0;23.74133819580078;491.39128417968755;train
2;2,3-dimethylnonane;156.188;4.110336669921875;4.021447021484375;6.0;24.12758514404297;522.3873779296875;train
2;3-methyldodecane;184.219;5.153147216796874;3.9518071899414062;6.0;23.946692199707034;522.5727783203124;train
2;2,3-dimethyldodecane;198.235;5.200550537109375;3.9764642333984375;6.0;24.042076721191403;529.0844482421875;train
2;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.36794140625;4.0101823730468755;6.0;24.256664123535153;540.7143310546875;train
2;tetracosane;338.391;9.925259765625;3.982400146484375;6.0;26.156021118164062;504.02233886718744;train
2;propane;44.063;1.9857635030746459;3.5946893310546875;6.0;24.030763244628908;392.98070068359374;train
2;pentane;72.094;2.7043876953125;3.8060697021484375;6.0;23.75588592529297;448.469580078125;train
2;2,3-dimethylbutane;86.11;2.543134765625;3.88752734375;6.0;24.441752624511718;471.81027832031253;train
2;3-methylhexane;100.125;3.151213989257813;3.9737187499999997;6.0;24.10204864501953;496.1173095703125;train
2;2,5-dimethylhexane;114.141;3.4971727294921875;3.9212731323242185;6.0;23.868777160644534;487.59001464843743;train
2;2,2,3-trimethylpentane;114.141;3.02787646484375;4.077630493164063;6.0;24.45204864501953;519.8384033203124;train
2;2,3,3-trimethylpentane;114.141;3.0562667236328123;4.134866455078125;6.0;24.657244567871093;535.072998046875;train
2;4-methylheptane;114.141;3.5489952392578124;3.9586468505859376;6.0;24.032435607910156;498.6184326171875;train
2;3,3-diethylpentane;128.157;3.23943310546875;4.019724487304687;6.0;24.266535339355467;509.0967041015626;train
2;2,3-dimethylheptane;128.157;3.777400146484375;4.013977478027344;6.0;24.164908752441406;515.58779296875;train
2;2,7-dimethyloctane;142.172;4.22637158203125;3.838230712890625;6.0;23.56205291748047;478.74716796875003;train
2;3-methylundecane;170.203;4.6557416992187495;3.9515159912109374;6.0;23.867801208496093;513.9701660156251;train
2;tridecane;184.219;5.53395263671875;3.7655558471679687;6.0;23.332725524902344;476.66777343749993;train
2;tetradecane;198.235;6.166623046875;3.831433349609375;6.0;23.732268981933593;494.88591308593755;train
2;heptadecane;240.282;7.533388671875;3.8208250732421876;6.0;24.405462341308596;476.0187744140625;train
2;heptacosane;380.438;10.2459296875;4.0124663085937495;6.0;26.34675720214844;511.58955078124995;train
2;n-butane;58.078;2.234618179321289;3.6676158447265625;6.0;23.954512329101565;414.5546142578125;train
2;3-methylpentane;86.11;2.8319283447265624;3.8981204833984373;6.0;23.959099426269532;472.62016601562505;train
2;3-ethylpentane;100.125;2.9408842163085938;3.901058349609375;6.0;23.988548889160157;475.35588378906243;train
2;3,3-dimethylpentane;100.125;2.917888366699219;4.002378784179688;6.0;24.261494445800782;499.8927490234375;train
2;2-methylheptane;114.141;3.5768060302734375;3.894027099609375;6.0;23.85150665283203;483.18647460937495;train
2;octane;114.141;3.8062044677734375;3.875197021484375;6.0;23.744101867675784;482.12158203125;train
2;3-ethylhexane;114.141;3.3990947265625;3.9536534423828122;6.0;23.994991149902344;494.7147705078125;train
2;2,3-dimethylhexane;114.141;3.4299405517578125;4.060185668945312;6.0;24.32488250732422;521.448876953125;train
2;2-methyloctane;128.157;3.9656645507812502;3.896133544921875;6.0;23.78434295654297;489.429150390625;train
2;2,2,3,3-tetramethylpentane;128.157;3.1849588623046876;4.146825439453125;6.0;24.599444885253906;539.0705078125001;train
2;3-methyldecane;156.188;4.299564453125;3.9108604736328125;6.0;23.705257873535153;497.73586425781247;train
2;2,3-dimethyldecane;170.203;4.4449296875;4.015447448730469;6.0;24.078514709472657;526.1526611328125;train
2;2-methyldodecane;184.219;5.218415283203125;3.9143262939453125;6.0;23.87553253173828;514.6185791015625;train
2;2-methyltridecane;198.235;5.66113330078125;3.8822886962890624;6.0;23.74183624267578;510.02058105468745;train
2;octadecane;254.297;8.01896337890625;3.8575177001953125;6.0;24.687048645019534;483.690966796875;train
2;octacosane;394.454;10.1896962890625;4.0063581542968745;6.0;26.31401550292969;509.9151611328125;train
2;2-methylpropane;58.078;2.086041748046875;3.62388330078125;6.0;23.972434997558594;400.6791748046875;train
2;hexane;86.11;2.9932117309570314;3.825841552734375;6.0;23.72044830322266;457.3600341796875;train
2;2-methylhexane;100.125;3.3113367919921872;3.8854791259765626;6.0;23.80274932861328;476.2652099609375;train
2;2,2-dimethylpentane;100.125;2.9818688354492187;3.986485595703125;6.0;24.186271057128906;496.5858154296875;train
2;3,3-dimethylhexane;114.141;3.2095091552734374;4.045433471679687;6.0;24.29715789794922;514.4554443359375;train
