epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.2760430297851562;3.3275740051269533;6.0;22.0497607421875;314.6809326171875;train
1;2-methylbutane;72.094;2.362854400634766;3.8386649169921876;6.0;22.982559814453126;447.33520507812494;train
1;2-methylpentane;86.11;3.0728275146484374;3.9642409057617187;6.0;23.511016235351562;492.19868164062495;train
1;2,2,3-trimethylbutane;100.125;2.615780090332031;3.98070751953125;6.0;23.085599975585936;485.60192871093744;train
1;heptane;100.125;3.469274169921875;3.891157775878906;6.0;23.71898498535156;477.36479492187505;train
1;3,4-dimethylhexane;114.141;3.1866818847656253;4.037904296875;6.0;23.66122314453125;512.5120117187499;train
1;3-methyl-3-ethylpentane;114.141;3.1649182128906252;4.014838439941406;6.0;23.64918640136719;506.6023681640625;train
1;2,2,4-trimethylpentane;114.141;3.3146097412109374;4.087314208984375;6.0;23.805576782226563;526.651904296875;train
1;2,4,4-trimethylhexane;128.157;3.3890412597656248;4.0867764892578125;6.0;23.757570800781252;526.465576171875;train
1;2,3,3,4-tetramethylpentane;128.157;3.2999140625;4.109955200195312;6.0;23.782867431640625;532.029052734375;train
1;decane;142.172;4.470908203125;3.8967651977539064;6.0;24.198156127929686;487.454150390625;train
1;2-methyldecane;156.188;4.66058740234375;3.944541320800781;6.0;24.354133911132813;501.419580078125;train
1;dodecane;170.203;5.3573359375;3.9068530883789063;6.0;24.84834777832031;499.059130859375;train
1;3-methyltridecane;198.235;5.6675078125;3.953672668457031;6.0;25.049498901367187;513.5409179687499;train
1;hexadecane;226.266;7.14089697265625;3.8856522216796874;6.0;25.552342529296872;497.16303710937507;train
1;eicosane;282.329;8.66631103515625;3.832677307128906;6.0;24.305187377929688;472.301806640625;train
1;ethane;30.047;1.33053369140625;3.460964385986328;6.0;22.40852569580078;355.01654052734375;train
1;2,2-dimethylpropane;72.094;2.31450830078125;3.792482360839844;6.0;22.89665710449219;434.6425537109376;train
1;2,2-dimethylbutane;86.11;2.779257568359375;3.9171617431640624;6.0;23.26758544921875;475.718896484375;train
1;2,3-dimethylpentane;100.125;3.0208411865234375;3.9957108764648437;6.0;23.539024658203125;500.06113281250003;train
1;2,4-dimethylpentane;100.125;3.1643255615234374;3.992117370605469;6.0;23.56962219238281;499.70053710937503;train
1;3-methylheptane;114.141;3.815492919921875;3.9967216796875;6.0;23.952362670898438;507.52595214843745;train
1;2-methyl-3-ethyl-pentane;114.141;3.494749267578125;4.07098876953125;6.0;23.95550354003906;524.756103515625;train
1;2,4-dimethylhexane;114.141;3.28186376953125;3.997486267089844;6.0;23.52083312988281;501.2590087890625;train
1;2,2,3,4-tetramethylpentane;128.157;3.3098765869140623;4.145774169921875;6.0;23.867197265625002;542.0146972656249;train
