epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.9980227555036545;2.9980089111328123;6.0;20.01662425398827;200.10930088758468;train
1;2,2-dimethylpropane;72.094;2.001718681812286;2.9991241174936296;6.0;20.02930399656296;200.41299605369565;train
1;2,2-dimethylbutane;86.11;2.0043544020652773;3.000895098209381;6.0;20.024844431877135;200.4943470001221;train
1;2,3-dimethylpentane;100.125;2.00489653635025;3.0001761369407176;6.0;20.015251103639603;200.3880481481552;train
1;2,4-dimethylpentane;100.125;2.004637745857239;3.0007800509929656;6.0;19.9902675652504;200.38024368286136;train
1;3-methylheptane;114.141;2.00459180021286;3.000583890557289;6.0;20.02492310285568;200.66811866760253;train
1;2-methyl-3-ethyl-pentane;114.141;2.004853908061981;2.999797000899911;6.0;20.026528313159943;200.22114803791044;train
1;2,4-dimethylhexane;114.141;2.0043261885643004;3.0015170476436612;6.0;20.013620233535768;200.50376057624817;train
1;2,2,3,4-tetramethylpentane;128.157;2.003853118896484;2.9988754420280457;6.0;20.036136214733126;200.63938965797425;train
1;2,2,5-trimethylhexane;128.157;2.0059603953361513;3.0044384784698486;6.0;20.01734695792198;200.33313689231872;train
1;2,6-dimethyloctane;142.172;2.0073645696640012;3.0042627873420713;6.0;19.99878956541419;200.53415002822877;train
1;2,3-dimethylnonane;156.188;2.007154407024384;3.001166386604309;6.0;20.033858153820038;200.61131110191343;train
1;3-methyldodecane;184.219;2.0079546418190004;3.000132563382387;6.0;20.038761887550358;200.66892032623292;train
1;2,3-dimethyldodecane;198.235;2.008356818199158;3.000517090499401;6.0;20.044677791595458;200.5960978031158;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.004520308494568;2.9999941398142838;6.0;20.044573335647584;200.53992266654967;train
1;tetracosane;338.391;2.0071433243751526;2.9992322875857353;6.0;20.064320111274718;200.83794965744016;train
1;propane;44.063;2.0017118715047837;2.998988482236862;6.0;20.02512358188629;200.23838450908661;train
1;pentane;72.094;2.004514449596405;3.0012877752780915;6.0;20.01191191792488;200.47927808761594;train
1;2,3-dimethylbutane;86.11;2.004452343940735;2.9993653736114503;6.0;20.0050510519743;200.34861652851106;train
1;3-methylhexane;100.125;2.00486313867569;3.0011599633693695;6.0;20.012887996435165;200.45641236305238;train
1;2,5-dimethylhexane;114.141;2.0058349533081055;3.0026847591400148;6.0;20.018648848533633;200.44546756744387;train
1;2,2,3-trimethylpentane;114.141;2.0042067265510557;3.0000065242289566;6.0;20.036688077449796;200.54397916793823;train
1;2,3,3-trimethylpentane;114.141;2.0044055008888244;2.9996809979379178;6.0;20.03190934419632;200.63727016448976;train
1;4-methylheptane;114.141;2.0061571044921873;3.001567551136017;6.0;20.01033859848976;200.51412825584413;train
1;3,3-diethylpentane;128.157;2.0037564234733583;3.000503511786461;6.0;20.01947208404541;200.27756834030149;train
1;2,3-dimethylheptane;128.157;2.0050555071830747;3.0002056712210177;6.0;20.016152812242506;200.75724620819094;train
1;2,7-dimethyloctane;142.172;2.006241150379181;3.0002928381264207;6.0;20.030453071594238;200.65247287750245;train
1;3-methylundecane;170.203;2.0057045664787294;3.000301108330488;6.0;20.04252000808716;200.6811740398407;train
1;tridecane;184.219;2.0070340962409974;3.0009209687709806;6.0;20.04266448497772;200.46663126945498;train
1;tetradecane;198.235;2.006481026649475;3.0003434273004532;6.0;20.05898236274719;200.6102803707123;train
1;heptadecane;240.282;2.005276316165924;2.999438903927803;6.0;20.072928657531737;200.71521792411806;train
1;heptacosane;380.438;2.00751472902298;2.9999218144640327;6.0;20.065503907203674;200.70998992919922;train
1;n-butane;58.078;2.004328028678894;3.001453829050064;6.0;20.01105775475502;200.28027353286743;train
1;3-methylpentane;86.11;2.0050321702957152;3.001862743020058;6.0;20.0025431650877;200.3572112083435;train
1;3-ethylpentane;100.125;2.0036599106788637;3.000079695753753;6.0;20.015638481378556;200.3428139925003;train
1;3,3-dimethylpentane;100.125;2.0051165533065793;3.002176842212677;6.0;20.035885355472566;200.41681518554685;train
1;2-methylheptane;114.141;2.005110622406006;3.0013766918182374;6.0;20.01727184057236;200.5983518600464;train
1;octane;114.141;2.0053846502304076;3.0005930050611496;6.0;20.03433985710144;200.47651081085203;train
1;3-ethylhexane;114.141;2.004496705055237;3.000799720942974;6.0;20.01924264550209;200.41449437141415;train
1;2,3-dimethylhexane;114.141;2.0057575197219846;3.0002567807137965;6.0;20.02364916086197;200.62047810554503;train
1;2-methyloctane;128.157;2.0074436545372008;3.0025818035602567;6.0;20.018510440587995;200.55025591850278;train
1;2,2,3,3-tetramethylpentane;128.157;2.0056263480186463;3.0019334466457366;6.0;20.034056684970857;200.4285132408142;train
1;3-methyldecane;156.188;2.005198038101196;3.000985286593437;6.0;20.031242566108705;200.54504380226135;train
1;2,3-dimethyldecane;170.203;2.007049978733063;3.001664641261101;6.0;20.042827701568605;200.52781710624697;train
1;2-methyldodecane;184.219;2.008078658103943;3.0006243812441826;6.0;20.03465702295303;200.4854751586914;train
1;2-methyltridecane;198.235;2.0079099473953246;2.9995472826361658;6.0;20.053372826576236;200.57247910499575;train
1;octadecane;254.297;2.00456703042984;2.999299233555794;6.0;20.0739133644104;200.57655496597292;train
1;octacosane;394.454;2.007353943824768;2.9999113940820097;6.0;20.068489689826965;200.7833830356598;train
1;2-methylpropane;58.078;2.0018894137144088;2.999668425440788;6.0;20.017293182611464;200.2544890642166;train
1;hexane;86.11;2.004563280582428;3.00105934381485;6.0;20.031647696495057;200.5122420310974;train
1;2-methylhexane;100.125;2.004942538261414;3.0020224153995514;6.0;20.0258745765686;200.42947869300843;train
1;2,2-dimethylpentane;100.125;2.004404947280884;3.0007490537166595;6.0;20.017446895837786;200.573565530777;train
1;3,3-dimethylhexane;114.141;2.0059455904960632;3.0028037650585175;6.0;20.02469452857971;200.3769809484482;train
1;2,3,4-trimethyl pentane;114.141;2.0030759181976316;2.998528119683266;6.0;20.005575679540634;200.3716717481613;train
1;2,2-dimethylhexane;114.141;2.0046745610237124;3.0034069771766663;6.0;20.029930012226103;200.4058594226837;train
1;nonane;128.157;2.004566610813141;2.9997659617066383;6.0;20.04596554756165;200.49256143569946;train
1;2,2,4,4-tetramethylpentane;128.157;2.002828814983368;2.9992477243542672;6.0;20.02842931509018;200.5908899784088;train
1;2,2,5,5-tetramethylhexane;142.172;2.004516538143158;3.0022797207832337;6.0;20.019291528463363;200.45107636451723;train
1;n-undecane;156.188;2.0055544486045838;2.9999803873542694;6.0;20.047909526824952;200.51381120681762;train
1;2-methylundecane;170.203;2.006144598007202;2.9998049702346323;6.0;20.045084290504455;200.54669461250305;train
1;2,3-dimethylundecane;184.219;2.0072342019081115;3.000108868561685;6.0;20.052502613067627;200.60865702629087;train
1;pentadecane;212.25;2.005930909633636;3.000521839618683;6.0;20.06102370738983;200.62352995872493;train
1;nonadecane;268.313;2.005787435054779;2.9980996206998825;6.0;20.080087118148803;200.69681549072263;train
1;squalane;422.485;2.011219220161438;3.00367785692215;6.0;20.02701454877854;200.29940814971923;train
1;methane;16.031;2.0001038941070437;3.0000718073919415;6.0;20.00059389676899;200.01291443854566;val
1;2-methylbutane;72.094;2.004091208934784;3.0014071278572083;6.0;20.012793263196947;200.31364302635194;val
1;2-methylpentane;86.11;2.0052283759117127;3.000885654389858;6.0;20.00767770588398;200.39799299240113;val
1;2,2,3-trimethylbutane;100.125;2.0036282153129576;2.9995853328704833;6.0;20.034678223133085;200.60604243278505;val
1;heptane;100.125;2.0053187594413755;3.0014350928068163;6.0;20.027470178604126;200.5082589626312;val
1;3,4-dimethylhexane;114.141;2.0060601596832273;3.000839864373207;6.0;20.01493888258934;200.45433416366575;val
1;3-methyl-3-ethylpentane;114.141;2.005299500465393;3.0018189297914506;6.0;20.02312966585159;200.4069986820221;val
1;2,2,4-trimethylpentane;114.141;2.0057560238838197;3.0013040993213655;6.0;20.01678926825523;200.5342462539673;val
1;2,4,4-trimethylhexane;128.157;2.00656316614151;3.0018214913606647;6.0;20.020563242435454;200.5599792957306;val
1;2,3,3,4-tetramethylpentane;128.157;2.002586106061935;2.999604156523943;6.0;20.026422300338744;200.47618670463564;val
1;decane;142.172;2.0043941249847412;3.0001188797578218;6.0;20.038402018547057;200.45643496513367;val
1;2-methyldecane;156.188;2.005701995372772;3.000532512307167;6.0;20.04140082836151;200.45441884994509;val
1;dodecane;170.203;2.007497624874115;3.0005299751758576;6.0;20.042977819442747;200.5189664840698;val
1;3-methyltridecane;198.235;2.008253049850464;2.9996872180998326;6.0;20.041800079345702;200.57414898872375;val
1;hexadecane;226.266;2.0049971680641177;2.9992356351613996;6.0;20.06963809013367;200.83407649993896;val
1;eicosane;282.329;2.0053127579689027;2.998755561828613;6.0;20.08217126846313;200.69026899337769;val
2;ethane;30.047;1.9980227617025377;2.9980089193582535;6.0;20.016624256372452;200.10930050611498;train
2;2,2-dimethylpropane;72.094;2.0017212723493576;2.9991256724596025;6.0;20.029273507595065;200.4133331775665;train
2;2,2-dimethylbutane;86.11;2.00435441160202;3.0008951147198677;6.0;20.024844398498534;200.4943464279175;train
2;2,3-dimethylpentane;100.125;2.0049051880836486;3.0001823070347307;6.0;20.015145016908647;200.38904819488525;train
2;2,4-dimethylpentane;100.125;2.004648624897003;3.0007866267561916;6.0;19.99013110458851;200.38116841316221;train
2;3-methylheptane;114.141;2.0045934448242186;3.0005849673748015;6.0;20.02490100860596;200.66831479072567;train
2;2-methyl-3-ethyl-pentane;114.141;2.004863070964813;2.9998011999726293;6.0;20.026417734622957;200.2224688053131;train
2;2,4-dimethylhexane;114.141;2.0043328080177307;3.00152039706707;6.0;20.013521543741227;200.50448174476622;train
2;2,2,3,4-tetramethylpentane;128.157;2.0038658828735354;2.998882441878319;6.0;20.035970251560215;200.64091148376465;train
2;2,2,5-trimethylhexane;128.157;2.0059682493209836;3.0044392118453978;6.0;20.01723195910454;200.334304523468;train
2;2,6-dimethyloctane;142.172;2.0073659706115725;3.0042637157440186;6.0;19.99876901909709;200.53430919647218;train
2;2,3-dimethylnonane;156.188;2.007160624027252;3.001169137477875;6.0;20.033787090778354;200.61192774772644;train
2;3-methyldodecane;184.219;2.0079565830230712;3.000133347481489;6.0;20.03874171257019;200.66908369064328;train
2;2,3-dimethyldodecane;198.235;2.0083639631271364;3.0005198491811753;6.0;20.044610891342167;200.59675965309145;train
2;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.004551844596863;3.0000075773238204;6.0;20.044144945144655;200.5435109615326;train
2;tetracosane;338.391;2.0071433238983154;2.999232290148735;6.0;20.064320101737977;200.83794975280762;train
2;propane;44.063;2.001711875677109;2.9989884860515597;6.0;20.02512359142304;200.2383843660355;train
2;pentane;72.094;2.0045167121887206;3.001288928747177;6.0;20.011888040304182;200.4795154571533;train
2;2,3-dimethylbutane;86.11;2.004459934234619;2.999370638489723;6.0;20.004938739240174;200.34977457523348;train
2;3-methylhexane;100.125;2.004866855144501;3.0011620424985885;6.0;20.01283827185631;200.4568932056427;train
2;2,5-dimethylhexane;114.141;2.0058408460617065;3.0026857557296753;6.0;20.0185729265213;200.44629302024842;train
2;2,2,3-trimethylpentane;114.141;2.0042128643989563;3.0000098747257145;6.0;20.03660482645035;200.54463744163513;train
2;2,3,3-trimethylpentane;114.141;2.0044116358757016;2.9996841648221015;6.0;20.03183815717697;200.6377990245819;train
2;4-methylheptane;114.141;2.006160723686218;3.0015697360038756;6.0;20.01029275536537;200.514506816864;train
2;3,3-diethylpentane;128.157;2.0037629480361936;3.0005096203684807;6.0;20.01937690138817;200.27861821651456;train
2;2,3-dimethylheptane;128.157;2.005060122489929;3.000207954138517;6.0;20.016095994710923;200.7577202320099;train
2;2,7-dimethyloctane;142.172;2.006244635105133;3.0002946092784404;6.0;20.030412404537202;200.65277748107908;train
2;3-methylundecane;170.203;2.0057064418792727;3.000302070826292;6.0;20.04250116348267;200.6813527107239;train
2;tridecane;184.219;2.0070340962409974;3.0009209687709806;6.0;20.04266448497772;200.46663126945498;train
2;tetradecane;198.235;2.006482677936554;3.0003444083333015;6.0;20.05895853996277;200.61055293083191;train
2;heptadecane;240.282;2.005278115749359;2.999440261900425;6.0;20.07290545463562;200.71538820266724;train
2;heptacosane;380.438;2.007514729976654;2.999921814583242;6.0;20.065503911972048;200.70998969078065;train
2;n-butane;58.078;2.0043280310630798;3.0014538319110873;6.0;20.01105775594711;200.28027350902556;train
2;3-methylpentane;86.11;2.00503714132309;3.001864795804024;6.0;20.002486462444065;200.3577534675598;train
2;3-ethylpentane;100.125;2.0036659548282625;3.0000833292827007;6.0;20.015559803247452;200.3436881303787;train
2;3,3-dimethylpentane;100.125;2.0051186146736146;3.0021778001785275;6.0;20.035857570171352;200.41703934669493;train
2;2-methylheptane;114.141;2.005110635757446;3.001376720070839;6.0;20.017271758317946;200.59835166931154;train
2;octane;114.141;2.0053846497535703;3.0005930030941963;6.0;20.034339892864228;200.47651104927064;train
