epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.9980162144899367;2.9980060448646544;6.0;20.016687654256824;200.1084963917732;train
1;2,2-dimethylpropane;72.094;2.0016357564926146;2.9990875476002694;6.0;20.030299816131595;200.40121469497683;train
1;2,2-dimethylbutane;86.11;2.004258464336395;3.0008670613765718;6.0;20.026143782138828;200.47913246154786;train
1;2,3-dimethylpentane;100.125;2.0047822117805483;3.000112901188433;6.0;20.016725858449934;200.37405815124512;train
1;2,4-dimethylpentane;100.125;2.004505670547485;3.000711170196533;6.0;19.992024627327922;200.36581604480742;train
1;3-methylheptane;114.141;2.0044608707427978;3.0004956625401973;6.0;20.026849534511566;200.65172958374023;train
1;2-methyl-3-ethyl-pentane;114.141;2.004750816345215;2.999759397700429;6.0;20.027861535549164;200.20524809360504;train
1;2,4-dimethylhexane;114.141;2.004179796218872;3.0014394924640655;6.0;20.015860654115674;200.48599247932435;train
1;2,2,3,4-tetramethylpentane;128.157;2.0037467992305755;2.9988271090984346;6.0;20.037613933086398;200.6254273414612;train
1;2,2,5-trimethylhexane;128.157;2.005746835708618;3.0043923416137694;6.0;20.02084415435791;200.30156102180482;train
1;2,6-dimethyloctane;142.172;2.007236786365509;3.0041953883171084;6.0;20.000838173404336;200.51736278533934;train
1;2,3-dimethylnonane;156.188;2.006987923145294;3.0011008226871487;6.0;20.035898694992067;200.5939671516418;train
1;3-methyldodecane;184.219;2.0077464361190795;3.000025120265782;6.0;20.041032900810244;200.65209732055663;train
1;2,3-dimethyldodecane;198.235;2.008146184921265;3.0004338192641735;6.0;20.046784381866452;200.57505555152892;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;2.0043089809417722;2.999903533257544;6.0;20.047377858161926;200.51607661247255;train
1;tetracosane;338.391;2.0070466547012327;2.9991728982925414;6.0;20.06563374042511;200.82728052139282;train
1;propane;44.063;2.001676308274269;2.998965826392174;6.0;20.025535066127777;200.23489134311677;train
1;pentane;72.094;2.004451488494873;3.001253445863724;6.0;20.01266996979713;200.47107100486755;train
1;2,3-dimethylbutane;86.11;2.004388548851013;2.9993270230293274;6.0;20.00594690680504;200.3390794992447;train
1;3-methylhexane;100.125;2.0047408704757688;3.001093901157379;6.0;20.0146748483181;200.43938603401185;train
1;2,5-dimethylhexane;114.141;2.005649585723877;3.002640609741211;6.0;20.02124300003052;200.4194922447205;train
1;2,2,3-trimethylpentane;114.141;2.004084616184235;2.9999422409310936;6.0;20.038501696586607;200.52913331985476;train
1;2,3,3-trimethylpentane;114.141;2.0042777194976806;2.999637026131153;6.0;20.03346300840378;200.62239074707034;train
1;4-methylheptane;114.141;2.006030735015869;3.0014912276268007;6.0;20.012082337141038;200.49936327934265;train
1;3,3-diethylpentane;128.157;2.0036893608570097;3.000441720545292;6.0;20.02042643070221;200.26711716651917;train
1;2,3-dimethylheptane;128.157;2.004918872833252;3.0001523060053588;6.0;20.017977982759476;200.741504240036;train
