epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.1559724121093748;3.4995174153645836;6.0;21.582013244628904;315.51337890625;train
1;2-methylbutane;72.094;2.4581925862630207;3.8750867513020832;6.0;24.212320149739583;452.86687825520835;train
1;2-methylpentane;86.11;3.00856201171875;3.9288277994791665;6.0;24.289593505859376;474.3383463541667;train
1;2,2,3-trimethylbutane;100.125;2.801375244140625;3.8459737955729167;6.0;23.672224527994793;446.2588216145834;train
1;heptane;100.125;3.4492708333333333;3.9520804850260416;6.0;24.489729003906252;487.0567382812499;train
1;3,4-dimethylhexane;114.141;3.2453951822916665;4.082089029947917;6.0;25.23284464518229;523.82685546875;train
1;3-methyl-3-ethylpentane;114.141;2.9767386881510416;4.117652180989584;6.0;25.52585286458333;531.65859375;train
1;2,2,4-trimethylpentane;114.141;3.2146704915364586;4.0296960449218755;6.0;24.87262329101562;507.3798828125;train
1;2,4,4-trimethylhexane;128.157;3.4520190429687503;4.015176350911458;6.0;24.703026123046875;505.62265625;train
1;2,3,3,4-tetramethylpentane;128.157;3.2198820800781247;4.111249755859375;6.0;25.304672444661456;532.0220703125;train
1;decane;142.172;4.724038736979167;3.8964143880208333;6.0;24.164576416015624;480.0352864583333;train
1;2-methyldecane;156.188;4.7931376953125;3.9744982096354167;6.0;24.617361653645837;504.8711588541666;train
1;dodecane;170.203;5.504794921875;3.884178548177083;6.0;24.07553019205729;481.4845703125;train
1;3-methyltridecane;198.235;5.536616536458333;3.979615804036458;6.0;24.605613199869794;511.59361979166664;train
1;hexadecane;226.266;6.9353037109375;3.9652320149739584;6.0;24.676986490885415;516.54609375;train
1;eicosane;282.329;8.56831640625;3.86761181640625;6.0;23.51251180013021;477.72516276041665;train
1;ethane;30.047;1.486832234700521;3.6609580078125;6.0;23.12031941731771;375.9841634114583;train
1;2,2-dimethylpropane;72.094;2.3567530110677084;3.8274881184895833;6.0;23.953917643229165;437.38164062500005;train
1;2,2-dimethylbutane;86.11;2.7262024739583333;3.96278515625;6.0;24.590478515625;481.84700520833326;train
1;2,3-dimethylpentane;100.125;3.0664300130208333;4.020093912760417;6.0;24.846547444661454;502.80198567708334;train
1;2,4-dimethylpentane;100.125;3.1352963053385414;3.9191035970052086;6.0;24.177343343098954;472.6870442708334;train
1;3-methylheptane;114.141;3.7039703776041666;3.9799680989583335;6.0;24.583120524088542;497.5876953125;train
1;2-methyl-3-ethyl-pentane;114.141;3.345249104817708;4.160419596354167;6.0;25.75388427734375;548.9763671875;train
1;2,4-dimethylhexane;114.141;3.5020494791666668;3.8247859700520834;6.0;23.519025065104167;447.11376953125;train
1;2,2,3,4-tetramethylpentane;128.157;3.2824259440104164;4.1255938313802085;6.0;25.43419270833333;537.2799153645833;train
1;2,2,5-trimethylhexane;128.157;3.7963125;3.8298387044270834;6.0;23.57796875;451.1652506510417;train
1;2,6-dimethyloctane;142.172;4.259244303385417;3.9384112955729167;6.0;24.322578125;488.92353515625;train
1;2,3-dimethylnonane;156.188;4.006911946614583;4.1713551432291665;6.0;25.70220865885417;559.3516927083334;train
1;3-methyldodecane;184.219;5.110362630208334;4.066894856770833;6.0;25.15819539388021;536.0793619791666;train
1;2,3-dimethyldodecane;198.235;5.340093424479166;3.9781780598958334;6.0;24.567553710937496;509.56819661458337;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.4441474609375;4.104007080078125;6.0;25.5147412109375;550.3648111979167;train
1;tetracosane;338.391;10.307438802083333;3.973773111979167;6.0;25.430536702473958;495.4225260416667;train
1;propane;44.063;1.9343732859293619;3.8152047526041666;6.0;24.26896362304688;430.58504231770837;train
1;pentane;72.094;2.7514608561197917;3.8806401367187497;6.0;24.125845947265624;457.13037109374994;train
1;2,3-dimethylbutane;86.11;2.6252477213541665;3.9694608561197917;6.0;24.708551839192708;483.06276041666666;train
1;3-methylhexane;100.125;3.1962268066406248;3.9827056477864584;6.0;24.613963216145834;493.0258463541667;train
1;2,5-dimethylhexane;114.141;3.5797703450520832;3.8955365397135417;6.0;23.967492675781248;469.7991861979167;train
1;2,2,3-trimethylpentane;114.141;3.0754712727864586;4.018019205729167;6.0;24.764614664713545;502.00527343749997;train
1;2,3,3-trimethylpentane;114.141;3.140177164713542;4.090497965494792;6.0;25.169241129557292;524.7390950520833;train
1;4-methylheptane;114.141;3.6401871744791667;3.9405665690104166;6.0;24.394517415364582;484.90439453125003;train
1;3,3-diethylpentane;128.157;3.260183349609375;4.1659103190104165;6.0;25.789340006510418;549.6836914062501;train
1;2,3-dimethylheptane;128.157;3.8344208984375;3.985384033203125;6.0;24.537561848958333;499.9106770833333;train
1;2,7-dimethyloctane;142.172;4.346298828125001;3.846035807291667;6.0;23.70473103841146;460.644873046875;train
1;3-methylundecane;170.203;4.64097802734375;4.045344401041667;6.0;25.027597656250002;525.6167643229168;train
1;tridecane;184.219;5.636896158854167;3.7380663248697914;6.0;23.148605143229165;435.75227864583337;train
