epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;methane;16.031;1.2648984374999999;3.469148478190104;6.0;21.80760294596354;313.38752441406245;train
1;2-methylbutane;72.094;2.368361002604167;3.8560091959635416;6.0;24.040374348958334;456.96971028645834;train
1;2-methylpentane;86.11;3.026194254557292;3.907420003255208;6.0;23.519102783203127;479.66289062499993;train
1;2,2,3-trimethylbutane;100.125;2.794542236328125;3.872703857421875;6.0;23.54643229166667;466.21601562499995;train
1;heptane;100.125;3.3729195963541665;3.8855879720052084;6.0;23.108809000651043;474.70973307291666;train
1;3,4-dimethylhexane;114.141;3.0907628580729165;4.00266796875;6.0;23.941732584635417;511.19173177083337;train
1;3-methyl-3-ethylpentane;114.141;2.9600453287760415;4.008882486979166;6.0;24.096761881510417;512.0285807291667;train
1;2,2,4-trimethylpentane;114.141;3.1994827473958334;4.023465250651042;6.0;23.94201293945312;518.8042968750001;train
1;2,4,4-trimethylhexane;128.157;3.4394596354166667;3.9766988118489586;6.0;23.469427897135414;505.37021484375;train
1;2,3,3,4-tetramethylpentane;128.157;3.18948974609375;4.0451787109375;6.0;24.049981282552082;525.6641276041667;train
1;decane;142.172;4.391782063802083;3.8826014811197918;6.0;23.113989461263024;479.08528645833337;train
1;2-methyldecane;156.188;4.529741861979167;3.9395189615885418;6.0;23.311651814778646;498.5649739583334;train
1;dodecane;170.203;5.247880208333333;3.8921255696614585;6.0;23.21966084798177;487.1950520833334;train
1;3-methyltridecane;198.235;5.51106640625;3.9590454915364583;6.0;23.453546142578126;510.6959635416667;train
1;hexadecane;226.266;6.775794270833333;3.9052822265625;6.0;23.404903157552084;500.23333333333335;train
1;eicosane;282.329;8.647449869791668;3.83061328125;6.0;23.131612955729164;480.69195963541665;train
1;ethane;30.047;1.4255927734375;3.6322134195963542;6.0;23.106103719075524;370.99474283854164;train
1;2,2-dimethylpropane;72.094;2.3203862915039064;3.7967951660156247;6.0;23.777789713541665;437.299072265625;train
1;2,2-dimethylbutane;86.11;2.588621907552083;3.8992819824218747;6.0;23.973208821614584;473.05144856770835;train
1;2,3-dimethylpentane;100.125;2.9912472330729165;3.985169108072917;6.0;23.949833984374997;504.65250651041663;train
1;2,4-dimethylpentane;100.125;3.0746464029947917;3.907149169921875;6.0;23.466004638671876;479.8775716145833;train
1;3-methylheptane;114.141;3.664564453125;3.92574169921875;6.0;23.21194763183594;489.1536458333333;train
1;2-methyl-3-ethyl-pentane;114.141;3.210955322265625;4.073473876953125;6.0;24.19766357421875;535.2247395833333;train
1;2,4-dimethylhexane;114.141;3.4063491210937498;3.841166341145833;6.0;22.903582967122396;459.74926757812506;train
1;2,2,3,4-tetramethylpentane;128.157;3.193265869140625;4.09219677734375;6.0;24.29280598958333;541.08056640625;train
1;2,2,5-trimethylhexane;128.157;3.6489853515624997;3.8350692545572915;6.0;22.90132568359375;459.2034993489584;train
1;2,6-dimethyloctane;142.172;4.152518717447917;3.9179183756510416;6.0;23.21884338378906;489.22910156250003;train
1;2,3-dimethylnonane;156.188;3.9365568033854164;4.044584879557291;6.0;23.616880696614583;529.7277669270834;train
1;3-methyldodecane;184.219;5.0178011067708335;4.000091471354167;6.0;23.54671793619792;521.3221354166667;train
1;2,3-dimethyldodecane;198.235;5.163470052083333;4.004590983072917;6.0;23.575366210937503;523.6083984375;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.320173828125;4.019864990234375;6.0;23.64969523111979;529.4402343749999;train
1;tetracosane;338.391;10.138571614583332;3.8299971516927083;6.0;24.145957031250003;486.1891927083333;train
1;propane;44.063;1.8582891642252604;3.7845375162760417;6.0;24.29326578776042;427.44347330729175;train
1;pentane;72.094;2.7465758463541667;3.826599772135417;6.0;23.38354797363281;451.0050944010416;train
1;2,3-dimethylbutane;86.11;2.4678412272135417;3.9162696126302086;6.0;24.227430013020836;477.3766927083333;train
1;3-methylhexane;100.125;3.19385302734375;3.9101785481770834;6.0;23.36699239095052;481.9228190104166;train
1;2,5-dimethylhexane;114.141;3.5008701171875;3.8398387858072915;6.0;22.90942118326823;459.8935384114583;train
1;2,2,3-trimethylpentane;114.141;3.1412364095052085;4.0221926269531245;6.0;23.981374104817704;517.8828776041667;train
1;2,3,3-trimethylpentane;114.141;3.1848365885416667;4.067009847005208;6.0;24.167177734375002;532.7962890625;train
1;4-methylheptane;114.141;3.5766642252604166;3.924884033203125;6.0;23.208428548177086;488.38704427083337;train
1;3,3-diethylpentane;128.157;3.1212902018229167;4.049703369140625;6.0;24.151271972656254;526.7265625;train
1;2,3-dimethylheptane;128.157;3.7815411783854165;3.9694414876302084;6.0;23.36295166015625;504.1387044270833;train
1;2,7-dimethyloctane;142.172;4.153942220052084;3.8630793457031247;6.0;23.03792561848958;471.17285156249994;train
1;3-methylundecane;170.203;4.6242700195312505;4.000743001302084;6.0;23.514591878255207;519.2411783854167;train
1;tridecane;184.219;5.4994404296875;3.8401441243489582;6.0;23.069606730143228;471.58569335937506;train
1;tetradecane;198.235;5.919027994791667;3.9235470377604167;6.0;23.376901245117185;501.4346028645834;train
1;heptadecane;240.282;7.245705729166667;3.865298095703125;6.0;23.254862060546877;488.10289713541664;train
1;heptacosane;380.438;10.655162760416667;3.8429413248697917;6.0;24.475170084635415;493.3135091145833;train
1;n-butane;58.078;2.1786021525065102;3.807969075520833;6.0;24.041983642578124;439.5431966145834;train
1;3-methylpentane;86.11;2.8829610188802084;3.894315673828125;6.0;23.58655965169271;474.2457356770833;train
1;3-ethylpentane;100.125;2.9234848632812502;3.930996012369792;6.0;23.73967041015625;486.5103515625;train
1;3,3-dimethylpentane;100.125;2.917719319661458;3.9916306152343752;6.0;24.049523925781248;506.01848958333335;train
1;2-methylheptane;114.141;3.58626953125;3.9119762369791666;6.0;23.173163452148437;484.17565104166675;train
1;octane;114.141;3.8604104817708333;3.8700707194010415;6.0;23.04383463541667;471.97791341145836;train
1;3-ethylhexane;114.141;3.4296360677083335;3.9143772786458335;6.0;23.190809529622392;484.3891927083334;train
1;2,3-dimethylhexane;114.141;3.4955384114583334;3.942447998046875;6.0;23.278005777994792;493.80257161458337;train
1;2-methyloctane;128.157;3.9439503580729167;3.8938681640625;6.0;23.12909403483073;480.2285481770833;train
1;2,2,3,3-tetramethylpentane;128.157;3.2620161946614585;4.08526708984375;6.0;24.183467203776043;539.32236328125;train
1;3-methyldecane;156.188;4.304803873697917;3.909335693359375;6.0;23.186837565104167;487.35205078125006;train
1;2,3-dimethyldecane;170.203;4.48975634765625;4.024795247395833;6.0;23.583548177083333;526.36162109375;train
1;2-methyldodecane;184.219;5.1827923177083335;3.967711669921875;6.0;23.460121256510416;511.6063151041667;train
1;2-methyltridecane;198.235;5.538711588541666;3.950150146484375;6.0;23.43251383463542;507.9517578125;train
1;octadecane;254.297;7.679904947916667;3.870250895182292;6.0;23.275342814127605;491.2403645833333;train
1;octacosane;394.454;10.594569661458333;3.845948974609375;6.0;24.43760009765625;493.49527994791663;train
1;2-methylpropane;58.078;1.8756153564453126;3.761173583984375;6.0;24.139732666015625;420.1217447916667;val
1;hexane;86.11;2.9591000162760417;3.8303404134114585;6.0;23.189445597330728;454.0802408854167;val
1;2-methylhexane;100.125;3.320346028645833;3.7959983723958333;6.0;22.75999776204427;444.48574218749997;val
1;2,2-dimethylpentane;100.125;3.0089907226562502;3.924003173828125;6.0;23.613774820963542;484.907421875;val
1;3,3-dimethylhexane;114.141;3.1988655598958333;3.9588158365885415;6.0;23.605050048828122;497.7504557291667;val
1;2,3,4-trimethyl pentane;114.141;2.8700358072916665;3.9948924967447916;6.0;24.12708333333333;506.58095703125;val
1;2,2-dimethylhexane;114.141;3.2363192545572916;3.8013594563802084;6.0;22.796056111653648;446.04549153645826;val
1;nonane;128.157;3.9830638020833335;3.8694606119791666;6.0;23.046065470377606;472.46114908854173;val
1;2,2,4,4-tetramethylpentane;128.157;3.118666178385417;4.046087972005209;6.0;24.134895833333335;525.5220052083333;val
1;2,2,5,5-tetramethylhexane;142.172;3.3550172526041666;3.7930673014322918;6.0;22.750005696614583;443.68253580729163;val
1;n-undecane;156.188;4.6753168945312495;3.9120293782552085;6.0;23.23636006673177;490.39925130208337;val
1;2-methylundecane;170.203;4.6352112630208335;3.9573339029947916;6.0;23.378987019856773;505.04817708333326;val
1;2,3-dimethylundecane;184.219;4.758197916666667;4.038517333984375;6.0;23.648898111979165;532.42802734375;val
1;pentadecane;212.25;6.355606119791666;3.901974609375;6.0;23.35554626464844;496.8299479166667;val
1;nonadecane;268.313;8.1736796875;3.8276456705729167;6.0;23.11524190266927;478.1535807291666;val
1;squalane;422.485;10.266380859375;3.8979897460937503;6.0;24.038817545572915;509.7773763020833;val
