epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;3.21771400069122e14;1.51885176635395e14;6.0;9.5;1.218596709597186e17
1;2-methylheptane;114.141;3.21797807407106e14;1.51897625329667e14;6.0;9.5;1.218696701804546e17
1;3-methyldecane;156.188;4.40381384687618e14;2.07872424148995e14;6.0;9.5;1.667790561869826e17
1;hexadecane;226.266;6.38039269310466e14;3.01172502036483e14;6.0;9.5;2.416350479777794e17
1;3,3-dimethylhexane;114.141;3.21818879590402e14;1.51907574218755e14;6.0;9.5;1.218776427134978e17
1;3-methyltridecane;198.235;5.58971605745666e14;2.63850343530499e14;6.0;9.5;2.116909520650242e17
1;2-methylbutane;72.094;2.03225269534722e14;9.5928044224515e13;6.0;9.5;7.69644583452674e16
1;nonane;128.157;3.61336471027714e14;1.70560969506819e14;6.0;9.5;1.368435367870466e17
1;heptacosane;380.438;1.072825788006402e15;5.06404024614915e14;6.0;9.5;4.06295262579917e17
1;2,2-dimethylpropane;72.094;2.03238355763202e14;9.5934218240003e13;6.0;9.5;7.69694109794306e16
1;2,4,4-trimethylhexane;128.157;3.61322713710594e14;1.70554493501443e14;6.0;9.5;1.368383291392002e17
1;octadecane;254.297;7.17093779537922e14;3.38488452972547e14;6.0;9.5;2.715741912563714e17
1;heptadecane;240.282;6.77564846702594e14;3.19829672198147e14;6.0;9.5;2.566040022155266e17
1;n-undecane;156.188;4.40390008176642e14;2.07876484235267e14;6.0;9.5;1.66782317677773e17
1;nonadecane;268.313;7.56624121659394e14;3.57147938390019e14;6.0;9.5;2.865449440116738e17
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;6.37936592748546e14;3.01124049436675e14;6.0;9.5;2.415961785237506e17
1;3-methyldodecane;184.219;5.19437237092354e14;2.45189012619267e14;6.0;9.5;1.967186960711682e17
1;3,4-dimethylhexane;114.141;3.2178663378125e14;1.51892357283843e14;6.0;9.5;1.218654423220226e17
1;3-methylheptane;114.141;3.21801028632578e14;1.51899152056323e14;6.0;9.5;1.218708781400066e17
1;n-butane;58.078;1.63708030418946e14;7.7274799931395e13;6.0;9.5;6.19986917785602e16
1;2,2,5,5-tetramethylhexane;142.172;4.0084557319373e14;1.89210405371907e14;6.0;9.5;1.51806236478669e17
1;tridecane;184.219;5.19449518014466e14;2.45194783981571e14;6.0;9.5;1.967233265827842e17
1;2,2,3-trimethylpentane;114.141;3.21806061797378e14;1.51901517643779e14;6.0;9.5;1.218727840317442e17
1;decane;142.172;4.00858625867778e14;1.89216562610179e14;6.0;9.5;1.518111891128322e17
1;3-ethylpentane;100.125;2.82254848819202e14;1.33232234332163e14;6.0;9.5;1.068941392740354e17
1;2,3-dimethyldodecane;198.235;5.5894868806861e14;2.63839539003395e14;6.0;9.5;2.116822815997954e17
1;3-methylundecane;170.203;4.7990820359373e14;2.26530198290435e14;6.0;9.5;1.817484533432322e17
1;2-methyldecane;156.188;4.40374673801218e14;2.07869270032387e14;6.0;9.5;1.667765060501506e17
1;3-methylpentane;86.11;2.42749236314114e14;1.14584476188675e14;6.0;9.5;9.1932781759693e16
1;octane;114.141;3.2180978633933e14;1.51903296028675e14;6.0;9.5;1.21874206739661e17
1;2-methyldodecane;184.219;5.19434217193474e14;2.45187569778691e14;6.0;9.5;1.967175283769346e17
1;2,6-dimethyloctane;142.172;4.00831044124674e14;1.89203543490563e14;6.0;9.5;1.51800733551821e17
1;2,2,3,4-tetramethylpentane;128.157;3.61309023502338e14;1.70548051050499e14;6.0;9.5;1.368331617566722e17
1;3,3-diethylpentane;128.157;3.61319425376258e14;1.70552949997571e14;6.0;9.5;1.368370943361026e17
1;2,3,4-trimethyl pentane;114.141;3.21762071937026e14;1.51880764227587e14;6.0;9.5;1.218561276116994e17
1;2-methylhexane;100.125;2.82269210116098e14;1.33239029104643e14;6.0;9.5;1.06899601935565e17
1;2,2,3-trimethylbutane;100.125;2.82275048587266e14;1.33241772179459e14;6.0;9.5;1.069017963954178e17
1;3-methyl-3-ethylpentane;114.141;3.2180861193421e14;1.51902725603331e14;6.0;9.5;1.218737638211586e17
