epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;3.4506306648254395;3.8618462085723877;6.0;17.38567218184471;237.54411935806274
1;2-methylheptane;114.141;3.5151658058166504;3.8118220567703247;6.0;17.182773500680923;235.28239727020264
1;3-methyldecane;156.188;4.257663726806641;3.9817256927490234;6.0;18.95405948162079;258.0605983734131
1;hexadecane;226.266;6.830931186676025;3.821970582008362;6.0;22.532401084899902;234.31901931762695
1;3,3-dimethylhexane;114.141;3.1168599128723145;4.026754379272461;6.0;17.57931411266327;255.1974654197693
1;3-methyltridecane;198.235;5.493955612182617;3.9620261192321777;6.0;21.058032512664795;254.38506603240967
1;2-methylbutane;72.094;2.378792405128479;3.617460250854492;6.0;15.620452612638474;226.20244026184082
1;nonane;128.157;3.9921388626098633;3.817962646484375;6.0;18.001572489738464;239.50310945510864
1;heptacosane;380.438;10.237666130065918;3.9615933895111084;6.0;29.38778519630432;257.06058740615845
1;2,2-dimethylpropane;72.094;2.2821054458618164;3.522697925567627;6.0;15.530001670122147;222.98583984375
1;2,4,4-trimethylhexane;128.157;3.278388023376465;4.093892812728882;6.0;18.14686357975006;255.76422214508057
1;octadecane;254.297;7.587253570556641;3.8497215509414673;6.0;23.5483980178833;239.09598588943481
1;heptadecane;240.282;7.146466255187988;3.8531054258346558;6.0;22.929791808128357;236.54251098632812
1;n-undecane;156.188;4.663532495498657;3.871233582496643;6.0;19.284817576408386;244.28846836090088
1;nonadecane;268.313;7.904542922973633;3.848878026008606;6.0;24.24161672592163;240.9573197364807
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.182198524475098;4.21049165725708;6.0;22.608803510665894;249.5482325553894
1;3-methyldodecane;184.219;4.975492477416992;3.9601848125457764;6.0;20.74361801147461;255.4499387741089
1;3,4-dimethylhexane;114.141;3.213697671890259;3.9614856243133545;6.0;17.600592970848083;251.21078491210938
1;3-methylheptane;114.141;3.49383807182312;3.849218964576721;6.0;16.969821602106094;241.52116775512695
