epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;3.4686012268066406;3.9734262228012085;6.0;17.281946539878845;228.19586992263794
1;2-methylheptane;114.141;3.599483609199524;3.8963029980659485;6.0;17.110132575035095;225.9985089302063
1;3-methyldecane;156.188;4.321343183517456;4.042565703392029;6.0;18.994354605674744;236.45809888839722
1;hexadecane;226.266;6.488235950469971;3.74361789226532;6.0;22.861599922180176;226.15712881088257
1;3,3-dimethylhexane;114.141;3.155664563179016;4.071877598762512;6.0;17.428004145622253;240.86545705795288
1;3-methyltridecane;198.235;5.455812454223633;4.027340650558472;6.0;21.330870389938354;235.2556347846985
1;2-methylbutane;72.094;2.4967615008354187;3.7701350450515747;6.0;14.792349934577942;213.4073182940483
1;nonane;128.157;4.0885138511657715;3.775303363800049;6.0;17.67158031463623;223.06665033102036
1;heptacosane;380.438;9.440695762634277;3.7189974784851074;6.0;30.57297706604004;203.5332791507244
1;2,2-dimethylpropane;72.094;2.3212104439735413;3.8146519660949707;6.0;14.92897629737854;214.30938988924026
1;2,4,4-trimethylhexane;128.157;3.3287683725357056;4.120189785957336;6.0;18.297090530395508;248.05725812911987
1;octadecane;254.297;7.088491439819336;3.768268346786499;6.0;24.35476779937744;223.77043813467026
1;heptadecane;240.282;6.76937198638916;3.7516855001449585;6.0;23.58467698097229;222.86680787801743
1;n-undecane;156.188;4.728355884552002;3.791869878768921;6.0;19.163993000984192;223.76258224248886
1;nonadecane;268.313;7.39028787612915;3.733201503753662;6.0;25.096639394760132;218.39066594839096
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.354848146438599;4.308305978775024;6.0;22.65260338783264;225.51735639572144
1;3-methyldodecane;184.219;5.028029441833496;4.048768997192383;6.0;20.51866888999939;236.4077925682068
1;3,4-dimethylhexane;114.141;3.2812798023223877;4.007351398468018;6.0;17.245002388954163;239.31018710136414
1;3-methylheptane;114.141;3.5391892194747925;3.9447773694992065;6.0;17.158613801002502;229.74252700805664
1;n-butane;58.078;2.361699640750885;3.618018090724945;6.0;13.797752857208252;204.75819632411003
1;2,2,5,5-tetramethylhexane;142.172;3.5933706760406494;4.197079539299011;6.0;18.642552495002747;235.8706831932068
1;tridecane;184.219;5.479795455932617;3.7552642226219177;6.0;20.740538835525513;225.94152688980103
1;2,2,3-trimethylpentane;114.141;2.898640275001526;4.062041282653809;6.0;17.169347405433655;245.05305290222168
1;decane;142.172;4.382049560546875;3.7832993268966675;6.0;18.40098798274994;222.53054231405258
1;3-ethylpentane;100.125;3.0474321842193604;3.855827271938324;6.0;16.356077790260315;230.17764687538147
1;2,3-dimethyldodecane;198.235;5.17080283164978;4.153778910636902;6.0;21.141494512557983;238.45840692520142
1;3-methylundecane;170.203;4.670872211456299;4.073351860046387;6.0;19.79302167892456;238.96595239639282
1;2-methyldecane;156.188;4.555235862731934;3.954411506652832;6.0;19.24511969089508;232.62993097305298
1;3-methylpentane;86.11;2.7144917845726013;3.8032575845718384;6.0;15.40092945098877;221.2061807513237
1;octane;114.141;3.7695425748825073;3.752140700817108;6.0;16.89233124256134;222.36456722021103
1;2-methyldodecane;184.219;5.244882106781006;3.9219499230384827;6.0;20.547430515289307;231.18141889572144
1;2,6-dimethyloctane;142.172;4.082396030426025;4.048789858818054;6.0;18.616791367530823;230.77569007873535
1;2,2,3,4-tetramethylpentane;128.157;3.1589365005493164;4.1158682107925415;6.0;18.00006926059723;250.64774751663208
1;3,3-diethylpentane;128.157;3.239800214767456;4.059235572814941;6.0;17.616745829582214;247.254478931427
1;2,3,4-trimethyl pentane;114.141;3.079485058784485;3.9865225553512573;6.0;17.245582938194275;240.3624713420868
1;2-methylhexane;100.125;3.2720487117767334;3.872864246368408;6.0;16.53840184211731;224.9463602900505
1;2,2,3-trimethylbutane;100.125;2.6531848907470703;3.9893776178359985;6.0;16.52838408946991;239.4326150417328
1;3-methyl-3-ethylpentane;114.141;3.0230242013931274;4.023506760597229;6.0;17.06506073474884;243.20281147956848
1;pentadecane;212.25;6.093971252441406;3.763332962989807;6.0;22.133678197860718;225.17927885055542
1;hexane;86.11;3.046599507331848;3.7057331204414368;6.0;15.390462279319763;212.88676112890244
1;2-methyloctane;128.157;3.9832520484924316;3.910283625125885;6.0;17.877978682518005;228.4309983253479
1;octacosane;394.454;9.610774517059326;3.748842716217041;6.0;31.178252696990967;202.53702327609062
1;2,2,4,4-tetramethylpentane;128.157;3.159440755844116;4.152658462524414;6.0;17.77772545814514;236.99647188186646
1;2-methyl-3-ethyl-pentane;114.141;3.216123938560486;3.989587724208832;6.0;17.210320830345154;239.18371200561523
1;2-methylpentane;86.11;2.851364552974701;3.813716948032379;6.0;15.63508689403534;217.92776435613632
1;2,3,3,4-tetramethylpentane;128.157;3.172697901725769;4.099741339683533;6.0;17.97728955745697;257.0608079433441
