epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;tridecane;184.219;5.083763837814331;3.9713632464408875;6.0;11.622447669506073;260.3508472442627
1;hexadecane;226.266;5.738327503204346;4.159180045127869;6.0;11.705757975578308;273.64641427993774
1;pentadecane;212.25;5.524354457855225;4.097783803939819;6.0;11.678524315357208;269.30017471313477
1;dodecane;170.203;4.785080194473267;3.885660707950592;6.0;11.584432423114777;254.2839527130127
1;hexane;86.11;3.244944214820862;3.4354304373264313;6.0;11.394936442375183;224.41790401935577
1;eicosane;282.329;6.55485200881958;4.393468737602234;6.0;11.809681951999664;290.23173451423645
1;nonane;128.157;4.077400207519531;3.6795073747634888;6.0;11.496792435646057;240.43732583522797
1;heptacosane;380.438;7.625522613525391;4.700680732727051;6.0;11.945951879024506;311.97930574417114
1;tetracosane;338.391;7.151638507843018;4.564707040786743;6.0;11.885638535022736;302.35371589660645
1;octacosane;394.454;7.831813335418701;4.759872794151306;6.0;11.972207129001617;316.1694884300232
1;methane;16.031;2.0326803773641586;3.1144498512148857;6.0;11.171438470482826;199.83476884663105
1;decane;142.172;4.465609312057495;3.7933307886123657;6.0;11.54429167509079;247.90785312652588
1;octadecane;254.297;6.178513050079346;4.285484194755554;6.0;11.761782467365265;282.5874984264374
1;heptadecane;240.282;5.953073501586914;4.220797896385193;6.0;11.733089685440063;278.0083477497101
1;octane;114.141;3.882291793823242;3.622301459312439;6.0;11.472919583320618;236.68274581432343
1;n-undecane;156.188;4.557220220565796;3.8201910853385925;6.0;11.555500626564026;249.67076778411865
1;ethane;30.047;2.1397499293088913;3.1374738216400146;6.0;11.337831914424896;204.26045581698418
1;nonadecane;268.313;6.405742645263672;4.3506840467453;6.0;11.790704429149628;287.20301389694214
1;pentane;72.094;2.961935877799988;3.3530839383602142;6.0;11.362363994121552;219.00120377540588
1;propane;44.063;2.4002910256385803;3.205668658018112;6.0;11.349787414073944;208.9958392083645
1;heptane;100.125;3.6101847887039185;3.5425193905830383;6.0;11.43962562084198;231.44643306732178
1;tetradecane;198.235;5.375777006149292;4.0551518201828;6.0;11.65961354970932;266.2822484970093
1;n-butane;58.078;2.664374053478241;3.2749826908111572;6.0;11.355700939893723;213.70031833648682
2;tridecane;184.219;5.0894739627838135;3.973025321960449;6.0;11.622127443552017;260.4784965515137
2;hexadecane;226.266;5.746074914932251;4.161431193351746;6.0;11.705508679151535;273.81754517555237
2;pentadecane;212.25;5.531606197357178;4.099891304969788;6.0;11.678274422883987;269.46054697036743
2;dodecane;170.203;4.790350914001465;3.8871946930885315;6.0;11.584141999483109;254.40170764923096
2;hexane;86.11;3.247800350189209;3.4362957775592804;6.0;11.394748091697693;224.47587251663208
2;eicosane;282.329;6.563634872436523;4.396022915840149;6.0;11.809330433607101;290.4265224933624
2;nonane;128.157;4.081775426864624;3.6808308959007263;6.0;11.496549099683762;240.5259221792221
2;heptacosane;380.438;7.638547420501709;4.7044594287872314;6.0;11.945833414793015;312.26370334625244
2;tetracosane;338.391;7.1632184982299805;4.568068027496338;6.0;11.885471194982529;302.6072382926941
2;octacosane;394.454;7.845328330993652;4.763793468475342;6.0;11.972091645002365;316.4645195007324
2;methane;16.031;2.0331072211265564;3.114544317126274;6.0;11.171868443489075;199.85304176807404
2;decane;142.172;4.470057487487793;3.7946815490722656;6.0;11.543945223093033;247.99849390983582
2;octadecane;254.297;6.1872639656066895;4.288026452064514;6.0;11.761535257101059;282.78043270111084
2;heptadecane;240.282;5.961335182189941;4.223198294639587;6.0;11.732845455408096;278.1906247138977
2;octane;114.141;3.886181354522705;3.62347948551178;6.0;11.472673118114471;236.7616593837738
2;n-undecane;156.188;4.562617063522339;3.821821451187134;6.0;11.555243581533432;249.77983236312866
2;ethane;30.047;2.14054037630558;3.1376460194587708;6.0;11.338789612054825;204.29381281137466
2;nonadecane;268.313;6.414126396179199;4.353122711181641;6.0;11.790344566106796;287.38921880722046
2;pentane;72.094;2.964421570301056;3.353739947080612;6.0;11.361898481845856;219.0470814704895
2;propane;44.063;2.4017944037914276;3.2060657143592834;6.0;11.349476277828217;209.0236760675907
2;heptane;100.125;3.613271713256836;3.5434579253196716;6.0;11.439360082149506;231.50944709777832
2;tetradecane;198.235;5.382575273513794;4.057128190994263;6.0;11.659348756074905;266.43292903900146
2;n-butane;58.078;2.6663658022880554;3.2755084335803986;6.0;11.355317682027817;213.73710930347443
3;tridecane;184.219;5.095458269119263;3.9747672080993652;6.0;11.621788144111633;260.6123208999634
