epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;4.6333386e7;2.8882771e7;6.0;4.75;2.24516002e10
1;2-methylheptane;114.141;4.634233e7;2.8888349e7;6.0;4.75;2.24559362e10
1;3-methyldecane;156.188;6.3422114e7;3.9535347e7;6.0;4.75;3.07322274e10
1;hexadecane;226.266;9.1885282e7;5.7278391e7;6.0;4.75;4.45245218e10
1;3,3-dimethylhexane;114.141;4.6344422e7;2.8889653e7;6.0;4.75;2.24569506e10
1;3-methyltridecane;198.235;8.0500234e7;5.0181307e7;6.0;4.75;3.90077058e10
1;2-methylbutane;72.094;2.9265886e7;1.8243433e7;6.0;4.75;1.41812658e10
1;nonane;128.157;5.2039954e7;3.2440067e7;6.0;4.75;2.5216813e10
1;heptacosane;380.438;1.54475778e8;9.6295331e7;6.0;4.75;7.48537794e10
1;2,2-dimethylpropane;72.094;2.9266672e7;1.8243921e7;6.0;4.75;1.4181645e10
1;2,4,4-trimethylhexane;128.157;5.2030394e7;3.2434109e7;6.0;4.75;2.5212181e10
1;octadecane;254.297;1.03269146e8;6.4374731e7;6.0;4.75;5.00407586e10
1;heptadecane;240.282;9.7576738e7;6.0826267e7;6.0;4.75;4.7282413e10
1;n-undecane;156.188;6.3424218e7;3.9536659e7;6.0;4.75;3.0733245e10
1;nonadecane;268.313;1.08961066e8;6.7922891e7;6.0;4.75;5.27988738e10
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;9.1853242e7;5.7258411e7;6.0;4.75;4.45089922e10
1;3-methyldodecane;184.219;7.4806314e7;4.6631895e7;6.0;4.75;3.62486242e10
1;3,4-dimethylhexane;114.141;4.6339686e7;2.8886699e7;6.0;4.75;2.24546546e10
1;3-methylheptane;114.141;4.6343838e7;2.8889291e7;6.0;4.75;2.24566674e10
1;n-butane;58.078;2.3576392e7;1.4696781e7;6.0;4.75;1.14243274e10
1;2,2,5,5-tetramethylhexane;142.172;5.7717578e7;3.5979319e7;6.0;4.75;2.7967997e10
1;tridecane;184.219;7.481017e7;4.6634303e7;6.0;4.75;3.62504962e10
1;2,2,3-trimethylpentane;114.141;4.6340986e7;2.8887511e7;6.0;4.75;2.2455285e10
1;decane;142.172;5.7730958e7;3.5987663e7;6.0;4.75;2.79744834e10
1;3-ethylpentane;100.125;4.0645618e7;2.5337197e7;6.0;4.75;1.96954994e10
1;2,3-dimethyldodecane;198.235;8.0492522e7;5.0176499e7;6.0;4.75;3.90039714e10
1;3-methylundecane;170.203;6.9114274e7;4.3083659e7;6.0;4.75;3.34904578e10
1;2-methyldecane;156.188;6.3419734e7;3.9533863e7;6.0;4.75;3.07310722e10
1;3-methylpentane;86.11;3.495859e7;2.1792087e7;6.0;4.75;1.69397602e10
1;octane;114.141;4.6346662e7;2.8891047e7;6.0;4.75;2.24580338e10
1;2-methyldodecane;184.219;7.4805666e7;4.6631491e7;6.0;4.75;3.62483106e10
1;2,6-dimethyloctane;142.172;5.7719114e7;3.5980275e7;6.0;4.75;2.79687426e10
1;2,2,3,4-tetramethylpentane;128.157;5.202841e7;3.2432869e7;6.0;4.75;2.52112194e10
1;3,3-diethylpentane;128.157;5.2031546e7;3.2434825e7;6.0;4.75;2.52127378e10
1;2,3,4-trimethyl pentane;114.141;4.6334666e7;2.8883569e7;6.0;4.75;2.2452221e10
1;2-methylhexane;100.125;4.0649618e7;2.5339691e7;6.0;4.75;1.96974386e10
1;2,2,3-trimethylbutane;100.125;4.0647606e7;2.5338437e7;6.0;4.75;1.96964642e10
1;3-methyl-3-ethylpentane;114.141;4.634267e7;2.8888559e7;6.0;4.75;2.2456101e10
1;pentadecane;212.25;8.6193994e7;5.3730619e7;6.0;4.75;4.1766717e10
1;hexane;86.11;3.4962386e7;2.1794449e7;6.0;4.75;1.6941597e10
1;2-methyloctane;128.157;5.2034446e7;3.2436635e7;6.0;4.75;2.52141442e10
1;octacosane;394.454;1.60161698e8;9.9839747e7;6.0;4.75;7.76089794e10
1;2,2,4,4-tetramethylpentane;128.157;5.202939e7;3.2433481e7;6.0;4.75;2.52116946e10
1;2-methyl-3-ethyl-pentane;114.141;4.6336278e7;2.8884577e7;6.0;4.75;2.2453005e10
1;2-methylpentane;86.11;3.495735e7;2.1791309e7;6.0;4.75;1.6939157e10
1;2,3,3,4-tetramethylpentane;128.157;5.2028594e7;3.2432987e7;6.0;4.75;2.52113106e10
1;2,3-dimethyldecane;170.203;6.9108666e7;4.3080163e7;6.0;4.75;3.34877378e10
1;ethane;30.047;1.2192425e7;7.600375e6;6.0;4.75;5.908039e9
1;2,3-dimethylpentane;100.125;4.0646726e7;2.5337889e7;6.0;4.75;1.96960386e10
1;2,3-dimethylundecane;184.219;7.480065e7;4.6628367e7;6.0;4.75;3.62458818e10
1;pentane;72.094;2.9269156e7;1.8245471e7;6.0;4.75;1.41828498e10
