epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;2,5-dimethylhexane;114.141;3.0801823746e10;1.7924812803e10;6.0;4.75;1.82840852482e13
1;2-methylheptane;114.141;3.080244429e10;1.7925173251e10;6.0;4.75;1.82844538882e13
1;3-methyldecane;156.188;4.215000269e10;2.4528771075e10;6.0;4.75;2.5020411085e13
1;hexadecane;226.266;6.1056450562e10;3.5531190275e10;6.0;4.75;3.62433544194e13
1;3,3-dimethylhexane;114.141;3.0806337538e10;1.7927438339e10;6.0;4.75;1.82867656706e13
1;3-methyltridecane;198.235;5.3499359234e10;3.1133411331e10;6.0;4.75;3.17574316034e13
1;2-methylbutane;72.094;1.9452788738e10;1.1320355843e10;6.0;4.75;1.15472547842e13
1;nonane;128.157;3.4578563074e10;2.0122646531e10;6.0;4.75;2.05259735042e13
1;heptacosane;380.438;1.02653460482e11;5.9738148867e10;6.0;4.75;6.09355038722e13
1;2,2-dimethylpropane;72.094;1.9456137218e10;1.1322303491e10;6.0;4.75;1.15492413442e13
1;2,4,4-trimethylhexane;128.157;3.4591461378e10;2.0130154499e10;6.0;4.75;2.05336313858e13
1;octadecane;254.297;6.862093517e10;3.9933263875e10;6.0;4.75;4.07336615938e13
1;heptadecane;240.282;6.4838242306e10;3.7731962883e10;6.0;4.75;3.84882409474e13
1;n-undecane;156.188;4.214359245e10;2.4525039619e10;6.0;4.75;2.50166034434e13
1;nonadecane;268.313;7.240367309e10;4.2134589443e10;6.0;4.75;4.29791150082e13
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;6.1066424322e10;3.5536994307e10;6.0;4.75;3.6249275597e13
1;3-methyldodecane;184.219;4.9716285442e10;2.8931893251e10;6.0;4.75;2.95117881346e13
1;3,4-dimethylhexane;114.141;3.080285389e10;1.7925410819e10;6.0;4.75;1.82846980098e13
1;3-methylheptane;114.141;3.0801596418e10;1.7924679683e10;6.0;4.75;1.82839508994e13
1;n-butane;58.078;1.5666507778e10;9.116966915e9;6.0;4.75;9.2997017602e12
1;2,2,5,5-tetramethylhexane;142.172;3.8371594242e10;2.2329962499e10;6.0;4.75;2.2777531597e13
1;tridecane;184.219;4.9708736514e10;2.8927502339e10;6.0;4.75;2.9507308749e13
1;2,2,3-trimethylpentane;114.141;3.0810324994e10;1.7929758723e10;6.0;4.75;1.82891331586e13
1;decane;142.172;3.8360522754e10;2.2323521539e10;6.0;4.75;2.27709599746e13
1;3-ethylpentane;100.125;2.701543629e10;1.5721362435e10;6.0;4.75;1.60364724226e13
1;2,3-dimethyldodecane;198.235;5.3503983618e10;3.1136104451e10;6.0;4.75;3.17601775618e13
1;3-methylundecane;170.203;4.5932908546e10;2.6730192899e10;6.0;4.75;2.72659578882e13
1;2-methyldecane;156.188;4.214940877e10;2.4528424963e10;6.0;4.75;2.50200571906e13
1;3-methylpentane;86.11;2.3235121154e10;1.3521444867e10;6.0;4.75;1.37924608002e13
1;octane;114.141;3.0796367874e10;1.7921636355e10;6.0;4.75;1.82808461314e13
1;2-methyldodecane;184.219;4.971613389e10;2.8931807235e10;6.0;4.75;2.9511699661e13
1;2,6-dimethyloctane;142.172;3.837217997e10;2.2330304515e10;6.0;4.75;2.27778805762e13
1;2,2,3,4-tetramethylpentane;128.157;3.4591739906e10;2.0130316291e10;6.0;4.75;2.05337952258e13
1;3,3-diethylpentane;128.157;3.4588577794e10;2.0128477187e10;6.0;4.75;2.05319208962e13
1;2,3,4-trimethyl pentane;114.141;3.0803441666e10;1.7925752835e10;6.0;4.75;1.82850453506e13
1;2-methylhexane;100.125;2.7018592258e10;1.5723198467e10;6.0;4.75;1.60383451138e13
1;2,2,3-trimethylbutane;100.125;2.702748877e10;1.5728375811e10;6.0;4.75;1.6043625677e13
1;3-methyl-3-ethylpentane;114.141;3.0807040002e10;1.7927847939e10;6.0;4.75;1.82871818242e13
1;pentadecane;212.25;5.7274105858e10;3.3330089987e10;6.0;4.75;3.39981402114e13
1;hexane;86.11;2.3231350786e10;1.3519251459e10;6.0;4.75;1.37902243842e13
1;2-methyloctane;128.157;3.458481357e10;2.0126285827e10;6.0;4.75;2.05296861186e13
