Name,CAS,molarweight,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers,,
formic acid,64-18-6,46.005,1.74,(2.36),0.13,0.13,-,(32.74),370,(380),84 ,84 ,-,(202),,
acetic acid,64-19-7,60.021,3.11,(3.26),1.67,1.66,1.74,(25.95),1132,(1140),577 ,529 ,48 ,(462),,
prop-2-enoic acid,79-10-7,72.021,6.70,(13.07),0.30,0.30,-,(27.23),123,(138),7 ,7 ,-,(129),,
propanoic acid,79-09-4,74.037,2.07,(7.32),0.81,0.83,0.66,(27.50),550,(654),335 ,296 ,39 ,(59),,
2-methylprop-2-enoic acid,79-41-4,86.037,2.64,(7.10),0.09,0.09,-,(16.40),83,(103),29 ,29 ,-,(25),,
(e)-but-2-enoic acid,107-93-7,86.037,1.96,(4.20),0.26,0.26,-,-,57,(65),4 ,4 ,-,-,,
cyclopropanecarboxylic acid,1759-53-1,86.037,3.15,(7.52),0.45,0.45,-,-,49,(62),39 ,39 ,-,-,,
butanoic acid,107-92-6,88.052,3.06,(11.73),0.56,0.58,0.14,(14.76),482,(603),269 ,255 ,14 ,(19),,
2-methylpropanoic acid,79-31-2,88.052,2.54,(5.03),0.28,0.28,-,-,294,(332),98 ,98 ,-,-,,
"2,2-dimethylpropanoic acid",75-98-9,102.068,2.62,(10.41),0.51,0.51,-,(16.34),42,(50),10 ,10 ,-,(31),,
pentanoic acid,109-52-4,102.068,2.96,(9.96),2.73,2.80,0.17,(10.89),184,(229),165 ,161 ,4 ,(40),,
3-methylbutanoic acid,503-74-2,102.068,7.73,(16.30),0.67,0.69,0.01,-,371,(464),34 ,33 ,1 ,-,,
hexanoic acid,142-62-1,116.084,2.58,(14.12),0.21,0.21,-,-,184,(224),151 ,151 ,-,-,,
"2,2-dimethylbutanoic acid",595-37-9,116.084,2.92,(29.48),0.17,0.19,0.13,-,39,(49),15 ,10 ,5 ,-,,
heptanoic acid,111-14-8,130.099,2.87,(8.79),0.21,0.21,-,(6.40),193,(228),133 ,133 ,-,(22),,
2-methylhexanoic acid,4536-23-6,130.099,12.64,(51.49),0.33,0.33,-,-,16,(20),5 ,5 ,-,-,,
2-ethylhexanoic acid,149-57-5,144.115,6.05,(21.75),0.54,0.54,-,-,52,(65),35 ,35 ,-,-,,
octanoic acid,124-07-2,144.115,5.48,(18.23),0.33,0.33,-,-,172,(212),209 ,209 ,-,-,,
nonanoic acid,112-05-0,158.131,4.95,(26.96),0.10,0.10,-,-,112,(141),16 ,16 ,-,-,,
decanoic acid,334-48-5,172.146,4.03,(33.28),0.77,0.77,-,-,135,(168),103 ,103 ,-,-,,
undecanoic acid,112-37-8,186.162,8.44,(19.75),0.30,0.30,-,-,47,(59),9 ,9 ,-,-,,
dodecanoic acid,143-07-7,200.178,2.65,(7.48),0.28,0.28,-,-,145,(175),111 ,111 ,-,-,,
tridecanoic acid,638-53-9,214.193,2.84,(4.79),0.38,0.38,-,-,32,(34),6 ,6 ,-,-,,
tetradecanoic acid,544-63-8,228.209,2.90,(13.37),0.47,0.47,-,-,165,(192),125 ,125 ,-,-,,
pentadecanoic acid,1002-84-2,242.225,1.14,(5.19),1.26,1.26,-,-,47,(55),7 ,7 ,-,-,,
hexadecanoic acid,57-10-3,256.240,2.30,(8.55),0.38,0.38,-,-,115,(129),101 ,101 ,-,-,,
heptadecanoic acid,506-12-7,270.256,1.21,(6.65),0.11,0.11,-,-,67,(72),15 ,15 ,-,-,,
"(9z,12z,15z)-octadeca-9,12,15-trienoic acid",463-40-1,278.225,0.40,(31.47),0.19,0.19,-,-,46,(54),4 ,4 ,-,-,,
"(9z,12z)-octadeca-9,12-dienoic acid",60-33-3,280.240,10.45,(18.16),0.09,0.09,-,-,48,(60),8 ,8 ,-,-,,
(z)-octadec-9-enoic acid,112-80-1,282.256,11.53,(23.88),0.79,0.79,-,-,48,(60),32 ,32 ,-,-,,
octadecanoic acid,57-11-4,284.272,2.05,(4.35),0.40,0.40,-,-,105,(121),39 ,39 ,-,-,,
nonadecanoic acid,646-30-0,298.287,0.86,(1.64),0.17,0.17,-,-,32,(34),5 ,5 ,-,-,,
icosanoic acid,506-30-9,312.303,3.21,(7.56),0.03,0.03,-,-,42,(53),8 ,8 ,-,-,,
methanol,67-56-1,32.026,1.25,(1.45),0.38,0.38,0.37,(7.99),2635,(2668),3757 ,3632 ,125 ,(801),,
ethanol,64-17-5,46.042,0.96,(1.38),0.41,0.41,0.45,(3.11),3317,(3376),4699 ,4627 ,72 ,(701),,
prop-2-yn-1-ol,107-19-7,56.026,7.50,(10.66),0.95,0.95,-,-,63,(70),25 ,25 ,-,-,,
prop-2-en-1-ol,107-18-6,58.042,1.57,(2.18),0.18,0.18,-,-,228,(235),54 ,54 ,-,-,,
propan-1-ol,71-23-8,60.058,1.54,(2.47),0.47,0.46,0.74,(8.44),2017,(2039),3400 ,3259 ,141 ,(212),,
propan-2-ol,67-63-0,60.058,1.14,(1.20),0.55,0.54,0.81,(8.41),1792,(1802),2437 ,2381 ,56 ,(481),,
"ethane-1,2-diol",107-21-1,62.037,2.16,(5.10),2.67,2.67,0.00,-,553,(630),1429 ,1428 ,1 ,-,,
2-methylpropan-2-ol,75-65-0,74.073,0.85,(1.25),0.43,0.37,1.00,(2.16),704,(709),704 ,636 ,68 ,(106),,
2-methylpropan-1-ol,78-83-1,74.073,1.50,(1.86),0.58,0.58,0.55,(7.88),970,(983),2445 ,2395 ,50 ,(25),,
butan-1-ol,71-36-3,74.073,1.64,(2.60),0.58,0.57,0.89,(16.92),2114,(2162),5099 ,4994 ,105 ,(305),,
butan-2-ol,78-92-2,74.073,1.11,(1.90),0.29,0.28,0.57,-,1317,(1333),2266 ,2199 ,67 ,-,,
"propane-1,3-diol",504-63-2,76.052,2.88,(7.68),0.27,0.27,-,-,159,(196),373 ,373 ,-,-,,
"propane-1,2-diol",57-55-6,76.052,2.71,(7.30),0.17,0.17,0.00,-,343,(382),819 ,818 ,1 ,-,,
"(z)-but-2-ene-1,4-diol",6117-80-2,88.052,8.57,(61.04),0.16,0.16,-,-,14,(18),4 ,4 ,-,-,,
pentan-3-ol,584-02-1,88.089,2.59,(3.77),0.51,0.47,1.21,-,177,(193),144 ,135 ,9 ,-,,
pentan-2-ol,6032-29-7,88.089,1.27,(1.33),0.28,0.28,-,-,381,(382),562 ,562 ,-,-,,
2-methylbutan-2-ol,75-85-4,88.089,1.90,(2.39),0.69,0.71,0.04,-,427,(433),186 ,182 ,4 ,-,,
3-methylbutan-1-ol,123-51-3,88.089,1.78,(2.05),0.25,0.25,-,-,663,(670),849 ,849 ,-,-,,
pentan-1-ol,71-41-0,88.089,1.91,(5.19),0.13,0.13,0.25,-,483,(513),1706 ,1677 ,29 ,-,,
2-methylbutan-1-ol,137-32-6,88.089,1.65,(4.58),0.30,0.30,-,-,384,(406),163 ,163 ,-,-,,
"butane-1,2-diol",584-03-2,90.068,1.19,(10.78),0.15,0.15,0.20,-,107,(132),258 ,252 ,6 ,-,,
"butane-1,3-diol",107-88-0,90.068,1.52,(10.29),0.97,0.98,0.37,-,149,(177),303 ,297 ,6 ,-,,
"butane-1,4-diol",110-63-4,90.068,2.77,(9.38),0.69,0.69,-,-,145,(180),288 ,288 ,-,-,,
"butane-2,3-diol",513-85-9,90.068,2.50,(6.34),2.73,2.73,-,-,55,(69),183 ,183 ,-,-,,
"2-methylpropane-1,3-diol",2163-42-0,90.068,2.70,(5.32),0.47,0.47,-,-,67,(73),20 ,20 ,-,-,,
"propane-1,2,3-triol",56-81-5,92.047,2.38,(21.23),2.62,2.62,0.00,-,348,(423),444 ,443 ,1 ,-,,
cyclohexanol,108-93-0,100.089,1.53,(2.86),0.36,0.38,0.04,-,310,(327),139 ,131 ,8 ,-,,
3-methylpentan-1-ol,589-35-5,102.104,1.76,(3.12),0.16,0.16,-,-,37,(40),26 ,26 ,-,-,,
2-ethylbutan-1-ol,97-95-0,102.104,2.74,(10.43),0.30,0.30,-,-,53,(67),78 ,78 ,-,-,,
2-methylpentan-1-ol,105-30-6,102.104,2.32,(6.06),0.53,0.58,0.44,-,57,(68),46 ,31 ,15 ,-,,
hexan-2-ol,626-93-7,102.104,2.16,(2.68),0.40,0.40,0.24,-,173,(179),416 ,401 ,15 ,-,,
3-methylpentan-3-ol,77-74-7,102.104,2.31,(6.04),0.39,0.39,-,-,48,(57),207 ,207 ,-,-,,
hexan-3-ol,623-37-0,102.104,3.07,(9.55),0.25,0.26,0.22,-,84,(106),58 ,44 ,14 ,-,,
4-methylpentan-2-ol,108-11-2,102.104,2.00,(5.04),0.29,0.28,0.33,-,110,(123),54 ,40 ,14 ,-,,
hexan-1-ol,111-27-3,102.104,2.99,(15.35),0.24,0.24,0.20,(2.72),587,(649),1698 ,1653 ,45 ,(56),,
"pentane-2,4-diol",625-69-4,104.084,5.33,(55.59),0.75,0.75,-,-,39,(49),8 ,8 ,-,-,,
