common_name,iupac_name,CAS,inchi,isomeric_SMILES,canonical_SMILES,family,Mw,interaction,source,segment,sigma,epsilon,dipole,kappa_ab,epsilon_k_ab,na,nb,expt_p_sat_T_min,expt_p_sat_T_max,expt_density_T_min,expt_density_T_max,expt_T_min_conservative,expt_T_max_conservative,expt_T_min_liberal,expt_T_max_liberal,critical_temperature_K,critical_pressure_Pa,critical_volume_m3_per_mol,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers
methane,methane,74-82-8,InChI=1S/CH4/h1H4,C,C,Alkanes,16.031,NONPOLAR,10.1021/acs.iecr.3c02255,1.0,3.70051,150.07147,0.0,0.0,0.0,0,0,90.67,191.05,90.68,180.98,90.68,180.98,90.67,191.05,191.45348658798218,4.689222407848495e6,0.00010806331921570857,0.59,0.72,0.53,0.48,0.68,2.65,1211,1222,1126,856,270,4317
ethane,ethane,74-84-0,InChI=1S/C2H6/c1-2/h1-2H3,CC,CC,Alkanes,30.047,NONPOLAR,10.1021/acs.iecr.3c02255,1.60689,3.51681,191.45389,0.0,0.0,0.0,0,0,90.35,307.65,88.7099991,290.03,90.35,290.03,88.7099991,307.65,309.0092225893239,5.180708116837819e6,0.0001559805938076195,0.85,3.65,1.1,1.08,1.15,29.08,1316,1372,609,448,161,4034
propane,propane,74-98-6,"InChI=1S/C3H8/c1-3-2/h3H2,1-2H3",CCC,CCC,Alkanes,44.063,NONPOLAR,10.1021/acs.iecr.3c02255,1.98602,3.6244,209.08586,0.0,0.0,0.0,0,0,85.47,375.15,90.0,350.82,90.0,350.82,85.47,375.15,375.4114052116655,4.625985008929936e6,0.00021067772218809992,0.8,2.13,0.49,0.51,0.32,13.67,1999,2070,2658,2388,270,2199
n-butane,butane,106-97-8,"InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3",CCCC,CCCC,Alkanes,58.078,NONPOLAR,10.1021/acs.iecr.3c02255,2.31121,3.71557,224.06583,0.0,0.0,0.0,0,0,134.86,425.37,135.0,403.7,135.0,403.7,134.86,425.37,432.9978467866145,4.238079079543617e6,0.0002641598143561159,0.73,2.14,0.34,0.37,0.25,3.57,1155,1218,1226,945,281,1172
2-methylpropane,2-methylpropane,75-28-5,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",CC(C)C,CC(C)C,Alkanes,58.078,NONPOLAR,10.1021/acs.iecr.3c02255,2.23943,3.77033,217.60377,0.0,0.0,0.0,0,0,115.0,408.15,115.0,387.649994,115.0,387.649994,115.0,408.15,414.2293509116259,4.008652934939755e6,0.0002673772728648458,0.72,2.96,0.49,0.54,0.26,3.89,1258,1327,1306,1085,221,521
2-methylbutane,2-methylbutane,78-78-4,"InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3",CCC(C)C,CCC(C)C,Alkanes,72.094,NONPOLAR,10.1021/acs.iecr.3c02255,2.5173,3.84468,233.33054,0.0,0.0,0.0,0,0,187.33,460.95,114.99,433.149994,187.33,433.149994,114.99,460.95,469.3077229790263,3.79413660617032e6,0.00031920253408374683,0.83,1.17,0.45,0.5,0.32,7.83,496,507,351,257,94,702
pentane,pentane,109-66-0,"InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3",CCCCC,CCCCC,Alkanes,72.094,NONPOLAR,10.1021/acs.iecr.3c02255,2.74869,3.72936,228.73279,0.0,0.0,0.0,0,0,147.449997,470.37,142.65,445.82,147.449997,445.82,142.65,470.37,478.8291376294119,3.8669399731090744e6,0.000318966382862173,1.06,1.42,0.57,0.61,0.26,5.67,1038,1056,1183,1030,153,2540
"2,2-dimethylpropane","2,2-dimethylpropane",463-82-1,"InChI=1S/C5H12/c1-5(2,3)4/h1-4H3",CC(C)(C)C,CC(C)(C)C,Alkanes,72.094,NONPOLAR,10.1021/acs.iecr.3c02255,2.35712,3.95028,225.61501,0.0,0.0,0.0,0,0,256.85,433.75,259.2,411.1,259.2,411.1,256.85,433.75,440.0697043065742,3.512055383833126e6,0.00032382555640240155,0.41,-1.0,0.6,0.76,0.17,3.89,269,-1,144,106,38,549
hexane,hexane,110-54-3,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",CCCCCC,CCCCCC,Alkanes,86.11,NONPOLAR,10.1021/acs.iecr.3c02255,3.06506,3.79083,236.46956,0.0,0.0,0.0,0,0,184.22,507.95,177.65,477.59,184.22,477.59,177.65,507.95,519.2172476122004,3.5535385353972414e6,0.0003755180677282958,0.73,1.06,0.48,0.48,0.7,3.78,1950,1983,2922,2818,104,325
2-methylpentane,2-methylpentane,107-83-5,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",CCCC(C)C,CCCC(C)C,Alkanes,86.11,NONPOLAR,10.1021/acs.iecr.3c02255,2.94944,3.84419,234.82948,0.0,0.0,0.0,0,0,270.02,496.55,115.39,448.15,270.02,448.15,115.39,496.55,507.12611137424653,3.468825005901379e6,0.00037604007585829253,0.7,1.02,0.58,0.52,0.81,7.47,207,210,260,210,50,15
3-methylpentane,3-methylpentane,96-14-0,"InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3",CCC(C)CC,CCC(C)CC,Alkanes,86.11,NONPOLAR,10.1021/acs.iecr.3c02255,2.89666,3.85139,239.88093,0.0,0.0,0.0,0,0,283.15,504.35,265.619995,473.15,283.15,473.15,265.619995,504.35,513.9652922379818,3.564138885527499e6,0.0003710594862693109,0.36,-1.0,0.52,0.52,-1.0,-1.0,127,-1,387,387,-1,-1
"2,3-dimethylbutane","2,3-dimethylbutane",79-29-8,"InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3",CC(C)C(C)C,CC(C)C(C)C,Alkanes,86.11,NONPOLAR,10.1021/acs.iecr.3c02255,2.69778,3.94028,245.5423,0.0,0.0,0.0,0,0,259.65,500.5,203.2,473.15,259.65,473.15,203.2,500.5,509.72155012919404,3.5597808366043796e6,0.00036898374507934157,0.58,-1.0,0.72,0.77,0.09,7.09,136,-1,424,393,31,27
"2,2-dimethylbutane","2,2-dimethylbutane",75-83-2,"InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3",CCC(C)(C)C,CCC(C)(C)C,Alkanes,86.11,NONPOLAR,10.1021/acs.iecr.3c02255,2.65457,3.9786,240.54294,0.0,0.0,0.0,0,0,210.99,338.15,269.290009,448.15,269.290009,338.15,210.99,448.15,495.7130184946962,3.420595297191335e6,0.0003735680402483203,0.38,-1.0,0.55,0.55,-1.0,6.09,88,-1,174,174,-1,25
tetrafluoromethane,tetrafluoromethane,75-73-0,"InChI=1S/CF4/c2-1(3,4)5",FC(F)(F)F,FC(F)(F)F,Fluorides,87.994,NONPOLAR,10.1021/acs.iecr.3c02255,2.19671,3.1292,122.12982,0.0,0.0,0.0,0,0,89.55,227.51,91.3399963,214.15,91.3399963,214.15,89.55,227.51,230.34404552963755,3.9772464367940566e6,0.00014992969673928948,1.17,3.64,0.45,0.52,0.3,1.31,322,358,215,151,64,836
"trans-1,2-dichloroethene","(e)-1,2-dichloroethene",156-60-5,InChI=1S/C2H2Cl2/c3-1-2-4/h1-2H/b2-1+,Cl/C=C/Cl,ClC=CCl,Chlorides,95.953,NONPOLAR,10.1021/acs.iecr.3c02255,2.30034,3.50157,274.52945,0.0,0.0,0.0,0,0,234.96,357.99,243.15,333.15,243.15,333.15,234.96,357.99,529.3297988204541,6.220318350218874e6,0.00022004544446223574,1.98,-1.0,0.19,0.21,0.17,-1.0,145,-1,40,21,19,-1
"1-chloro-2,2-difluoroethylene","2-chloro-1,1-difluoroethene",359-10-4,InChI=1S/C2HClF2/c3-1-2(4)5/h1H,FC(F)=CCl,FC(F)=CCl,Halogenated compounds,97.973,NONPOLAR,10.1021/acs.iecr.3c02255,2.54285,3.27944,202.77134,0.0,0.0,0.0,0,0,255.15,313.15,225.21,357.26,255.15,313.15,225.21,357.26,409.7460334621949,5.281635637460531e6,0.00020015899715558396,1.71,21.53,0.84,0.15,0.98,1.43,5,6,12,2,10,106
tetrafluoroethylene,"1,1,2,2-tetrafluoroethene",116-14-3,InChI=1S/C2F4/c3-1(4)2(5)6,FC(F)=C(F)F,FC(F)=C(F)F,Fluorides,99.994,NONPOLAR,10.1021/acs.iecr.3c02255,2.72021,3.08073,148.86756,0.0,0.0,0.0,0,0,141.990005,283.19,130.649994,273.149994,141.990005,273.149994,130.649994,283.19,310.1876004897423,4.493012099478936e6,0.00017787336209119838,1.16,2.13,0.66,0.85,0.07,-1.0,82,87,4,3,1,-1
