m_sigma_3,m_epsilon,m_sigma_3_r2,m_epsilon_r2,Mw
"[66.53091452425603, 195.7416031151215, 247.12082314232376, 301.40949860133645, 416.77020698343864, 557.1561773417503, 44.60556612829358, 643.1046986181619, 80.47200526846518, 152.78985579735803, 342.29172022008646, 368.67634976885597, 443.5121162570802, 689.8774949580256, 113.16092458349583, 226.83618036356876, 502.96418016520613, 693.8476869136196, 165.32720348764587, 240.709196687637, 292.38236426345156, 398.53067907222726, 474.6283225547312]","[562.3049528652963, 1580.5665478154717, 2048.1078553054394, 2592.3826556108056, 3502.0721293825154, 4437.262188590598, 374.97092158685615, 4986.247748551999, 665.7479943222135, 1217.485130733624, 2848.5045450566413, 3098.249577371657, 3672.4503984499815, 5391.408223794985, 902.1182238536596, 1861.949783092997, 4040.974009394765, 5337.482736350298, 1339.6124857102006, 1946.812896356797, 2362.3000865390004, 3275.065502008903, 4013.5088015069955]",0.9773259746467663,-1.43998253414762,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[66.71228205186165, 198.58420839209447, 251.37762049047205, 307.3333402220859, 426.0165631638894, 571.3628446085536, 44.746470238757055, 661.3488779599843, 81.29390754200679, 154.8027666201551, 350.18209524811857, 377.5528258157369, 454.78458166234697, 708.455886133803, 114.61907822701512, 231.1912414836325, 516.7093207974631, 711.6591524288893, 168.00015364412369, 245.46904443238793, 298.81035493218377, 408.9539830853829, 488.8384228087086]","[562.3347326209011, 1583.4828966590674, 2052.774686355197, 2598.591157598376, 3510.8284917579413, 4448.515448755145, 375.0475198262285, 4992.009214009237, 666.7608740361817, 1219.0226258478817, 2854.882023617327, 3104.8429340748435, 3679.245486256814, 5399.575299578619, 903.3364564664662, 1865.3955347757876, 4049.8376566214565, 5346.615122657633, 1342.8926191929547, 1951.8304149256703, 2368.4933109655676, 3282.2423366924995, 4020.423017662526]",0.9863283577221109,-1.4613450770382497,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[66.89147065236655, 201.3751387741676, 255.577140641785, 313.2034716908215, 435.18444676936, 585.495172775841, 44.889733637156674, 679.4075788399118, 82.08327266812853, 156.75746520104767, 357.97117874351613, 386.3256219556706, 465.9275578809736, 726.7812183793469, 116.01679757115683, 235.43530105780997, 530.2319476511644, 729.1707477320181, 170.61593383816813, 250.15813903170366, 305.15943975218283, 419.2977653730878, 502.86226763308906]","[562.3379017854616, 1586.0192590715467, 2056.9220519505147, 2604.1587007083, 3518.625574266815, 4458.526606557965, 375.1143788856104, 4996.067085145354, 667.5705956327243, 1220.1805369036406, 2860.2480056845184, 3110.330593620694, 3684.728739502884, 5406.069671127415, 904.1640152625231, 1867.9620488752485, 4056.798185575819, 5353.33020926857, 1345.7715429744499, 1956.232166071278, 2373.899339133203, 3288.296439580631, 4025.940372785389]",0.990589286785941,-1.4789282670764154,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.06682863990545, 204.06090023079742, 259.64621924385466, 318.9036142482437, 444.06814489587987, 599.2738732042153, 45.03686508766147, 696.4565118192277, 82.81588941555229, 158.601514304321, 365.4588806858907, 394.7672635983444, 476.6324981885832, 744.4631191468187, 117.30319165844739, 239.4424821952923, 543.0828463304682, 745.8235265836516, 173.10669707577534, 254.6557707700615, 311.26703834251026, 429.2895556326359, 516.4113319987774]","[562.2964269919752, 1587.9671364901064, 2060.285024581325, 2608.665105658722, 3524.7400256037713, 4466.2702883290285, 375.1634752164379, 4996.432318151188, 668.0508985882044, 1220.6991473986118, 2863.834569087315, 3113.846107083881, 3687.841099854243, 5409.206439571261, 904.3427013198733, 1869.029898502588, 4060.297362679648, 5355.66247172613, 1347.9659055559098, 1959.5848073925733, 2377.9623713071524, 3292.3700074364306, 4028.869248523235]",0.9903747329904299,-1.4893914887396544,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.23701797052756, 206.58236263475467, 263.4984493621208, 324.306183846337, 452.4380317134704, 612.3667845476481, 45.1852656562908, 712.1372634731164, 83.46800118710932, 160.2971258373786, 372.41974746871887, 402.6191917822866, 486.5431939665623, 761.0413547582071, 118.42930201806614, 243.07152091714008, 554.7836253406771, 760.8777850010425, 175.39898953192557, 258.8297677784698, 316.950334218212, 438.60945393872976, 529.0330879612513]","[562.1938594744671, 1589.1070820081231, 2062.556744441629, 2611.6756628721714, 3528.4195925396557, 4470.695617187584, 375.1669413440667, 4991.727164306641, 668.0941340522617, 1220.3857184402839, 2864.905887930679, 3114.550788902521, 3687.506442741573, 5407.245025594233, 903.6582506233513, 1868.0682716834933, 4058.7567778841026, 5351.295756377434, 1349.2246846412781, 1961.4862556960577, 2380.1450589661126, 3293.58555105679, 4027.982643056583]",0.9863955769740688,-1.4894456054869067,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.40071192382355, 208.87819992517169, 267.0390551663027, 329.2728351256535, 460.0412352685027, 624.3542713516628, 45.308284788016266, 725.7284454928372, 84.01596958760878, 161.85069487729265, 378.61741521951166, 409.61164080899744, 495.28353482625664, 776.6379798105683, 119.35179925628658, 246.1894683775237, 564.800724047101, 773.6878106867498, 177.4105897299329, 262.53390488142645, 322.0083112208449, 446.90685497193107, 540.290892047655]","[562.014320187524, 1589.2208246001303, 2063.405275781238, 2612.73157483921, 3528.8592095925337, 4470.6056161510705, 375.05290695052594, 4980.572833183407, 667.5958580098107, 1219.145668845093, 2862.7295476162435, 3111.6052802978757, 3682.6447430277826, 5398.041860851264, 901.9403848049402, 1864.6314854276802, 4050.70310670495, 5338.326812095642, 1349.2557404834745, 1961.486511550009, 2379.857634646559, 3291.026106408548, 4022.1963312312014]",0.9798078185299285,-1.4758548167932446,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.55574076710147, 210.89029266899448, 270.1779441402332, 333.6689390995061, 466.63415050501055, 634.7758599774824, 45.41062607001286, 736.7168014175166, 84.4386636852128, 163.11493558967783, 383.83300810426744, 415.5150510775644, 502.50804009270416, 790.3064669422929, 120.03885277077809, 248.69278481919903, 572.7149503655021, 783.6309586576139, 179.07161768353626, 265.6393633607454, 326.2587141137044, 453.8606341645721, 549.7473688502395]","[561.7436794431634, 1588.1120567635894, 2062.5405682803394, 2611.419503687942, 3525.3397842307095, 4465.141591946089, 374.82210482794045, 4961.482383112336, 666.4653389062084, 1216.603984930679, 2856.6698207510944, 3104.3040062534806, 3672.3546392214057, 5380.600909344149, 899.0815290491357, 1858.4298284626007, 4035.322596662115, 5316.076548698807, 1347.834150487216, 1959.2241276886464, 2376.6233432528975, 3283.925729242599, 4010.5310908531674]",0.9721122321210616,-1.446475727804053,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.67772983586649, 212.57180528974806, 272.8418259320736, 337.3837099540424, 472.0235616253289, 643.3539908388526, 45.490618488291666, 744.8612605793197, 84.72348968106353, 164.04759720208122, 387.90444782454335, 420.2391987819233, 507.9726419585957, 800.9689390330848, 120.47755728210585, 250.5282676692601, 578.3191333006242, 790.5153954678394, 180.3324298868548, 268.0529342746344, 329.56424552834255, 459.2447443566756, 557.1157040741447]","[561.3620436579184, 1585.6229773780408, 2059.734337346077, 2607.417510108608, 3517.3688677967907, 4453.604582743835, 374.4508932792134, 4934.074811298728, 664.6566988769442, 1212.6460664737672, 2846.350968554735, 3092.277139112234, 3656.1470607399942, 5354.618462431431, 895.0661960282025, 1849.396388030517, 4012.396260777903, 5284.318784808827, 1344.8083307601394, 1954.4580024275426, 2370.1457465586664, 3271.8492706641555, 3992.423133521855]",0.9648494526405986,-1.400535435578694,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.77443715212742, 213.89406372031274, 274.9835324923205, 340.3344351374934, 476.103049656363, 649.9424007214981, 45.546125574569025, 750.1150510053703, 84.86651731653744, 164.63901660967412, 390.7704567673268, 423.7459237917797, 511.61673002515823, 808.3098810275507, 120.67400616857833, 251.6985300583921, 581.6454468531302, 794.4213780037611, 181.17446872959226, 269.73731956326617, 331.8727612422749, 462.9773973109267, 562.1504056691995]","[560.8664366122572, 1581.6720962357522, 2054.8614788013874, 2600.5668272825715, 3504.7905484105827, 4435.808355815744, 373.95401459995503, 4898.752636282861, 662.1606660032361, 1207.2680765602229, 2831.7112474388127, 3075.5617472967983, 3634.1054291156534, 5320.070950392724, 889.9577322970981, 1837.6710473001124, 3982.5120542845716, 5243.890716608738, 1340.1404881651313, 1947.1281089123372, 2360.3512057701237, 3254.809871246719, 3968.0374884236335]",0.959201389466507,-1.3388818366930813,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
"[67.84533625144165, 214.8497744069936, 276.5878731982661, 342.5122938268961, 478.86529699238395, 653.8173895609588, 45.5707593560099, 752.6766204898684, 84.87284154567912, 164.90431974559831, 392.47209216361296, 425.83833244109195, 513.5419711365769, 812.6158892880484, 120.64576171619842, 252.24968855460963, 582.9039158376465, 795.6773911002873, 181.61459663084187, 270.71859639482614, 333.2207216049694, 465.13628332949236, 565.03420486958]","[560.2543519425017, 1576.2514602669835, 2047.9028741709888, 2590.8522291183476, 3487.7739088178873, 4412.085665672183, 373.4041315502442, 4856.494638260162, 659.0032372210868, 1200.547624344921, 2812.9452307706833, 3054.4264353363637, 3606.714870165468, 5277.799632933569, 883.8448395877525, 1823.4971300022723, 3946.5949178686387, 5196.012151725769, 1333.912575303027, 1937.3643315636755, 2347.4246326643947, 3233.2265729053734, 3937.9131633241655]",0.9559153830388171,-1.2635840152685631,"[16.031, 100.125, 142.172, 170.203, 226.266, 282.329, 30.047, 338.391, 44.063, 72.094, 184.219, 198.235, 240.282, 380.438, 58.078, 114.141, 254.297, 394.454, 86.11, 128.157, 156.188, 212.25, 268.313]"
